Age;Sexe;Nationalite;Quartier
;F;F;GARE
0;M;SYR;LIMPERTSBERG
0;F;XXK;BELAIR
0;M;L,XXK;GARE
0;M;UKR;ROLLINGERGRUND/BELAIR-NORD
0;M;P;BELAIR
0;F;F;CENTS
0;M;B,F;LIMPERTSBERG
0;F;IRL;LIMPERTSBERG
0;F;P;GARE
0;M;F;GARE
0;M;F;CESSANGE
0;F;B;ROLLINGERGRUND/BELAIR-NORD
0;M;SVN;WEIMERSKIRCH
0;M;L;BONNEVOIE-NORD/VERLORENKOST
0;M;P;PFAFFENTHAL
0;F;IND;MERL
0;M;E;BONNEVOIE-SUD
0;F;M;KIRCHBERG
0;M;L;VILLE-HAUTE
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;F;SK;BELAIR
0;M;L;CENTS
0;M;P;EICH
0;F;CY,GR;BEGGEN
0;F;L;HOLLERICH
0;F;L;HOLLERICH
0;M;F;NEUDORF/WEIMERSHOF
0;F;I;MERL
0;F;NL,MEX;VILLE-HAUTE
0;F;R;GASPERICH
0;M;L;MERL
0;M;VN;GARE
0;M;F;BONNEVOIE-SUD
0;M;L;BELAIR
0;M;SRB;MERL
0;M;LTU;KIRCHBERG
0;M;F;BELAIR
0;F;CZ;KIRCHBERG
0;M;P,MA;GASPERICH
0;M;L;WEIMERSKIRCH
0;F;HRV,SRB;HOLLERICH
0;M;LTU;WEIMERSKIRCH
0;F;L;BONNEVOIE-NORD/VERLORENKOST
0;F;L;HOLLERICH
0;M;B,F;GASPERICH
0;M;GB,F;GARE
0;F;PL;KIRCHBERG
0;M;L;GARE
0;M;B;HAMM
0;F;L;LIMPERTSBERG
0;M;L;GASPERICH
0;M;I;LIMPERTSBERG
0;M;GR;CENTS
0;F;B,I;WEIMERSKIRCH
0;F;D;BELAIR
0;M;GB;GARE
0;M;L;GARE
0;F;L;BONNEVOIE-NORD/VERLORENKOST
0;M;PL;NEUDORF/WEIMERSHOF
0;M;P;BELAIR
0;M;F;WEIMERSKIRCH
0;M;B;GARE
0;M;L;LIMPERTSBERG
0;F;TN;BONNEVOIE-SUD
0;M;L;BONNEVOIE-SUD
0;F;P;GARE
0;F;L;DOMMELDANGE
0;M;GR;CESSANGE
0;F;F;HOLLERICH
0;M;D;NEUDORF/WEIMERSHOF
0;M;E;LIMPERTSBERG
0;F;L;EICH
0;M;TJ;GARE
0;F;L;HOLLERICH
0;F;I;BELAIR
0;F;B,SVN;CESSANGE
0;F;J;ROLLINGERGRUND/BELAIR-NORD
0;M;F;LIMPERTSBERG
0;M;F;MERL
0;M;L;BONNEVOIE-SUD
0;F;F;BELAIR
0;F;SN;KIRCHBERG
0;M;L;CENTS
0;F;L;BONNEVOIE-SUD
0;F;F;BEGGEN
0;M;NL,DZ;HOLLERICH
0;F;USA;GASPERICH
0;M;F,I;BEGGEN
0;M;F,IRL;BELAIR
0;M;CDN;WEIMERSKIRCH
0;F;P;EICH
0;M;SK;NEUDORF/WEIMERSHOF
0;F;MNE;EICH
0;F;GB;LIMPERTSBERG
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;M;DK;BEGGEN
0;M;TJ;GARE
0;M;L;WEIMERSKIRCH
0;F;F;BONNEVOIE-NORD/VERLORENKOST
0;F;F;LIMPERTSBERG
0;F;B;BELAIR
0;F;L;CENTS
0;F;RUS;CESSANGE
0;F;L;GASPERICH
0;M;F;MERL
0;F;P;BONNEVOIE-NORD/VERLORENKOST
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;F;F;MUEHLENBACH
0;M;BR;CENTS
0;F;GB;CENTS
0;M;I;BELAIR
0;M;D;BONNEVOIE-SUD
0;M;L;GASPERICH
0;F;SVN;GARE
0;F;L;BONNEVOIE-SUD
0;F;GB,IRL;NEUDORF/WEIMERSHOF
0;M;L,P;NEUDORF/WEIMERSHOF
0;M;F;CESSANGE
0;F;F;GARE
0;F;L;BONNEVOIE-SUD
0;F;IND;MUEHLENBACH
0;F;HRV;LIMPERTSBERG
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;F;L;BONNEVOIE-SUD
0;M;L;GRUND
0;M;I;CESSANGE
0;M;F;BONNEVOIE-SUD
0;M;IND;WEIMERSKIRCH
0;F;L;CESSANGE
0;M;CZ;LIMPERTSBERG
0;M;IND;GARE
0;M;F;GARE
0;M;F;BEGGEN
0;M;F,I;GARE
0;M;EST;NEUDORF/WEIMERSHOF
0;M;L;MUEHLENBACH
0;F;L;HOLLERICH
0;F;CV;VILLE-HAUTE
0;M;F;BELAIR
0;F;L;DOMMELDANGE
0;F;E,PL;EICH
0;M;F;BONNEVOIE-SUD
0;M;USA;MERL
0;F;L;ROLLINGERGRUND/BELAIR-NORD
0;M;P;BONNEVOIE-SUD
0;F;E,LTU;BONNEVOIE-SUD
0;F;HRV,PL;LIMPERTSBERG
0;F;L;GARE
0;M;D,F;GARE
0;F;B;BONNEVOIE-NORD/VERLORENKOST
0;M;USA;PFAFFENTHAL
0;M;P;BONNEVOIE-SUD
0;M;F,LVA;GARE
0;M;F;BONNEVOIE-SUD
0;M;GB,LTU;BONNEVOIE-NORD/VERLORENKOST
0;M;B;DOMMELDANGE
0;F;L;GARE
0;M;E;NEUDORF/WEIMERSHOF
0;M;L;DOMMELDANGE
0;F;D,I;BELAIR
0;M;L;GARE
0;M;IRL;KIRCHBERG
0;F;B,I;WEIMERSKIRCH
0;F;F;BELAIR
0;M;L;GARE
0;F;F;GARE
0;F;F;LIMPERTSBERG
0;F;L;DOMMELDANGE
0;F;APA;BEGGEN
0;F;B;HAMM
