Age;Sexe;Nationalite;Quartier,,,
14;M;AL;LIMPERTSBERG,,,
49;M;SN;MUEHLENBACH,,,
4;F;P;HOLLERICH,,,
44;F;CV;GARE,,,
20;M;COD;BONNEVOIE-SUD,,,
32;F;I;BONNEVOIE-SUD,,,
2;M;L,I;BONNEVOIE-SUD,,
10;F;F;VILLE-HAUTE,,,
29;F;R;GARE,,,
34;M;B;BELAIR,,,
52;M;P;BONNEVOIE-SUD,,,
24;M;F;BONNEVOIE-SUD,,,
29;M;MS;GASPERICH,,,
37;F;IRL;HAMM,,,
42;M;I;NEUDORF/WEIMERSHOF,,,
54;F;A;KIRCHBERG,,,
56;F;KAZ;BONNEVOIE-SUD,,,
56;F;I;GASPERICH,,,
28;F;B;BONNEVOIE-SUD,,,
30;F;P;LIMPERTSBERG,,,
39;F;GB;CENTS,,,
2;F;PL;CENTS,,,
39;F;D;CENTS,,,
33;M;P;KIRCHBERG,,,
10;M;GR;MERL,,,
8;M;D;KIRCHBERG,,,
31;M;IND;LIMPERTSBERG,,,
5;F;L;CENTS,,,
3;F;P;BEGGEN,,,
7;M;RUS;BEGGEN,,,
2;F;IRQ;EICH,,,
31;M;RUS;BELAIR,,,
35;M;IRL;ROLLINGERGRUND/BELAIR-NORD,,,
27;M;RSR;LIMPERTSBERG,,,
28;F;R;LIMPERTSBERG,,,
24;M;F;BEGGEN,,,
27;M;I;BONNEVOIE-SUD,,,
2;M;B,TN;PFAFFENTHAL,,
7;M;AFG;ROLLINGERGRUND/BELAIR-NORD,,,
2;M;I,IRL;BELAIR,,
24;F;P;GARE,,,
69;M;NL;CESSANGE,,,
28;F;R;MUEHLENBACH,,,
67;F;F;LIMPERTSBERG,,,
23;F;GR;BONNEVOIE-NORD/VERLORENKOST,,,
28;M;F;PULVERMUEHL,,,
29;F;L;MUEHLENBACH,,,
18;M;TJ;GARE,,,
22;M;I;GASPERICH,,,
29;M;F;BELAIR,,,
26;F;TJ;GASPERICH,,,
30;M;TR;BELAIR,,,
26;M;I;BONNEVOIE-NORD/VERLORENKOST,,,
65;F;TJ;HOLLERICH,,,
52;M;I;GARE,,,
55;M;GB;HOLLERICH,,,
2;M;CDN;CENTS,,,
46;M;F;NEUDORF/WEIMERSHOF,,,
34;F;PAK;BONNEVOIE-NORD/VERLORENKOST,,,
47;M;P;HOLLERICH,,,
29;M;I;BONNEVOIE-SUD,,,
2;F;F;BELAIR,,,
62;M;BG;BELAIR,,,
2;M;D;LIMPERTSBERG,,,
9;M;GUB;BONNEVOIE-SUD,,,
2;M;F;LIMPERTSBERG,,,
2;M;F;PFAFFENTHAL,,,
2;M;L,F;BONNEVOIE-SUD,,
61;F;IRQ;LIMPERTSBERG,,,
28;M;I;MERL,,,
34;M;R;GASPERICH,,,
8;M;TR;LIMPERTSBERG,,,
24;M;P;MERL,,,
25;M;F;VILLE-HAUTE,,,
29;M;F;MUEHLENBACH,,,
76;F;P;BELAIR,,,
2;F;LTU,GB;WEIMERSKIRCH,,
2;M;E,GR;NEUDORF/WEIMERSHOF,,
29;F;PAK;MERL,,,
64;M;B;LIMPERTSBERG,,,
6;F;IND;BELAIR,,,
82;F;F;VILLE-HAUTE,,,
31;F;I;BONNEVOIE-SUD,,,
20;F;IR;MUEHLENBACH,,,
39;F;GR;CESSANGE,,,
20;F;NL;ROLLINGERGRUND/BELAIR-NORD,,,
22;M;P;BONNEVOIE-SUD,,,
30;F;ZA;LIMPERTSBERG,,,
29;M;CH;GASPERICH,,,
33;M;E;ROLLINGERGRUND/BELAIR-NORD,,,
2;M;P;BONNEVOIE-SUD,,,
34;F;P;GARE,,,
34;M;IND;BONNEVOIE-SUD,,,
36;F;L;BONNEVOIE-SUD,,,
25;M;F;GARE,,,
22;M;R;CLAUSEN,,,
26;F;BG;EICH,,,
46;M;D;NEUDORF/WEIMERSHOF,,,
7;F;FIN;NEUDORF/WEIMERSHOF,,,
42;F;BR;VILLE-HAUTE,,,
27;M;P;HOLLERICH,,,
22;M;B;GASPERICH,,,
21;M;P;GARE,,,
37;M;F;NEUDORF/WEIMERSHOF,,,
40;M;R;BONNEVOIE-SUD,,,
28;F;IND;BONNEVOIE-NORD/VERLORENKOST,,,
46;M;F;DOMMELDANGE,,,
25;M;SUD;LIMPERTSBERG,,,
42;F;R;GARE,,,
55;F;L,PL;BONNEVOIE-NORD/VERLORENKOST,,
11;M;E;BEGGEN,,,
32;F;TJ;GASPERICH,,,
7;M;P;ROLLINGERGRUND/BELAIR-NORD,,,
57;M;F;VILLE-HAUTE,,,
32;F;MA;BONNEVOIE-SUD,,,
10;F;USA;LIMPERTSBERG,,,
36;M;USA;BELAIR,,,
27;F;SVN;BONNEVOIE-SUD,,,
2;M;L;BELAIR,,,
39;M;I;HOLLERICH,,,
43;M;P;ROLLINGERGRUND/BELAIR-NORD,,,
24;F;F;VILLE-HAUTE,,,
31;M;IND;CESSANGE,,,
67;F;L;BELAIR,,,
2;M;F,IRL;LIMPERTSBERG,,
34;F;FIN;GARE,,,
42;M;PL;ROLLINGERGRUND/BELAIR-NORD,,,
36;M;HRV;HAMM,,,
25;M;I;GARE,,,
69;F;B;GARE,,,
48;M;LTU;NEUDORF/WEIMERSHOF,,,
30;M;HKJ;CESSANGE,,,
52;M;F;BONNEVOIE-NORD/VERLORENKOST,,,
2;F;F,SK;ROLLINGERGRUND/BELAIR-NORD,,
32;F;F;BEGGEN,,,
25;F;F;GARE,,,
36;M;I;LIMPERTSBERG,,,
2;M;F;CESSANGE,,,
2;F;L,SK;CENTS,,
48;M;F;MERL,,,
28;M;F;BEGGEN,,,
30;F;F;LIMPERTSBERG,,,
28;M;BG;BONNEVOIE-SUD,,,
7;F;EST;ROLLINGERGRUND/BELAIR-NORD,,,
26;M;GR;VILLE-HAUTE,,,
28;F;F;CESSANGE,,,
27;F;B;PFAFFENTHAL,,,
26;M;F;GASPERICH,,,
12;M;BG;KIRCHBERG,,,
49;M;TJ;MERL,,,
26;F;F;GASPERICH,,,
30;F;E;GARE,,,
29;F;BR;VILLE-HAUTE,,,
2;F;F;CESSANGE,,,
52;M;R;GARE,,,
33;M;F;BONNEVOIE-SUD,,,
27;F;B;GASPERICH,,,
57;F;GB;LIMPERTSBERG,,,
2;F;F;EICH,,,
44;F;P;HOLLERICH,,,
47;F;F;LIMPERTSBERG,,,
32;F;I;HOLLERICH,,,
26;M;LVA;LIMPERTSBERG,,,
34;F;SRB;BELAIR,,,
29;M;IRL;GARE,,,
24;M;E,F;EICH,,
2;F;L;EICH,,,
18;M;AL;EICH,,,
46;M;F;BELAIR,,,
34;M;WAN;BONNEVOIE-SUD,,,
31;F;L;BONNEVOIE-SUD,,,
26;F;ET;WEIMERSKIRCH,,,
50;F;SK;BEGGEN,,,
34;M;P;GASPERICH,,,
28;M;PL;ROLLINGERGRUND/BELAIR-NORD,,,
2;F;F;BELAIR,,,
16;F;USA;MERL,,,
2;F;F;NEUDORF/WEIMERSHOF,,,
3;F;LVA;KIRCHBERG,,,
13;F;TJ;HOLLERICH,,,
2;F;L;LIMPERTSBERG,,,
29;F;IND;GASPERICH,,,
25;F;HRV;WEIMERSKIRCH,,,
26;F;B;HOLLERICH,,,
34;M;WAN;CESSANGE,,,
26;F;CDN;GARE,,,
62;M;BG;BONNEVOIE-NORD/VERLORENKOST,,,
1;F;CZ,E,GB;HOLLERICH,
69;M;L;GASPERICH,,,
7;M;L;GRUND,,,
24;M;F;GARE,,,
25;F;HRV;GRUND,,,
22;F;BG;GARE,,,
28;F;RUS;GARE,,,
47;M;EST;LIMPERTSBERG,,,
39;F;B;VILLE-HAUTE,,,
65;M;GB;MUEHLENBACH,,,
28;F;SVN;MERL,,,
2;M;IND;HOLLERICH,,,
29;M;I;GASPERICH,,,
26;F;B;MERL,,,
54;M;I;GARE,,,
29;F;CV;BEGGEN,,,
27;F;ERY;LIMPERTSBERG,,,
31;F;AL;KIRCHBERG,,,
55;M;I;DOMMELDANGE,,,
1;M;F,USA;BONNEVOIE-NORD/VERLORENKOST,,
42;M;TC;GARE,,,
37;F;F;LIMPERTSBERG,,,
46;F;MEX;ROLLINGERGRUND/BELAIR-NORD,,,
1;M;F,I;HOLLERICH,,
40;M;L,B;EICH,,
1;F;L;GASPERICH,,,
30;F;F;BONNEVOIE-NORD/VERLORENKOST,,,
36;F;P,BR;BONNEVOIE-NORD/VERLORENKOST,,
37;M;CO;BELAIR,,,
1;F;L;CENTS,,,
32;M;F;DOMMELDANGE,,,
32;M;J;ROLLINGERGRUND/BELAIR-NORD,,,
34;F;ERY;LIMPERTSBERG,,,
29;M;GB;GASPERICH,,,
1;M;R,MOL;NEUDORF/WEIMERSHOF,,
26;M;H;BELAIR,,,
45;F;PL;BELAIR,,,
31;M;MA;HOLLERICH,,,
27;M;F;BELAIR,,,
29;F;I;DOMMELDANGE,,,
26;F;F;HOLLERICH,,,
24;M;P;GARE,,,
5;F;PL;NEUDORF/WEIMERSHOF,,,
21;F;IRL;BONNEVOIE-NORD/VERLORENKOST,,,
1;M;B;GARE,,,
33;F;E;BELAIR,,,
34;F;F;BONNEVOIE-SUD,,,
24;M;I;GARE,,,
60;M;I;MERL,,,
46;M;E;CENTS,,,
31;M;P;CENTS,,,
2;M;L,TJ;LIMPERTSBERG,,
36;F;BG;GASPERICH,,,
24;M;AL;GARE,,,
37;M;D;LIMPERTSBERG,,,
1;M;B,I;KIRCHBERG,,
28;M;I;BONNEVOIE-SUD,,,
3;F;SYR;MUEHLENBACH,,,
36;M;F;BONNEVOIE-SUD,,,
37;M;P;KIRCHBERG,,,
46;M;MK;LIMPERTSBERG,,,
61;F;GB;VILLE-HAUTE,,,
22;M;F;LIMPERTSBERG,,,
36;F;F;DOMMELDANGE,,,
38;M;I;GARE,,,
33;F;IND;NEUDORF/WEIMERSHOF,,,
39;M;SK;GASPERICH,,,
30;M;CDN;LIMPERTSBERG,,,
44;M;I;NEUDORF/WEIMERSHOF,,,
8;F;PAK;HOLLERICH,,,
11;M;F;CESSANGE,,,
1;M;I;BELAIR,,,
23;F;BG;GASPERICH,,,
25;F;I;BONNEVOIE-NORD/VERLORENKOST,,,
34;M;BG;HAMM,,,
40;F;F;CESSANGE,,,
35;F;E;ROLLINGERGRUND/BELAIR-NORD,,,
64;M;I;LIMPERTSBERG,,,
38;F;TJ;GASPERICH,,,
4;F;TJ;GASPERICH,,,
29;M;F;ROLLINGERGRUND/BELAIR-NORD,,,
47;M;E;BELAIR,,,
25;M;L;LIMPERTSBERG,,,
34;F;SK;BELAIR,,,
0;F;L;LIMPERTSBERG,,,
24;F;USA;BONNEVOIE-NORD/VERLORENKOST,,,
63;M;D;LIMPERTSBERG,,,
47;M;E,SN;GARE,,
37;M;F;GASPERICH,,,
29;M;E;BELAIR,,,
24;M;P;GARE,,,
53;F;P;GARE,,,
28;M;GB;BONNEVOIE-NORD/VERLORENKOST,,,
1;M;NL;EICH,,,
24;F;IRL;KIRCHBERG,,,
59;F;IRL;BELAIR,,,
23;M;F;BEGGEN,,,
45;M;P;GARE,,,
24;M;P;MERL,,,
0;M;EST,GB;CESSANGE,,
8;F;P;LIMPERTSBERG,,,
25;F;E;BONNEVOIE-NORD/VERLORENKOST,,,
33;F;PL;ROLLINGERGRUND/BELAIR-NORD,,,
28;M;USA;NEUDORF/WEIMERSHOF,,,
27;F;IND;ROLLINGERGRUND/BELAIR-NORD,,,
46;F;E;CENTS,,,
11;M;F;CESSANGE,,,
28;F;GR;ROLLINGERGRUND/BELAIR-NORD,,,
0;M;D,H;BONNEVOIE-NORD/VERLORENKOST,,
19;M;F;BONNEVOIE-SUD,,,
32;M;D;GASPERICH,,,
1;F;USA;BELAIR,,,
0;M;L,E;PFAFFENTHAL,,
25;M;E;LIMPERTSBERG,,,
3;M;P;HOLLERICH,,,
11;M;USA;HOLLERICH,,,
11;F;TR;ROLLINGERGRUND/BELAIR-NORD,,,
44;M;P;KIRCHBERG,,,
21;M;F;BEGGEN,,,
34;F;F;LIMPERTSBERG,,,
54;M;R;BONNEVOIE-SUD,,,
2;M;RA;BELAIR,,,
0;M;IRL;BELAIR,,,
30;F;R;BONNEVOIE-SUD,,,
38;F;R;LIMPERTSBERG,,,
28;M;I;MERL,,,
57;M;B;VILLE-HAUTE,,,
26;M;RUS;BONNEVOIE-SUD,,,
4;M;AL;BONNEVOIE-SUD,,,
0;F;F,MA;MERL,,
12;M;GR;ROLLINGERGRUND/BELAIR-NORD,,,
23;F;F;CESSANGE,,,
57;F;L,BR;BELAIR,,
85;M;L;BELAIR,,,
0;M;I;CENTS,,,
57;F;A;GARE,,,
28;F;DK;BELAIR,,,
46;M;E;LIMPERTSBERG,,,
40;F;F;GASPERICH,,,
27;F;SK;HOLLERICH,,,
33;F;I;CENTS,,,
28;F;I;GASPERICH,,,
28;M;B;LIMPERTSBERG,,,
26;M;I;GARE,,,
60;F;L;CESSANGE,,,
35;M;E;LIMPERTSBERG,,,
35;F;P;GARE,,,
23;M;I;GARE,,,
1;F;BR;NEUDORF/WEIMERSHOF,,,
21;M;I;BELAIR,,,
29;M;CZ;EICH,,,
41;F;J;ROLLINGERGRUND/BELAIR-NORD,,,
2;F;F;MERL,,,
19;M;P;EICH,,,
25;M;F;GARE,,,
24;M;E;GARE,,,
9;M;F;MUEHLENBACH,,,
25;F;BLR;VILLE-HAUTE,,,
22;M;L,TG;GARE,,
50;F;GR;GASPERICH,,,
2;M;E;CENTS,,,
35;M;D;MERL,,,
37;M;F;GARE,,,
46;M;F;KIRCHBERG,,,
1;M;P;ROLLINGERGRUND/BELAIR-NORD,,,
34;F;B;GASPERICH,,,
29;M;E;GARE,,,
0;F;IS;KIRCHBERG,,,
26;F;EST;BEGGEN,,,
14;F;F;CENTS,,,
26;M;D;GASPERICH,,,
33;F;LTU;NEUDORF/WEIMERSHOF,,,
15;M;E;KIRCHBERG,,,
39;F;I;GASPERICH,,,
37;F;GR;BELAIR,,,
42;M;L;BELAIR,,,
36;M;GR;LIMPERTSBERG,,,
32;M;L;HOLLERICH,,,
26;M;I;GARE,,,
32;F;F;LIMPERTSBERG,,,
36;F;E;GASPERICH,,,
29;F;P;GARE,,,
26;M;F;BONNEVOIE-SUD,,,
25;M;ET;BONNEVOIE-SUD,,,
1;F;L;MERL,,,
38;F;ZA;NEUDORF/WEIMERSHOF,,,
26;M;GR;BEGGEN,,,
45;M;B;HOLLERICH,,,
10;M;B;HOLLERICH,,,
0;F;F;KIRCHBERG,,,
1;F;GB,RUS;MERL,,
39;M;I;LIMPERTSBERG,,,
25;F;I;NEUDORF/WEIMERSHOF,,,
11;F;PHL;BELAIR,,,
15;F;NZ;HOLLERICH,,,
21;F;F;CESSANGE,,,
0;F;CV;LIMPERTSBERG,,,
30;M;P;HOLLERICH,,,
55;M;I;KIRCHBERG,,,
25;M;CY;VILLE-HAUTE,,,
37;F;LVA;LIMPERTSBERG,,,
32;M;IND;LIMPERTSBERG,,,
34;M;MEX;HOLLERICH,,,
0;M;SYR;MUEHLENBACH,,,
1;M;L;NEUDORF/WEIMERSHOF,,,
30;M;I;BELAIR,,,
40;F;E;MERL,,,
29;F;IND;HOLLERICH,,,
42;F;IRQ;WEIMERSKIRCH,,,
53;M;P;BONNEVOIE-NORD/VERLORENKOST,,,
23;M;GEO;GARE,,,
3;F;D;HOLLERICH,,,
0;F;TR;LIMPERTSBERG,,,
40;F;R;BELAIR,,,
0;M;L;BELAIR,,,
46;F;GB;ROLLINGERGRUND/BELAIR-NORD,,,
25;F;TN;LIMPERTSBERG,,,
0;F;D,F;MERL,,
37;F;USA;DOMMELDANGE,,,
44;F;R;KIRCHBERG,,,
19;F;P;VILLE-HAUTE,,,
32;M;IND;BONNEVOIE-NORD/VERLORENKOST,,,
32;F;MEX;WEIMERSKIRCH,,,
28;F;TJ;DOMMELDANGE,,,
30;F;SP;MUEHLENBACH,,,
32;M;CO;MERL,,,
49;F;P;GARE,,,
58;F;I;VILLE-HAUTE,,,
29;M;GR;NEUDORF/WEIMERSHOF,,,
0;F;L;BONNEVOIE-SUD,,,
19;M;L;HOLLERICH,,,
19;M;F;GARE,,,
27;F;USA;BONNEVOIE-SUD,,,
3;F;L,CH;LIMPERTSBERG,,
23;M;F;DOMMELDANGE,,,
28;M;HRV;GARE,,,
1;F;MA;BELAIR,,,
0;F;E;KIRCHBERG,,,
42;M;GR;HAMM,,,
70;F;PL;WEIMERSKIRCH,,,
29;F;R;GARE,,,
36;F;F;CENTS,,,
22;M;E;LIMPERTSBERG,,,
30;M;F;BONNEVOIE-SUD,,,
4;M;F;BONNEVOIE-SUD,,,
34;M;GR;BEGGEN,,,
1;F;B,F;CESSANGE,,
44;F;BG;GASPERICH,,,
0;F;H;KIRCHBERG,,,
25;M;E;KIRCHBERG,,,
43;F;I;LIMPERTSBERG,,,
73;M;D;MUEHLENBACH,,,
48;F;R;GARE,,,
49;F;B;BEGGEN,,,
3;M;I;DOMMELDANGE,,,
33;M;B;CENTS,,,
30;M;P;BONNEVOIE-SUD,,,
52;M;P;HOLLERICH,,,
35;F;P;GARE,,,
24;F;F;GASPERICH,,,
55;M;P;GARE,,,
40;M;L;CENTS,,,
27;M;TJ;GARE,,,
30;F;I;GASPERICH,,,
1;M;P;ROLLINGERGRUND/BELAIR-NORD,,,
39;M;E;LIMPERTSBERG,,,
30;F;AZE;GASPERICH,,,
31;F;BG;LIMPERTSBERG,,,
24;F;R;GASPERICH,,,
0;F;L;EICH,,,
39;F;D;ROLLINGERGRUND/BELAIR-NORD,,,
43;F;GB;BELAIR,,,
31;M;PL;GASPERICH,,,
31;M;IRL;BELAIR,,,
37;M;P;CESSANGE,,,
26;F;B;HOLLERICH,,,
33;M;MS;GASPERICH,,,
14;F;CV;BONNEVOIE-NORD/VERLORENKOST,,,
64;M;GB;MUEHLENBACH,,,
37;F;F;DOMMELDANGE,,,
57;M;F;KIRCHBERG,,,
56;M;A;BONNEVOIE-NORD/VERLORENKOST,,,
28;F;E;GASPERICH,,,
26;F;F;GASPERICH,,,
23;M;GU;BONNEVOIE-SUD,,,
27;F;BG;GARE,,,
32;F;TJ;PFAFFENTHAL,,,
0;M;L;MERL,,,
24;M;I;BELAIR,,,
31;F;P;ROLLINGERGRUND/BELAIR-NORD,,,
57;M;F;LIMPERTSBERG,,,
24;M;F;LIMPERTSBERG,,,
26;F;A;BEGGEN,,,
26;F;F;LIMPERTSBERG,,,
16;F;L,D;LIMPERTSBERG,,
25;M;B;NEUDORF/WEIMERSHOF,,,
32;M;F;GASPERICH,,,
25;F;TJ;BONNEVOIE-SUD,,,
23;M;F;KIRCHBERG,,,
18;M;L,F;HOLLERICH,,
36;F;E;NEUDORF/WEIMERSHOF,,,
0;F;J;MUEHLENBACH,,,
10;F;L;GARE,,,
33;F;I;NEUDORF/WEIMERSHOF,,,
3;F;GB;CENTS,,,
29;F;L;CESSANGE,,,
31;M;P;VILLE-HAUTE,,,
30;F;IND;GARE,,,
2;M;AL;GASPERICH,,,
22;F;L;MUEHLENBACH,,,
31;M;F;MERL,,,
25;M;I;BONNEVOIE-SUD,,,
17;F;F;LIMPERTSBERG,,,
4;F;TG;HOLLERICH,,,
30;M;USA;NEUDORF/WEIMERSHOF,,,
28;F;P;BONNEVOIE-SUD,,,
33;F;IND;NEUDORF/WEIMERSHOF,,,
30;M;L;MUEHLENBACH,,,
12;M;F;GASPERICH,,,
0;F;I;NEUDORF/WEIMERSHOF,,,
43;M;P;BONNEVOIE-NORD/VERLORENKOST,,,
65;M;CDN;BELAIR,,,
46;M;NEP;NEUDORF/WEIMERSHOF,,,
37;F;NEP;NEUDORF/WEIMERSHOF,,,
27;F;I;WEIMERSKIRCH,,,
55;F;TJ;BELAIR,,,
8;M;I;GASPERICH,,,
25;M;PL;PFAFFENTHAL,,,
25;F;I;BONNEVOIE-SUD,,,
24;M;P;BONNEVOIE-NORD/VERLORENKOST,,,
25;F;GR;GARE,,,
63;M;I;PFAFFENTHAL,,,
39;F;A;GARE,,,
30;M;RUS;GASPERICH,,,
30;M;GR;LIMPERTSBERG,,,
30;M;TJ;GASPERICH,,,
33;F;RUS;LIMPERTSBERG,,,
5;M;F;HOLLERICH,,,
21;M;F;VILLE-HAUTE,,,
35;M;F;BONNEVOIE-NORD/VERLORENKOST,,,
9;M;I;HOLLERICH,,,
49;M;F;HOLLERICH,,,
36;M;IND;LIMPERTSBERG,,,
30;M;BIH;GASPERICH,,,
33;F;I;BONNEVOIE-SUD,,,
41;M;R;HOLLERICH,,,
14;F;S;MUEHLENBACH,,,
27;F;HRV;HOLLERICH,,,
34;M;ZA;NEUDORF/WEIMERSHOF,,,
39;M;A;LIMPERTSBERG,,,
15;F;B;LIMPERTSBERG,,,
26;M;TJ;KIRCHBERG,,,
25;F;CO;BELAIR,,,
51;F;F;HOLLERICH,,,
38;F;PL;GARE,,,
43;F;P;GARE,,,
38;M;F;PFAFFENTHAL,,,
7;F;L,PAK;NEUDORF/WEIMERSHOF,,
22;M;P;GARE,,,
25;M;I;HOLLERICH,,,
3;M;F;LIMPERTSBERG,,,
36;M;CV;GASPERICH,,,
49;M;D;GASPERICH,,,
39;F;CV;LIMPERTSBERG,,,
26;F;F;MERL,,,
19;F;F;GARE,,,
35;F;TJ;KIRCHBERG,,,
2;M;TJ;KIRCHBERG,,,
19;M;F;GASPERICH,,,
21;M;F;GASPERICH,,,
23;M;F;HOLLERICH,,,
33;F;USA;LIMPERTSBERG,,,
40;M;IRQ;CESSANGE,,,
38;M;P;GARE,,,
39;F;BR;EICH,,,
48;M;I;CLAUSEN,,,
48;M;USA;MERL,,,
2;F;IND;LIMPERTSBERG,,,
3;F;F;BONNEVOIE-SUD,,,
0;F;L,MK;GARE,,
31;F;TR;BEGGEN,,,
26;M;F;BONNEVOIE-SUD,,,
30;F;M;HAMM,,,
31;F;RUS;GARE,,,
31;F;F;HOLLERICH,,,
25;F;E;LIMPERTSBERG,,,
36;F;PL;KIRCHBERG,,,
34;M;J;MERL,,,
33;M;SK;CENTS,,,
53;M;CH;HOLLERICH,,,
34;M;EST;PFAFFENTHAL,,,
22;F;B,USA;BELAIR,,
47;M;CH;LIMPERTSBERG,,,
34;F;I;BONNEVOIE-SUD,,,
3;F;CDN;HOLLERICH,,,
23;M;E;KIRCHBERG,,,
14;F;J;BELAIR,,,
29;F;XXK;LIMPERTSBERG,,,
28;F;R;LIMPERTSBERG,,,
26;F;GR;VILLE-HAUTE,,,
25;F;GR;PULVERMUEHL,,,
33;M;P;GARE,,,
22;F;F;HOLLERICH,,,
35;M;CH;NEUDORF/WEIMERSHOF,,,
7;F;F;GASPERICH,,,
7;M;F;BELAIR,,,
60;F;D;BELAIR,,,
1;M;F;NEUDORF/WEIMERSHOF,,,
10;M;GB;PFAFFENTHAL,,,
36;M;F;BONNEVOIE-SUD,,,
30;F;I;GASPERICH,,,
1;F;L,D;BONNEVOIE-NORD/VERLORENKOST,,
36;F;IND;MERL,,,
33;M;I;GASPERICH,,,
41;M;P;BONNEVOIE-NORD/VERLORENKOST,,,
29;M;CH,F;GARE,,
1;F;L,F,USA;HOLLERICH,
17;F;F;HAMM,,,
43;F;L;LIMPERTSBERG,,,
33;F;S;BELAIR,,,
0;M;IRL;LIMPERTSBERG,,,
28;M;F;LIMPERTSBERG,,,
25;F;P;NEUDORF/WEIMERSHOF,,,
24;F;F;BONNEVOIE-NORD/VERLORENKOST,,,
38;M;E;CESSANGE,,,
35;F;RUS;BONNEVOIE-SUD,,,
29;F;F;BONNEVOIE-SUD,,,
38;F;USA;HOLLERICH,,,
22;M;F;BONNEVOIE-SUD,,,
25;M;GB;GASPERICH,,,
56;M;I;NEUDORF/WEIMERSHOF,,,
30;M;A;PFAFFENTHAL,,,
37;F;F;LIMPERTSBERG,,,
28;M;MS;GASPERICH,,,
25;F;KAZ;CESSANGE,,,
33;M;I;CENTS,,,
39;F;F;BONNEVOIE-NORD/VERLORENKOST,,,
46;F;S;BEGGEN,,,
55;F;L;BEGGEN,,,
40;F;RUS;BELAIR,,,
4;F;P;GARE,,,
42;F;RUS;NEUDORF/WEIMERSHOF,,,
28;M;R;CESSANGE,,,
29;F;TJ;BELAIR,,,
15;M;F;GARE,,,
27;M;E;GASPERICH,,,
26;M;TN;GARE,,,
9;F;TR;MUEHLENBACH,,,
36;F;PL;NEUDORF/WEIMERSHOF,,,
27;M;IRL;BONNEVOIE-SUD,,,
42;M;F;LIMPERTSBERG,,,
50;M;P;MERL,,,
46;M;SK;LIMPERTSBERG,,,
0;M;F;ROLLINGERGRUND/BELAIR-NORD,,,
20;M;P;GARE,,,
5;F;USA;NEUDORF/WEIMERSHOF,,,
0;F;TR;MUEHLENBACH,,,
19;F;L,F;BONNEVOIE-SUD,,
28;M;IND;EICH,,,
21;M;I;LIMPERTSBERG,,,
55;M;P;MERL,,,
28;F;ZA;NEUDORF/WEIMERSHOF,,,
31;M;B;NEUDORF/WEIMERSHOF,,,
26;M;R;NEUDORF/WEIMERSHOF,,,
42;M;GR;NEUDORF/WEIMERSHOF,,,
60;M;E;NEUDORF/WEIMERSHOF,,,
32;M;I;VILLE-HAUTE,,,
27;M;P;VILLE-HAUTE,,,
42;M;P;GARE,,,
0;M;GB,I;GARE,,
28;M;F;BONNEVOIE-SUD,,,
31;F;MEX;GASPERICH,,,
23;F;F;BONNEVOIE-SUD,,,
27;F;GR;BELAIR,,,
30;F;B;CESSANGE,,,
26;F;P;ROLLINGERGRUND/BELAIR-NORD,,,
26;M;F;GARE,,,
19;M;L;CESSANGE,,,
25;M;I;MERL,,,
34;M;IND;LIMPERTSBERG,,,
15;F;P;HOLLERICH,,,
44;M;EST;LIMPERTSBERG,,,
33;F;E;HOLLERICH,,,
25;F;F;NEUDORF/WEIMERSHOF,,,
25;F;PAK;EICH,,,
38;F;L,F;LIMPERTSBERG,,
26;F;F;BONNEVOIE-NORD/VERLORENKOST,,,
58;M;R;BONNEVOIE-SUD,,,
49;M;I;VILLE-HAUTE,,,
42;M;GB;CENTS,,,
38;F;P;NEUDORF/WEIMERSHOF,,,
30;M;E;CESSANGE,,,
27;F;F;NEUDORF/WEIMERSHOF,,,
60;F;P;DOMMELDANGE,,,
26;F;BR;BONNEVOIE-SUD,,,
55;F;UKR;HOLLERICH,,,
46;F;FIN;LIMPERTSBERG,,,
40;F;BG;LIMPERTSBERG,,,
7;M;F;LIMPERTSBERG,,,
1;F;L,F;MERL,,
54;M;S;LIMPERTSBERG,,,
7;M;P;MUEHLENBACH,,,
50;F;D;HOLLERICH,,,
18;F;L,BR;HAMM,,
24;M;F;BONNEVOIE-NORD/VERLORENKOST,,,
31;F;F;KIRCHBERG,,,
45;F;P;KIRCHBERG,,,
1;F;IND;BEGGEN,,,
10;F;USA;MERL,,,
64;F;E;BEGGEN,,,
39;M;D,TC;GARE,,
24;M;IRL;NEUDORF/WEIMERSHOF,,,
18;F;B,NL;BELAIR,,
35;F;F;GARE,,,
18;M;ERY;ROLLINGERGRUND/BELAIR-NORD,,,
19;F;NL;LIMPERTSBERG,,,
22;M;P;BONNEVOIE-SUD,,,
29;F;MEX;ROLLINGERGRUND/BELAIR-NORD,,,
34;F;F;KIRCHBERG,,,
6;M;L,MA;BELAIR,,
44;F;P;KIRCHBERG,,,
0;F;L;HAMM,,,
38;M;J;MERL,,,
1;M;F;GASPERICH,,,
1;F;F;GARE,,,
1;M;I;CESSANGE,,,
0;F;B;GARE,,,
33;M;GB;VILLE-HAUTE,,,
15;F;RUS;HOLLERICH,,,
10;F;L,BR;HAMM,,
30;M;KOR;BEGGEN,,,
26;M;F;GASPERICH,,,
55;F;E;VILLE-HAUTE,,,
29;M;I;BELAIR,,,
65;F;B;HOLLERICH,,,
10;M;B;MUEHLENBACH,,,
22;F;I;GASPERICH,,,
