Age;Sexe;Nationalite;Quartier,,,
86;M;L;HOLLERICH,,,
87;M;L;BONNEVOIE-SUD,,,
87;F;P;GARE,,,
84;F;L;PFAFFENTHAL,,,
84;M;L;BEGGEN,,,
86;M;L;HOLLERICH,,,
88;M;L;VILLE-HAUTE,,,
87;F;L;LIMPERTSBERG,,,
85;M;L;HOLLERICH,,,
88;F;L;CESSANGE,,,
88;F;L;HOLLERICH,,,
87;F;L;BONNEVOIE-NORD/VERLORENKOST,,,
87;M;L;HOLLERICH,,,
85;F;F;MERL,,,
85;F;L;HAMM,,,
85;F;L;LIMPERTSBERG,,,
85;M;CV;BELAIR,,,
87;F;L;GASPERICH,,,
87;F;L;BELAIR,,,
87;M;L,GB;HOLLERICH,,
85;M;L;NEUDORF/WEIMERSHOF,,,
87;F;L;HAMM,,,
87;M;L;CENTS,,,
87;M;L;VILLE-HAUTE,,,
88;M;I;BELAIR,,,
85;M;P;EICH,,,
86;F;F;BELAIR,,,
86;F;L;GASPERICH,,,
85;M;L;LIMPERTSBERG,,,
88;F;L;HAMM,,,
86;F;L;PFAFFENTHAL,,,
86;F;L;BONNEVOIE-SUD,,,
86;F;D;LIMPERTSBERG,,,
86;F;L;CESSANGE,,,
86;F;L;GASPERICH,,,
86;F;L;GARE,,,
85;M;I;BELAIR,,,
85;F;F;BELAIR,,,
85;F;I;BONNEVOIE-SUD,,,
87;F;L;GARE,,,
85;M;L;CENTS,,,
88;F;L;CESSANGE,,,
86;F;L;VILLE-HAUTE,,,
86;F;L;LIMPERTSBERG,,,
85;M;NL;BELAIR,,,
85;F;I;BONNEVOIE-SUD,,,
85;F;L;BONNEVOIE-SUD,,,
88;M;L;ROLLINGERGRUND/BELAIR-NORD,,,
88;F;L;VILLE-HAUTE,,,
88;F;L;HAMM,,,
86;M;P;GASPERICH,,,
88;F;I;LIMPERTSBERG,,,
85;M;L;ROLLINGERGRUND/BELAIR-NORD,,,
85;M;L;CENTS,,,
88;F;L;BONNEVOIE-SUD,,,
87;M;L;CENTS,,,
86;F;F;BELAIR,,,
86;M;L;VILLE-HAUTE,,,
87;M;L;CESSANGE,,,
87;F;L;VILLE-HAUTE,,,
88;M;B;BELAIR,,,
88;M;L;HAMM,,,
87;F;L;BONNEVOIE-SUD,,,
86;F;L;MUEHLENBACH,,,
86;F;B;BONNEVOIE-SUD,,,
86;F;D;NEUDORF/WEIMERSHOF,,,
87;F;L;CESSANGE,,,
86;M;L;BONNEVOIE-SUD,,,
86;F;L;CESSANGE,,,
86;M;L;HOLLERICH,,,
86;M;L;CESSANGE,,,
87;M;D;LIMPERTSBERG,,,
85;F;L;BELAIR,,,
85;F;L;VILLE-HAUTE,,,
86;M;L;CESSANGE,,,
85;F;IR;EICH,,,
85;F;L;BONNEVOIE-NORD/VERLORENKOST,,,
85;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
88;F;L;GRUND,,,
86;F;I;EICH,,,
87;M;L;PFAFFENTHAL,,,
87;F;L;HOLLERICH,,,
85;F;D;DOMMELDANGE,,,
86;F;L;CESSANGE,,,
87;F;L;LIMPERTSBERG,,,
85;M;L;VILLE-HAUTE,,,
87;M;L;CENTS,,,
85;F;L;NEUDORF/WEIMERSHOF,,,
86;M;L,I;MUEHLENBACH,,
85;F;L;BONNEVOIE-SUD,,,
86;F;L,B;BEGGEN,,
85;M;I;BONNEVOIE-SUD,,,
85;F;D;KIRCHBERG,,,
86;M;L;BEGGEN,,,
86;F;L;PFAFFENTHAL,,,
85;F;L;EICH,,,
85;F;L;NEUDORF/WEIMERSHOF,,,
85;M;L;HOLLERICH,,,
85;F;L;CENTS,,,
84;M;L;MERL,,,
86;F;L;CENTS,,,
86;F;L;VILLE-HAUTE,,,
85;M;L;EICH,,,
88;F;B;WEIMERSKIRCH,,,
87;F;P;BONNEVOIE-SUD,,,
85;F;E;BONNEVOIE-SUD,,,
84;F;L;GASPERICH,,,
84;F;L;GASPERICH,,,
87;F;L,USA;BELAIR,,
88;F;L;BELAIR,,,
87;F;CV;BONNEVOIE-SUD,,,
86;F;I;MERL,,,
86;F;L;HOLLERICH,,,
88;M;L;CESSANGE,,,
87;M;L;BELAIR,,,
87;M;L;BONNEVOIE-SUD,,,
87;M;L;BELAIR,,,
81;M;L;HOLLERICH,,,
81;F;I;BONNEVOIE-SUD,,,
81;F;L;NEUDORF/WEIMERSHOF,,,
84;M;L;GARE,,,
83;F;L;BONNEVOIE-SUD,,,
82;F;F;HOLLERICH,,,
84;F;L;MERL,,,
84;M;L;LIMPERTSBERG,,,
81;M;L;CENTS,,,
81;M;P;NEUDORF/WEIMERSHOF,,,
81;F;F;CESSANGE,,,
81;F;L;DOMMELDANGE,,,
83;F;L;KIRCHBERG,,,
83;F;L;VILLE-HAUTE,,,
83;F;B;VILLE-HAUTE,,,
82;F;F;GARE,,,
82;F;E;HOLLERICH,,,
84;F;L;BEGGEN,,,
83;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
84;F;L;NEUDORF/WEIMERSHOF,,,
84;F;P;CLAUSEN,,,
83;M;GB;GARE,,,
82;F;D;CESSANGE,,,
82;F;L;BELAIR,,,
83;F;L;KIRCHBERG,,,
83;F;L;BONNEVOIE-SUD,,,
82;M;TJ;EICH,,,
83;M;L;CENTS,,,
83;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
83;M;L;VILLE-HAUTE,,,
84;F;P;BONNEVOIE-SUD,,,
84;F;L;GARE,,,
83;M;L;BELAIR,,,
82;F;L;CESSANGE,,,
83;F;I;VILLE-HAUTE,,,
83;M;L;PFAFFENTHAL,,,
84;M;N;VILLE-HAUTE,,,
84;F;L;BONNEVOIE-SUD,,,
83;F;F;GARE,,,
82;F;L;GARE,,,
82;M;L;BEGGEN,,,
83;M;L;CESSANGE,,,
83;F;L;LIMPERTSBERG,,,
84;F;F;HAMM,,,
84;M;L;MERL,,,
83;F;L;GARE,,,
82;F;L;HAMM,,,
82;F;L;GRUND,,,
82;M;L;MUEHLENBACH,,,
82;M;L;BELAIR,,,
82;F;L;CENTS,,,
83;F;L;GARE,,,
82;M;L;VILLE-HAUTE,,,
84;F;L;BELAIR,,,
84;M;I;HOLLERICH,,,
82;F;P;BELAIR,,,
82;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
82;M;L;MERL,,,
84;F;L;KIRCHBERG,,,
84;M;GB;PFAFFENTHAL,,,
83;F;L;KIRCHBERG,,,
83;F;L;VILLE-HAUTE,,,
82;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
82;M;L;CLAUSEN,,,
82;F;L;BONNEVOIE-SUD,,,
82;F;L;GARE,,,
82;F;L;CESSANGE,,,
82;M;I;BONNEVOIE-SUD,,,
83;F;F;LIMPERTSBERG,,,
82;F;F;HOLLERICH,,,
82;M;L;ROLLINGERGRUND/BELAIR-NORD,,,
83;F;E;HOLLERICH,,,
81;F;L;CENTS,,,
81;F;L;GASPERICH,,,
82;F;D;GASPERICH,,,
82;F;I;KIRCHBERG,,,
82;F;L;VILLE-HAUTE,,,
82;F;L;HOLLERICH,,,
82;F;L;HAMM,,,
81;M;L;CENTS,,,
81;M;L;MERL,,,
84;F;NL;CENTS,,,
81;M;F;MUEHLENBACH,,,
81;F;L;GARE,,,
84;F;D;GRUND,,,
83;M;I;BONNEVOIE-SUD,,,
84;F;L;CENTS,,,
84;F;L;BELAIR,,,
83;F;P;GARE,,,
83;M;L;CENTS,,,
83;F;L;BELAIR,,,
84;F;P;BONNEVOIE-SUD,,,
84;F;L;BONNEVOIE-SUD,,,
83;F;L;BELAIR,,,
82;F;L;LIMPERTSBERG,,,
82;F;P;GASPERICH,,,
82;M;L;BONNEVOIE-NORD/VERLORENKOST,,,
82;M;L;BONNEVOIE-SUD,,,
82;M;I;GARE,,,
82;M;L;CENTS,,,
82;M;L;CENTS,,,
83;F;L;LIMPERTSBERG,,,
83;M;L;KIRCHBERG,,,
84;F;L;BONNEVOIE-SUD,,,
84;F;F;LIMPERTSBERG,,,
83;M;B;MUEHLENBACH,,,
82;F;L;BONNEVOIE-NORD/VERLORENKOST,,,
82;M;L;GASPERICH,,,
82;M;L;HOLLERICH,,,
82;M;P;BONNEVOIE-SUD,,,
84;M;L;VILLE-HAUTE,,,
83;M;L;CESSANGE,,,
84;F;L;PFAFFENTHAL,,,
83;M;I;BONNEVOIE-SUD,,,
82;M;L;HAMM,,,
84;F;L;EICH,,,
84;M;B;VILLE-HAUTE,,,
83;F;F;GARE,,,
