Age;Sexe;Nationalite;Quartier
0;F;F;KIRCHBERG
0;F;D,F;CLAUSEN
0;M;F;GASPERICH
0;F;L;CENTS
0;F;L,AUS;BONNEVOIE-SUD
0;F;L;GRUND
0;M;F,GR;LIMPERTSBERG
0;F;L;WEIMERSKIRCH
0;F;L;BONNEVOIE-SUD
0;F;L,GB;CESSANGE
0;F;L;HOLLERICH
0;F;XXK,SRB;BONNEVOIE-SUD
0;F;XXK,SRB;BONNEVOIE-SUD
0;M;P;PULVERMUEHL
0;F;USA;BEGGEN
0;F;USA;BEGGEN
0;F;L,SP,EAT;KIRCHBERG
0;F;F;MUEHLENBACH
0;M;F,CV;CENTS
0;F;L,F,PL;BONNEVOIE-NORD/VERLORENKOST
0;F;L,F;BELAIR
0;M;P;GARE
0;M;HRV;NEUDORF/WEIMERSHOF
0;F;F;CENTS
0;F;I,S;BELAIR
0;F;F;NEUDORF/WEIMERSHOF
0;F;CZ;DOMMELDANGE
0;M;TJ;BELAIR
0;F;F;CESSANGE
0;M;I;CENTS
0;F;P,BR;HOLLERICH
0;M;F;EICH
0;M;F;LIMPERTSBERG
0;M;P;GARE
0;F;E;KIRCHBERG
0;F;L,P;MERL
0;M;NEP;BONNEVOIE-NORD/VERLORENKOST
0;M;L;BONNEVOIE-SUD
0;M;L;ROLLINGERGRUND/BELAIR-NORD
0;F;D,J;BELAIR
0;F;P;BONNEVOIE-SUD
0;M;F;BONNEVOIE-NORD/VERLORENKOST
0;F;B;CESSANGE
0;F;E,RUS;BEGGEN
0;F;DK;LIMPERTSBERG
0;F;F;BONNEVOIE-NORD/VERLORENKOST
0;M;I;BELAIR
0;F;F;MUEHLENBACH
0;M;F;ROLLINGERGRUND/BELAIR-NORD
0;F;F,J;BELAIR
0;F;PL,SRB;BONNEVOIE-SUD
0;M;P,GU;GARE
0;M;F;CESSANGE
0;M;F;MUEHLENBACH
0;M;MS;CESSANGE
0;M;L,F;CENTS
0;F;P;MERL
0;F;R;BEGGEN
0;M;D;BELAIR
0;M;F,PL;BELAIR
0;F;SK;CESSANGE
0;F;L,P;BONNEVOIE-SUD
0;M;P;GARE
0;F;PL;BELAIR
0;F;GB,F;BONNEVOIE-SUD
0;F;L;BONNEVOIE-SUD
0;M;PL,MAL;BEGGEN
0;M;B,F;GASPERICH
0;F;SK;KIRCHBERG
0;F;I;EICH
0;F;F;VILLE-HAUTE
