Age;Sexe;Nationalite;Quartier
38;M;GR;BELAIR
63;M;NL;ROLLINGERGRUND/BELAIR-NORD
52;F;I;PFAFFENTHAL
24;F;E;CLAUSEN
46;M;E;BONNEVOIE-SUD
38;F;TJ;CENTS
31;M;I;CESSANGE
37;M;F;CESSANGE
34;F;F;CESSANGE
1;M;F;CESSANGE
1;F;F,I;EICH
49;M;I;GASPERICH
16;F;P;BONNEVOIE-SUD
2;F;P;BONNEVOIE-SUD
40;M;P;KIRCHBERG
42;M;I;LIMPERTSBERG
31;F;D;BONNEVOIE-SUD
30;F;TJ;HOLLERICH
58;M;I;GARE
52;M;D;BELAIR
49;M;I;CESSANGE
33;M;I;ROLLINGERGRUND/BELAIR-NORD
5;M;B;GARE
39;F;TJ;MERL
40;M;TJ;MERL
10;M;TJ;MERL
26;M;F;GARE
54;M;P;GASPERICH
37;F;F;BONNEVOIE-NORD/VERLORENKOST
35;M;B;KIRCHBERG
67;M;L;HAMM
70;F;L;HAMM
41;F;F;GASPERICH
42;F;F;WEIMERSKIRCH
39;M;F;MERL
0;M;F;GASPERICH
0;M;L;VILLE-HAUTE
0;F;R;KIRCHBERG
0;F;A;LIMPERTSBERG
30;M;F;BONNEVOIE-SUD
31;F;F;ROLLINGERGRUND/BELAIR-NORD
6;M;F;ROLLINGERGRUND/BELAIR-NORD
4;F;F;ROLLINGERGRUND/BELAIR-NORD
45;F;MK;DOMMELDANGE
8;F;BG;MERL
21;F;B;EICH
35;F;R;GASPERICH
6;M;GR;LIMPERTSBERG
44;F;F;BELAIR
48;F;P;GASPERICH
5;M;F;BONNEVOIE-SUD
22;M;EST;NEUDORF/WEIMERSHOF
16;F;EST;NEUDORF/WEIMERSHOF
37;M;CDN;HOLLERICH
48;M;BD;GASPERICH
45;M;HRV;HOLLERICH
46;M;P;PFAFFENTHAL
28;F;GR;GARE
34;M;E;GASPERICH
28;F;E;BELAIR
41;M;F;CENTS
1;F;F,CR;CENTS
35;F;CR;CENTS
50;F;F;WEIMERSKIRCH
36;M;TC;MERL
26;M;E;BELAIR
49;F;P;BEGGEN
22;M;F;HOLLERICH
