DATAFLOW,COUNTRY: Country of residence,REGION: Tourist region,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_COUNTRY_2: Note Country 2,NOTE_COUNTRY_1: Note Country 1,NOTE_REGION_2: Note Region 2,NOTE_REGION_1: Note Region 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_D5301(1.0),SL05: Ukraine,R01: Total,A: Annual,2020,723,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL05: Ukraine,R01: Total,A: Annual,2021,1141,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL33: of which: South Africa,R01: Total,A: Annual,2011,986,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL33: of which: South Africa,R01: Total,A: Annual,2012,1283,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL33: of which: South Africa,R01: Total,A: Annual,2013,837,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL33: of which: South Africa,R01: Total,A: Annual,2014,973,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL33: of which: South Africa,R01: Total,A: Annual,2015,1254,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL33: of which: South Africa,R01: Total,A: Annual,2016,1079,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL33: of which: South Africa,R01: Total,A: Annual,2017,1107,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL33: of which: South Africa,R01: Total,A: Annual,2018,1023,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL33: of which: South Africa,R01: Total,A: Annual,2019,958,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL33: of which: South Africa,R01: Total,A: Annual,2020,628,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL33: of which: South Africa,R01: Total,A: Annual,2021,1001,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL09: North America,R02: Centre,A: Annual,2011,23218,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL09: North America,R02: Centre,A: Annual,2012,26503,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL09: North America,R02: Centre,A: Annual,2013,28140,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL09: North America,R02: Centre,A: Annual,2014,30941,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL09: North America,R02: Centre,A: Annual,2015,36128,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL09: North America,R02: Centre,A: Annual,2016,33900,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL09: North America,R02: Centre,A: Annual,2017,32537,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL09: North America,R02: Centre,A: Annual,2018,30381,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL09: North America,R02: Centre,A: Annual,2019,31043,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL09: North America,R02: Centre,A: Annual,2020,9281,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL09: North America,R02: Centre,A: Annual,2021,20756,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL22: Portugal,R07: Moselle,A: Annual,2011,130,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL22: Portugal,R07: Moselle,A: Annual,2012,183,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL22: Portugal,R07: Moselle,A: Annual,2013,155,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL22: Portugal,R07: Moselle,A: Annual,2014,127,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL22: Portugal,R07: Moselle,A: Annual,2015,118,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL22: Portugal,R07: Moselle,A: Annual,2016,127,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL22: Portugal,R07: Moselle,A: Annual,2017,170,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL22: Portugal,R07: Moselle,A: Annual,2018,186,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL22: Portugal,R07: Moselle,A: Annual,2019,155,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL22: Portugal,R07: Moselle,A: Annual,2020,83,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL22: Portugal,R07: Moselle,A: Annual,2021,119,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL04: Belgium,R08: Southern region,A: Annual,2011,14700,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL04: Belgium,R08: Southern region,A: Annual,2012,16998,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL04: Belgium,R08: Southern region,A: Annual,2013,16033,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL04: Belgium,R08: Southern region,A: Annual,2014,16182,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL04: Belgium,R08: Southern region,A: Annual,2015,16645,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL04: Belgium,R08: Southern region,A: Annual,2016,15989,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL04: Belgium,R08: Southern region,A: Annual,2017,15613,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL04: Belgium,R08: Southern region,A: Annual,2018,14282,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL04: Belgium,R08: Southern region,A: Annual,2019,14183,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL04: Belgium,R08: Southern region,A: Annual,2020,7158,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL04: Belgium,R08: Southern region,A: Annual,2021,10276,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL08: Denmark,R05: Ardennes,A: Annual,2011,355,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL08: Denmark,R05: Ardennes,A: Annual,2012,347,,,,,,,,0: Zero
