number,value,datetime_start,datetime_complete,duration,params_alpha,params_max_iter,params_n_estimators,state
33,20.126042267117302,2023-09-16 09:33:58.682215,2023-09-16 09:34:04.294685,0 days 00:00:05.612470,8.125822669665778,1439,0.23302914223565782,COMPLETE
34,18.83405223303206,2023-09-16 09:34:04.294685,2023-09-16 09:34:12.380972,0 days 00:00:08.086287,0.9937175354618407,1861,0.1877007465845741,COMPLETE
35,20.411012999084328,2023-09-16 09:34:12.380972,2023-09-16 09:34:17.024888,0 days 00:00:04.643916,12.06379599696997,1761,0.12308067296279233,COMPLETE
36,20.446560232701675,2023-09-16 09:34:17.024888,2023-09-16 09:34:29.796805,0 days 00:00:12.771917,0.13485190340556885,1082,0.08673010015295582,COMPLETE
37,19.941368696623133,2023-09-16 09:34:29.796805,2023-09-16 09:34:35.650403,0 days 00:00:05.853598,6.872807614010397,722,0.18669618640654537,COMPLETE
38,21.192490797067094,2023-09-16 09:34:35.650403,2023-09-16 09:34:39.914510,0 days 00:00:04.264107,14.62689995399903,2415,0.3336404814010412,COMPLETE
39,21.63441272927468,2023-09-16 09:34:39.920024,2023-09-16 09:34:43.326060,0 days 00:00:03.406036,22.72682662525594,3232,0.19882661730902912,COMPLETE
40,20.310515798738727,2023-09-16 09:34:43.326060,2023-09-16 09:34:48.565061,0 days 00:00:05.239001,7.8920507216865285,702,0.5360496453448038,COMPLETE
41,19.822393538999204,2023-09-16 09:34:48.565061,2023-09-16 09:34:54.992198,0 days 00:00:06.427137,5.76195628595839,2056,0.2703260112730356,COMPLETE
42,20.15008137141378,2023-09-16 09:34:54.992198,2023-09-16 09:35:04.230339,0 days 00:00:09.238141,0.19162983880367818,1659,0.26242929015123795,COMPLETE
43,21.18202025365797,2023-09-16 09:35:04.230339,2023-09-16 09:35:08.491024,0 days 00:00:04.260685,13.346964640013068,2646,0.4005350796018115,COMPLETE
44,20.157862806362353,2023-09-16 09:35:08.491024,2023-09-16 09:35:13.882826,0 days 00:00:05.391802,8.794146839708661,2294,0.174971862457033,COMPLETE
45,20.662596511909612,2023-09-16 09:35:13.882826,2023-09-16 09:35:17.866943,0 days 00:00:03.984117,15.526877136098221,1920,0.11096307360123887,COMPLETE
46,19.572052541729686,2023-09-16 09:35:17.866943,2023-09-16 09:35:24.664809,0 days 00:00:06.797866,4.319505575789654,1272,0.23173661415784869,COMPLETE
47,20.874664473720568,2023-09-16 09:35:24.664809,2023-09-16 09:35:28.025359,0 days 00:00:03.360550,21.44897441986933,1053,0.05269752323345456,COMPLETE
48,20.422316441043762,2023-09-16 09:35:28.025359,2023-09-16 09:35:33.087938,0 days 00:00:05.062579,9.853989232023148,3983,0.30828716787544075,COMPLETE
49,19.45776439255153,2023-09-16 09:35:33.087938,2023-09-16 09:35:40.737000,0 days 00:00:07.649062,3.9522082863940176,1391,0.14816118061533834,COMPLETE
50,21.564794012754735,2023-09-16 09:35:40.737000,2023-09-16 09:35:44.692033,0 days 00:00:03.955033,15.668987524880464,2669,0.3876843624427453,COMPLETE
51,19.186220228774353,2023-09-16 09:35:44.692033,2023-09-16 09:35:51.929254,0 days 00:00:07.237221,2.7504515669713037,1785,0.2855877687590381,COMPLETE
52,18.699150425200713,2023-09-16 09:35:51.932518,2023-09-16 09:35:58.999751,0 days 00:00:07.067233,1.036599764930239,2253,0.30938887785887786,COMPLETE
53,18.964582780465793,2023-09-16 09:35:58.999751,2023-09-16 09:36:07.099770,0 days 00:00:08.100019,0.5451452655485416,2128,0.23050950023405814,COMPLETE
54,20.08548201444185,2023-09-16 09:36:07.099770,2023-09-16 09:36:12.683544,0 days 00:00:05.583774,7.784065299977328,513,0.2359233648821878,COMPLETE
55,20.533697928501315,2023-09-16 09:36:12.683544,2023-09-16 09:36:17.297636,0 days 00:00:04.614092,12.323883023435823,2501,0.18390739181311844,COMPLETE
56,19.615814694519923,2023-09-16 09:36:17.297636,2023-09-16 09:36:23.907614,0 days 00:00:06.609978,4.5924131612852745,1607,0.2090381311405432,COMPLETE
57,21.80657775362507,2023-09-16 09:36:23.907614,2023-09-16 09:36:50.558238,0 days 00:00:26.650624,0.09071986541022681,700,0.3581068787812556,COMPLETE
58,22.36472451514485,2023-09-16 09:36:50.558238,2023-09-16 09:37:05.883034,0 days 00:00:15.324796,17.55891101548586,2890,0.47707149049398195,COMPLETE
59,23.58489700821855,2023-09-16 09:37:05.883034,2023-09-16 09:37:18.411288,0 days 00:00:12.528254,24.470966493731193,4858,0.43060387272780887,COMPLETE
60,21.05358591327921,2023-09-16 09:37:18.411288,2023-09-16 09:37:36.255802,0 days 00:00:17.844514,9.788873618926889,1978,0.7250482510478117,COMPLETE
61,19.21263583576232,2023-09-16 09:37:36.255802,2023-09-16 09:38:03.897284,0 days 00:00:27.641482,2.8688095559334386,2206,0.23782180919220314,COMPLETE
62,20.8677756212497,2023-09-16 09:38:03.913668,2023-09-16 09:38:55.915626,0 days 00:00:52.001958,0.13303467227533067,2128,0.3123221619714563,COMPLETE
63,19.783569896281318,2023-09-16 09:38:55.915626,2023-09-16 09:39:28.452326,0 days 00:00:32.536700,5.734574375038824,2340,0.1672218966760649,COMPLETE
64,19.28484584455493,2023-09-16 09:39:28.452326,2023-09-16 09:40:02.892828,0 days 00:00:34.440502,3.1502272652361167,2600,0.20655950295459163,COMPLETE
65,20.570232245775145,2023-09-16 09:40:02.909397,2023-09-16 09:40:24.043523,0 days 00:00:21.134126,11.445598873922822,978,0.2637607728611308,COMPLETE
66,19.987884514491725,2023-09-16 09:40:24.051540,2023-09-16 09:40:46.373837,0 days 00:00:22.322297,7.434898623698269,1519,0.14300330569427425,COMPLETE
67,19.335564020734786,2023-09-16 09:40:46.373837,2023-09-16 09:40:54.644092,0 days 00:00:08.270255,3.1226944564307795,1252,0.3734517801888039,COMPLETE
68,19.99995678551089,2023-09-16 09:40:54.644092,2023-09-16 09:41:00.310965,0 days 00:00:05.666873,6.856978102724794,1854,0.3283116378210546,COMPLETE
69,23.109315834526956,2023-09-16 09:41:00.310965,2023-09-16 09:41:03.470028,0 days 00:00:03.159063,18.800136296886613,1710,0.5495321843816005,COMPLETE
70,21.057174756368777,2023-09-16 09:41:03.472402,2023-09-16 09:41:07.779036,0 days 00:00:04.306634,10.43168303484648,2041,0.6196498600105413,COMPLETE
71,19.075933536256212,2023-09-16 09:41:07.779036,2023-09-16 09:41:14.877536,0 days 00:00:07.098500,2.407858709892536,2105,0.3046953670607665,COMPLETE
72,19.131465775404525,2023-09-16 09:41:14.877536,2023-09-16 09:41:22.876613,0 days 00:00:07.999077,0.4351205169716119,2837,0.2470034009119897,COMPLETE
73,19.72468434112156,2023-09-16 09:41:22.876613,2023-09-16 09:41:39.027101,0 days 00:00:16.150488,5.105092574405903,2195,0.2906031900951642,COMPLETE
