number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
22,62.76224973936428,2023-09-15 23:39:43.385724,2023-09-15 23:40:54.260659,0 days 00:01:10.874935,0.8881817954190904,0.000982386023981971,5,535,0.10058898047061693,0.17642856574749738,0.995741647269257,COMPLETE
23,20.556588853604996,2023-09-15 23:40:54.260659,2023-09-15 23:41:40.740881,0 days 00:00:46.480222,0.8934740555098972,0.1172061550191662,4,375,0.14643110100875958,0.09127303695849032,0.774932518667445,COMPLETE
24,21.531350196916012,2023-09-15 23:41:40.740881,2023-09-15 23:42:34.768729,0 days 00:00:54.027848,0.7315398001958308,0.16807313041631278,3,676,0.22538135187544933,0.22419170882931716,0.9215394085119474,COMPLETE
25,19.11160511669193,2023-09-15 23:42:34.768729,2023-09-15 23:43:57.639863,0 days 00:01:22.871134,0.8844341140935876,0.06619230722147934,6,454,0.017352975536175402,0.05623621202254051,0.7311211263893704,COMPLETE
26,21.429610372268947,2023-09-15 23:43:57.639863,2023-09-15 23:45:27.931178,0 days 00:01:30.291315,0.9861760205091851,0.21049810769580732,5,571,0.314791204659326,0.1667675264559551,0.8463497788488652,COMPLETE
27,19.089354242379763,2023-09-15 23:45:27.931178,2023-09-15 23:46:24.414429,0 days 00:00:56.483251,0.7823926475318466,0.10040754163262391,4,492,0.08625281411277988,0.09503526339510548,0.7304002501177425,COMPLETE
28,19.97509520803946,2023-09-15 23:46:24.414429,2023-09-15 23:47:40.003263,0 days 00:01:15.588834,0.9203329734408016,0.0720163464287949,8,336,0.18319540994610384,0.2020212683904454,0.9402126069966148,COMPLETE
29,22.938961674035063,2023-09-15 23:47:40.003263,2023-09-15 23:48:15.227589,0 days 00:00:35.224326,0.8299652224902403,0.31386254162274313,3,419,0.06417027440553327,0.08707845996450791,0.8662364698871131,COMPLETE
30,23.447295423248967,2023-09-15 23:48:15.227589,2023-09-15 23:49:39.329837,0 days 00:01:24.102248,0.905109248988982,0.22510939708159677,5,637,0.3684311127444402,0.05902107218785285,0.9422946401772305,COMPLETE
31,18.529564207352134,2023-09-15 23:49:39.329837,2023-09-15 23:51:08.013852,0 days 00:01:28.684015,0.7592606047614998,0.010469532062430103,6,580,0.12768494828006993,0.02645947717055846,0.6947805980440104,COMPLETE
32,19.40969253906058,2023-09-15 23:51:08.029478,2023-09-15 23:52:22.522308,0 days 00:01:14.492830,0.992681362311612,0.0675541176463827,4,572,0.06430311004981609,0.14042320380865408,0.5536431686650615,COMPLETE
33,19.849389908736107,2023-09-15 23:52:22.522308,2023-09-15 23:53:46.480105,0 days 00:01:23.957797,0.9246361990209014,0.07256411170809232,6,501,0.16689603341807804,0.05439576314393776,0.8442638394746843,COMPLETE
34,19.1975200148306,2023-09-15 23:53:46.495729,2023-09-15 23:56:04.236919,0 days 00:02:17.741190,0.8258017571095334,0.004356519980393214,7,731,0.23103055707115583,0.14323257590696328,0.7342620862345508,COMPLETE
35,20.529223557311845,2023-09-15 23:56:04.236919,2023-09-15 23:56:47.894502,0 days 00:00:43.657583,0.6971214813059083,0.15021062999310325,3,549,0.06437528205828741,0.03544009984785389,0.6145245998542276,COMPLETE
36,19.083528433138824,2023-09-15 23:56:47.894502,2023-09-15 23:57:53.609562,0 days 00:01:05.715060,0.9433284433332471,0.06779375801035661,5,429,0.0016690826534480896,0.2621344284610034,0.46996611610479166,COMPLETE
37,20.978874405189078,2023-09-15 23:57:53.609562,2023-09-15 23:58:59.558385,0 days 00:01:05.948823,0.7591923415148496,0.12339991557651403,4,673,0.12149070693614124,0.0019031973817685358,0.8193701288861197,COMPLETE
38,21.290806245688636,2023-09-15 23:58:59.558385,2023-09-16 00:00:35.442163,0 days 00:01:35.883778,0.8615630665704537,0.1768493593250322,6,598,0.2387154670254658,0.13727769053418873,0.763465846773537,COMPLETE
39,19.20189312995541,2023-09-16 00:00:35.442163,2023-09-16 00:02:28.713064,0 days 00:01:53.270901,0.9412556421627546,0.05433909215513587,8,462,0.15076446415807332,0.05527106667618719,0.6988740328011921,COMPLETE
40,19.73236028746009,2023-09-16 00:02:28.713064,2023-09-16 00:04:46.753914,0 days 00:02:18.040850,0.9987473840068051,0.03185269403773085,7,644,0.2684965677945725,0.24688990054567253,0.807009057277946,COMPLETE
41,21.232245202106746,2023-09-16 00:04:46.753914,2023-09-16 00:05:13.932950,0 days 00:00:27.179036,0.8021497679283522,0.012944558819252456,6,163,0.11060489454424491,0.03525092479852231,0.6811142868761606,COMPLETE
42,18.85868090918926,2023-09-16 00:05:13.948577,2023-09-16 00:05:36.686736,0 days 00:00:22.738159,0.7493468134677994,0.11613817621340732,4,206,0.05859136915836212,0.17919713496907033,0.6444377569067271,COMPLETE
43,18.74899150575932,2023-09-16 00:05:36.686736,2023-09-16 00:07:55.345221,0 days 00:02:18.658485,0.6645421290452945,0.04632708410697628,11,501,0.21368634181925986,0.11757441224951018,0.6017822717735175,COMPLETE
44,20.980825226541644,2023-09-16 00:07:55.360844,2023-09-16 00:09:04.619370,0 days 00:01:09.258526,0.9200260614446796,0.1829036362295413,6,399,0.15027124577253984,0.018934285418996194,0.7109678390795451,COMPLETE
