product_id,akkukapazitat,anzahl_prozessorkerne,arbeitsspeicher,artikelnummer,audio_features,batterie_akkutyp,betriebssystem,betriebssystem_version,bildschirmdiagonale_zoll,bildschirmtechnologie,bildseitenverhaltnis,bildwiederholfrequenz,bildwiederholrate_bei_max_auflosung,bluetooth_version,breite,farbgruppe,frontkamera_auflosung,genaue_farbbezeichnung,gewicht,handy_features,hauptkamera_lichtstarke,hersteller,herstellernr,hohe,kamera_anzahl,kamera_auflosung,kamera_feature,kategorie,konnektivitat,ladetechnologie,lieferumfang,lange,max_videoauflosung,max_videoauflosung_standard,mobiler_prozessor,mobilfunk_standard,modellreihe,pixelauflosung,prozessor_taktfrequenz,punktdichte,sim_slot,sim_kartentyp,sim_typ,satellitennavigationssystemtyp,schutzart_ip_code,sensoren,smart_home_okosystem,speicherkapazitat,speicherkartentyp,steckertyp,titel,verkaufsrang_in_kategorie_smartphone,wlan_standard
11872416,3110 mAh,8 -Core,4 GB,11872416,"AACi
, Dolby Atmos",Li-Ioni,iOS,iOS 13,"6.10""",LCDi,19.5:9,240 Hz,60p,5.0,9 cm,Weiss,12 Mpx,White,370 g,Face Unlocki,1.80 f,Apple,MHDJ3ZD/A,3 cm,Dual Kamerai,12 Mpx,Weitwinkeli,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN","Power Delivery 2.0, Qi Wireless Charging","Dokumentation, USB‑C auf Lightning Kabel",17 cm,3840 x 2160 Pixels,UHD 4K,Apple A13 Bionic,4Gi,iPhone 11,1792 x 828 Pixels,,326 ppi,Nano-SIMi,"eSIMi
, Nano-SIMi",SIM + eSIM,"GLONASSi
, GPSi",IP68i,"Barometer, Beschleunigungssensor, Gyroskopi
, Kompass, Umgebungslichtsensori",Apple Siri,128 GB,,Lightningi,Apple iPhone 11,94 von 3430,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
11873474,3969 mAh,8 -Core,4 GB,11873474,"AACi
, Dolby Atmos",Li-Ioni,iOS,iOS 13,"6.50""",OLEDi,19.5:9,240 Hz,60p,5.0,10 cm,Grau,12 Mpx,Space Gray,550 g,Face Unlocki,1.80 f,Apple,MWHD2ZD/A,6 cm,Dual Kamerai,12 Mpx,"Telei
, Weitwinkeli",Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN","Power Delivery 2.0, Qi Wireless Charging","Dokumentation, USB‑C auf Lightning Kabel",18 cm,3840 x 2160 Pixels,UHD 4K,Apple A13 Bionic,4Gi,,2688 x 1242 Pixels,,458 ppi,Nano-SIMi,"eSIMi
, Nano-SIMi",SIM + eSIM,"GLONASSi
, GPSi",IP68i,"Barometer, Beschleunigungssensor, Gyroskopi
, Kompass, Umgebungslichtsensori",Apple Siri,64 GB,,Lightningi,Apple iPhone 11 Pro Max,,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci
, Wi-Fi 6 / 802.11ax"
12193109?supplier=406802,4000 mAh,8 -Core,8 GB,12193109,Dolby Atmos,,Android,Android 9.0 (Pie),"6.50""",AMOLED,20.5:9,60 Hz,30p,5.0,10.20 cm,Blau,16 Mpx,Ocean Blue,636 g,"3.5mm Klinkenbuchse, Face Unlocki",1.70 f,OPPO,5967719,6.20 cm,Dual Kamerai,48 Mpx,"Nachtmodusi
, Telei
, Weitwinkeli",Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Fast Charge,USB Typ-C Kabel,23.30 cm,2400 x 1080 Pixels,FHD+,Qualcomm Snapdragon 730G,4Gi,Oppo Reno,2400 x 1080 Pixels,2.20 GHz,401 ppi,Nano-SIMi,Nano-SIMi,Hybrid Dual SIMi,"A-GPS, Beidoui
, Galileoi
, GLONASSi",,"Annäherungssensor, Beschleunigungssensor, Gyroskopi
, Umgebungslichtsensori",Google Assistant,256 GB,microSDHCi,USB-C,OPPO Reno2,,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni"
12310584,4000 mAh,4 -Core,4 GB,12310584,Dolby Atmos,Li-Ioni,Android,Android 9.0 (Pie),"6.30""",LCDi,19:9,240 Hz,30p,5.0,9 cm,Blau,25 Mpx,Dunkelblau,420 g,"3.5mm Klinkenbuchse, Fingerprinti",1.60 f,Motorola,PAGE0001DE,5 cm,Dual Kamerai,48 Mpx,Nachtmodusi,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Fast Charge,"Gerät, Quick Start Guide, Schutzcover, SIM Kit, Turbo-Ladegerät, USB-C Kabel",17 cm,3840 x 2160 Pixels,UHD 4K,Qualcomm Snapdragon 665,4Gi,,1080 x 2280 Pixels,2 GHz,400 ppi,Nano-SIMi,Nano-SIMi,Hybrid Dual SIMi,"A-GPS, Galileoi
, GLONASSi
, GPSi",IP52i,"Annäherungssensor, Beschleunigungssensor, Kompass, Umgebungslichtsensori",Google Assistant,64 GB,microSDi,USB-C,Motorola G8 Plus,,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
12310585,4000 mAh,4 -Core,4 GB,12310585,Dolby Atmos,Li-Ioni,Android,Android 9.0 (Pie),"6.30""",LCDi,19:9,240 Hz,30p,5.0,8 cm,Rot,25 Mpx,Dunkelroti,430 g,"3.5mm Klinkenbuchse, Fingerprinti",1.60 f,Motorola,PAGE0003DE,5 cm,Dual Kamerai,48 Mpx,Nachtmodusi,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Fast Charge,"Gerät, Quick Start Guide, Schutzcover, SIM Kit, Turbo-Ladegerät, USB-C Kabel",17 cm,3840 x 2160 Pixels,UHD 4K,Qualcomm Snapdragon 665,4Gi,,1080 x 2280 Pixels,2 GHz,400 ppi,Nano-SIMi,Nano-SIMi,Hybrid Dual SIMi,"A-GPS, Galileoi
, GLONASSi
, GPSi",IP52i,"Annäherungssensor, Beschleunigungssensor, Kompass, Umgebungslichtsensori",,64 GB,microSDi,USB-C,Motorola G8 Plus,1067 von 3430,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
12499903,4500 mAh,8 -Core,6 GB,12499903,Dolby Atmos,Li-Ioni,Android,Android 10,"6.70""",Super AMOLED,20:9,,60p,5.0,10 cm,Schwarz,32 Mpx,Aura Black,480 g,"3.5mm Klinkenbuchse, Fingerprinti",,Samsung,SM-N770FZKDDBT,7 cm,Triple Kamerai,12 Mpx,HDRi,Smartphonei,Bluetoothi,Fast Charge,"Netzadapter, S Pen",18 cm,3840 x 2160 Pixels,UHD 4K,Exynos 9810,4Gi,,2400 x 1080 Pixels,2.70 GHz,394 ppi,,Nano-SIMi,Dual SIMi,"Beidoui
, Galileoi
, GLONASSi
, GPSi",,Umgebungslichtsensori,Samsung Bixby,128 GB,microSDi,USB-C,Samsung Galaxy Note 10 Lite,,Wi-Fi 5 / 802.11aci
12750305,4000 mAh,8 -Core,4 GB,12750305,AACi,,Android,Android 10,"6.50""",Super AMOLED,20:9,240 Hz,30p,5.0,8 cm,Schwarz,32 Mpx,Prism Crush Black,360 g,"3.5mm Klinkenbuchse, Fingerprinti",2 f,Samsung,SM-A515FZKVEUE,5 cm,Quad Kamerai,48 Mpx,"Telei
, Weitwinkeli",Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Fast Charge,USB C Kabel,16.60 cm,3840 x 2160 Pixels,4Ki,Exynos 9611,4Gi,Galaxy A5x,2400 x 1080 Pixels,2.20 GHz,407 ppi,Nano-SIMi,Nano-SIMi,Dual SIM + SDi,"A-GPS, Beidoui
, Galileoi
, GLONASSi
, GPSi",,"Beschleunigungssensor, Gyroskopi",Samsung Bixby,128 GB,microSDi,USB-C,Samsung Galaxy A51 EU,1033 von 3430,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
12858109,4260 mAh,8 -Core,12 GB,12858109,Dolby Atmos,LiPoi,Android,Android 10,"6.70""",OLEDi,20:9,120 Hz,,5.1,6.80 cm,Schwarz,32 Mpx,Black,640 g,Fingerprinti,3 f,OPPO,5973592,18.90 cm,Dual Kamerai,48 Mpx,"Nachtmodusi
, Optischer Zoom, Weitwinkeli",Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Super VOOC,"Adapteri
, Garantiekarte, Gehäuse, Kopfhörer, Schnellstartanleitung, SIM-Nadel, Telefon, USB-C Kabel",9.80 cm,4096 x 2160 Pixels,4Ki,Qualcomm Snapdragon 865,5Gi,Oppo Find X2,1440 x 3168 Pixels,2.84 GHz,513 ppi,Nano-SIMi,Nano-SIMi,Single SIM,"A-GPS, Beidoui
, Galileoi
, GLONASSi
, GPSi",IP68i,"Annäherungssensor, Barometer, Beschleunigungssensor, Farbtemperatursensor, Geomagnetischer Sensor, Gyroskopi
, Lichtsensor",Google Assistant,512 GB,,USB-C,OPPO Find X2 Pro,814 von 3430,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci
, Wi-Fi 6 / 802.11ax"
12858539,4260 mAh,8 -Core,12 GB,12858539,Dolby Atmos,LiPoi,Android,Android 10,"6.70""",OLEDi,20:9,120 Hz,,5.1,6.70 cm,Orange,32 Mpx,Orange,628 g,Fingerprinti,3 f,OPPO,5973593,18.90 cm,Dual Kamerai,48 Mpx,"Nachtmodusi
, Optischer Zoom, Weitwinkeli",Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Super VOOC,"Adapteri
, Garantiekarte, Gehäuse, Kopfhörer, Schnellstartanleitung, SIM-Nadel, Telefon, USB-C Kabel",9.80 cm,4096 x 2160 Pixels,4Ki,Qualcomm Snapdragon 865,5Gi,Oppo Find X2,1440 x 3168 Pixels,2.84 GHz,513 ppi,Nano-SIMi,Nano-SIMi,Single SIM,"A-GPS, Beidoui
, Galileoi
, GLONASSi
, GPSi",IP68i,"Annäherungssensor, Barometer, Beschleunigungssensor, Farbtemperatursensor, Geomagnetischer Sensor, Gyroskopi
, Lichtsensor",Google Assistant,512 GB,,USB-C,OPPO Find X2 Pro,,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci
, Wi-Fi 6 / 802.11ax"
12935475,4200 mAh,8 -Core,6 GB,12935475,AACi,LiPoi,Android,AOS (Android Open Source),"6.40""",IPSi,19.5:9,,,5.0 LE,9 cm,Grün,16 Mpx,Crush green,460 g,"3.5mm Klinkenbuchse, Fingerprinti",2.40 f,Huawei,51095CKE,5 cm,Dual Kamerai,48 Mpx,"Nachtmodusi
, Weitwinkeli",Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",SuperCharge,"Akku, Garantiekarte, Headset, Ladegerät, Schnellstartanleitung, Schutzfolie, SIM-Nadel, Smartphone, USB C Kabel",17 cm,2310 x 1080 Pixels,2K,Kirin 810,4Gi,Huawei P40,1080 x 2340 Pixels,2.27 GHz,398 ppi,Nano-SIMi,Nano-SIMi,Hybrid Dual SIMi,"A-GPS, Galileoi
, GLONASSi
, GPSi
, QZSS",,"Annäherungssensor, Beschleunigungssensor, Kompass, Umgebungslichtsensori",Google Assistant,128 GB,Nano SD,USB-C,Huawei P40 Lite,1047 von 3430,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
