listing_no,postcode,price_chf,description,canton,long_title,seller,price_with_utilities,object,category,rooms,space_sqm,characteristics,availability,last_change,listing_number,available_as_of
987,3053,1190,"In Langenthal an der Bützbergstrasse 108 per 1. Juni 2023 oder nach Vereinbarung gemütliche 3,5-Zimmerwohnung mit Balkon im 2. Stock nach Vereinbarung zu vermieten.",Bern,"Sanierte 3,5-Zimmerwohnung im 2. Stock zu vermieten",NA,1190,Wohnung,Wohnung,3,69,NA,NA,2023-04-27,48011339,NA
988,4900,1690,"Gemütliche Dachwohnung mit Galerie in kleinem Mehrfamilienhaus, süd-west-orientiert. Wandschränke.",Bern,"Helle, grosse, ruhige Galeriewohnung",NA,1690,Wohnung,Wohnung,4,124,NA,NA,2023-04-27,48011336,NA
989,3145,1500,"Grosse Genossenschafts-Wohnung mit hohen, lichtdurchfluteten Räumen, Réduit, Badezimmer renoviert, zusätzlicher Holzofen, Balkon, Garten. Die ehemalige Omega Fabrik liegt direkt am Ufer des Baches ""Schüss"", neben dem Bahnhof Cortébert, mit grossem Umschwung mit Obstbäumen. Suchen angenehme Mieter, die sich gerne mit kleineren Aufgaben engagieren möchten.",Bern,Wohnen am Bach im Berner Jura / Vivre au bord d'un ruisseau,NA,1500,Wohnung,Wohnung,4,112,NA,NA,2023-04-27,48011334,NA
990,2607,1400,Die grosszügige und helle Wohnung an perfekter Lage verfügt über:,Bern,Grosszügige 4-Zimmer-Wohnung in Ittigen,NA,1400,Wohnung,Wohnung,4,NA,NA,NA,2023-04-27,48011269,NA
991,3063,2690,Wir suchen Nachmieter für diese wunderschöne und Einzigartige Loftwohnung in der alten Cartonnagefabrik im Städtli Laupen. Diese hat folgende Vorzüge:,Bern,Einzigartige Loftwohnung,NA,2690,Wohnung,Wohnung,3.5,167,NA,NA,2023-04-27,48011267,NA
992,3177,1950,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Traumhafte Wohnung mit Bergblick im Herzen von Thun,NA,1950,Wohnung,Wohnung,3.5,80,NA,NA,2023-04-27,48011239,NA
993,3600,1710,"Die Wohnung hat einen modernen und praktischen Grundriss, grosse Einbauschränke, zwei Nasszellen mit Dusche/WC und Badewanne/WC und ein grosses Kellerabteil. Durch die grossen Fenster bringt man viel Tageslicht in die Wohnung und man fühlt sich direkt zuhause. Es gibt einen eigenen Spielplatz, Veloraum und Rasenfläche zum Spielen.",Bern,"Lebendiges, familienfreundliches und doch sehr ruhiges Wohnq",NA,1710,Wohnung,Wohnung,4.5,90,NA,NA,2023-04-27,48011217,NA
994,2553,2250,"Per 01. Juli 2023 oder nach Verinbarung vermieten wir eine grosszügige 5,5 Zimmer-Wohnung in Muri.",Bern,Hier könnte Ihr Wohntraum in Erfüllung gehen,NA,2250,Wohnung,Wohnung,5.5,NA,NA,NA,2023-04-28,48011192,NA
995,3074,1600,"Per 01. Juli 2023 oder nach Verinbarung vermieten wir eine grosszügige 3,5 Zimmer-Wohnung an ruhiger Lage, in kinderfreundlichem Quartier, Nähe öV Station Seidenberg",Bern,3.5-Zimmerwohnung Seidenberg Gümligen,NA,1600,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-27,48011191,NA
996,3073,1240,Die Wohnung liegt im ruhigen Mösliquartier direkt am Waldrand. Sie liegt direkt unter dem Dach und verfügt daher über schöne Dachschrägen aus Holz.,Bern,Schöne 2 1/2 Zimmerwohnung in ruhiger Gegend,NA,1240,Wohnung,Wohnung,2.5,64,NA,NA,2023-04-27,48011187,NA
997,2503,1200,Wir vermieten per 1. Juli 2023 oder nach Vereinbarung eine grosszügige 3-Zimmerwohnung.,Bern,3-Zimmerwohnung 1. OG rechts,NA,1200,Wohnung,Wohnung,3,69,NA,NA,2023-04-27,48011185,NA
998,3507,1394,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Helle 3 Zimmer-Wohnung zu vermieten,NA,1394,Wohnung,Wohnung,3,60,NA,NA,2023-04-27,48011179,NA
999,3604,1210,Wir vermieten eine 4-Zimmerwohnung an ruhiger Lage in Herzogenbuchsee.,Bern,4-Zimmerwohnung in Herzogenbuchsee,NA,1210,Wohnung,Wohnung,4,NA,NA,NA,2023-04-27,48011171,NA
1000,3360,1440,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Sanierte 4-Zimmer-Wohnung in Niederscherli,NA,1440,Wohnung,Wohnung,4,NA,NA,NA,2023-04-27,48011161,NA
1001,3145,1350,Cet Appartement au-dessus de Bienne avec une belle vue sur le Jura bernois comprend:,Bern,Appartement familial de 4.5 pièces,NA,1350,Wohnung,Wohnung,4.5,93,NA,NA,2023-04-27,48011126,NA
1002,2603,1380,Im Buechägerte-Quartier profitieren Sie von folgenden Vorteilen:,Bern,grosszügige 2.5-Zimmerwohnung für Singles oder Paare,NA,1380,Wohnung,Wohnung,2.5,75,NA,NA,2023-04-27,48011124,NA
1003,4914,1790,Im frisch sanierten Bauernhaus befinden sich 9 sorgfältig ausgebaute Wohnungen.,Bern,moderne 3.5-Zimmerwohnung in saniertem Bauernhaus,NA,1790,Wohnung,Wohnung,3.5,94,NA,NA,2023-04-27,48011123,NA
1004,4914,1950,Die helle 3.5 Zimmerwohnung im vierten Stock punktet mit folgenden Vorzügen:,Bern,3.5-Zimmerwohnung nähe Bahnhof und Stadtmitte,NA,1950,Wohnung,Wohnung,3.5,103,NA,NA,2023-04-27,48011121,NA
1005,2502,1340,"Wohnen in der Buechägerte-Überbauung!  Im Buechägerte-Quartier profitieren Sie von folgenden Vorteilen:",Bern,"Modern und zentral, für Singles oder Paare",NA,1340,Wohnung,Wohnung,2.5,71,NA,NA,2023-04-27,48011119,NA
1006,4914,1370,"Wohnen in der Buechägerte-Überbauung!  Im Buechägerte-Quartier profitieren Sie von folgenden Vorteilen:",Bern,2.5-Zimmerwohnung mit grosszügigem Balkon,NA,1370,Wohnung,Wohnung,2.5,71,NA,NA,2023-04-27,48011118,NA
1007,4914,1425,Im Buechägerte-Quartier profitieren Sie von folgenden Vorteilen:,Bern,helle 2.5-Zimmerwohnung mit grosszügigem Balkon,NA,1425,Wohnung,Wohnung,2.5,70,NA,NA,2023-04-27,48011117,NA
1008,4914,790,Bel appartement avec beaucoup de charme à Tavannes,Bern,appartement 2.5 pièces tavannes,NA,790,Wohnung,Wohnung,2.5,NA,NA,NA,2023-04-28,48011103,NA
1009,2710,1550,Wir vermieten diese moderne 3.5-Zimmer-Wohnung mit ca. 61 m2 Wohnfläche im 1 Stock per 1. Juni oder nach Vereinbarung,Bern,3.5 Zimmer-Wohnung an ruhiger Lage in Thun mieten,NA,1550,Wohnung,Wohnung,3.5,61,NA,NA,2023-04-27,48011096,NA
1010,3604,2160,"Wir vermieten ab Mai 2023 oder nach Vereinbarung eine gepflegte, ältere und sehr grosszügige",Bern,"diräkt am Lyssbach, 5.5 Zimmer-Dach-Wohnung mit viel Platz",NA,2160,Wohnung,Wohnung,5.5,NA,NA,NA,2023-04-27,48011088,NA
1011,3250,1750,"Lassen Sie sich von dieser schönen Wohnung mit neuer Küche überraschen! grosse und grosszügige 4 1/2-Zimmer-Dachwohnung mit Galerie im Zentrum von Schwarzenburg per 1. Mai 2023 oder nach Vereinbarung",Bern,4 1/2-Zimmer Dachwohnung mit Galerie im schönen Schwarzenbur,NA,1750,Wohnung,Wohnung,4.5,NA,NA,NA,2023-04-27,48011087,NA
1012,3150,1900,"Wir vermieten per August 2023 oder nach Vereinbarung an der Mittelstrasse 44 C, Kirchlindach",Bern,5.5 Zimmer-Wohnung in Bauernhaus-Wohnteil in Kirchlindach zu,NA,1900,Wohnung,Maisonette / Duplex,5.5,NA,NA,NA,2023-04-27,48011086,NA
1013,3038,2130,"Helle, geräumige 4 1/2 Zimmerwohnung im Parterre mit schöner Aussicht und direktem Zugang zuTerrasse und Gartensitzplatz. Inkl. Kellerabteil, Garage und Carport. Guter Ausbaustandart. Eigene Quelle. Heizung Holz (Fernheizung inkl. Warmwasseraufbereitung). Gemeinsame Waschküche.",Bern,4 1/2 Zimmer - Wohnung im Grünen,NA,2130,Wohnung,Wohnung,4.5,110,NA,NA,2023-05-01,48011083,NA
1014,3417,1780,"Zu vermieten im Tellenfeld, frisch renovierte, spezielle Wohnung auf zwei Stockwerken. Geräumiger Eingang, Waschküche mit Toilette und separates Zimmer im EG, Treppe aus Holz ins OG, Parkett in Korridor und Wohnzimmer, Laminat im Schlafzimmer, Küche mit Abwaschmaschine. Bushaltestelle in unmittelbarer Nähe. WG möglich, nur an NR, Haustiere nach Absprache.",Bern,3.5-Zimmer-Wohnung,NA,1780,Wohnung,Wohnung,3.5,102,NA,NA,2023-04-27,48011082,NA
1015,3714,960,"""Wohnungen in Herrenhaus""",Bern,Wohnungen in Herrenhaus,NA,960,Wohnung,Wohnung,3,NA,NA,NA,2023-04-27,48011073,NA
1016,3512,2130,"""Sanierte Wohnungen in Herrenhaus""",Bern,Erstvermietung nach Sanierung in Herrenhaus,NA,2130,Wohnung,Wohnung,4.5,NA,NA,NA,2023-04-27,48011072,NA
1017,3512,1490,Wir vermieten per 01. 07.2023 oder nach Vereinbarung diese helle 3.5-Zimmerwohnung in Biel. Die Wohnung hat folgendes zu bieten:,Bern,"zentral, hell, in ruhiger Umgebung",NA,1490,Wohnung,Wohnung,3.5,57,NA,NA,2023-04-27,48011071,NA
1018,2503,1250,Wir vermieten per sofort oder nach Vereinbarung diese helle 2.5-Zimmerwohnung in Biel. Die Wohnung hat folgendes zu bieten:,Bern,Hier fühlen Sie sich wohl!,NA,1250,Wohnung,Wohnung,2.5,56,NA,NA,2023-04-27,48011070,NA
1019,2503,1350,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Schöne 2.5 Zimmerwohnung in der Siedlung Aebnit!,NA,1350,Wohnung,Wohnung,2.5,NA,NA,NA,2023-04-27,48011062,NA
1020,3073,1250,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,3-Zimmer-Wohnung an zentraler Lage,NA,1250,Wohnung,Wohnung,3,64,NA,NA,2023-04-27,48011054,NA
1021,3532,1050,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,"3 1/2-Zimmer-Wohnung, 2. Stock mitte",NA,1050,Wohnung,Wohnung,3,75,NA,NA,2023-04-27,48011053,NA
1022,2554,1250,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Grosszügige Dachwohnung,NA,1250,Wohnung,Wohnung,3.5,80,NA,NA,2023-04-27,48011052,NA
1023,3432,2190,ERSTBEZUG nach TOTALSANIERUNG,Bern,ERSTVERMIETUNG - 4 1/2 Zwg mit grosem Balkon,NA,2190,Wohnung,Wohnung,4.5,105,NA,NA,2023-04-27,48011049,NA
1024,2562,1900,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Attika-Wohnung mit grosser Terrasse zum verweilen,NA,1900,Wohnung,Attikawohnung,3.5,83,NA,NA,2023-04-27,48011039,NA
1025,3360,1573,Wohnung,Bern,"Grosszügige, renovierte 2.5-Zimmerwohnung",NA,1573,Wohnung,Wohnung,2.5,NA,NA,NA,2023-04-27,48011024,NA
1026,3006,1050,"Très bel appartement de 2,5 pièces récemment rénové à Bienne.",Bern,"Très bel appartement de 2,5 pièces récemment rénové à louer",Salihu,1050,Wohnung,Wohnung,2.5,NA,NA,Ab sofort,2023-04-26,48010775,NA
1027,2500,2310,"Einmalige Gelegenheit! Sehr schön renovierte, grosszügige und helle 6,5 Zi. Attikawohnung mit Galerie, im malerischen Dorfkern von Twann: 2050.- + 260.-",Bern,"6,5 Zi. Duplex-Traumwohnung in Twann zu vermieten!",Christina Darcey,2310,Wohnung,Maisonette / Duplex,NA,160,Balkon / Terrasse / Sitzplatz,Ab Datum,2023-04-26,48008545,01.07.2023
1028,2513,2650,Die grosszügige Wohnung bietet folgende Vorzüge:,Bern,"Schöne 4,5 Zimmer Wohnung mit grosser Wohnküche",Gfeller,2650,Wohnung,Wohnung,4.5,145,Balkon / Terrasse / Sitzplatz Garage / Parkplatz,Ab Datum,2023-04-26,48006696,01.06.2023
1030,3076,1700,"Nachmieter:in (ohne Betreibungen) gesucht per 01.07.2023. Zur Wohnung gehört ein Gemeinschaftsgarten, 2 Hochbeete zur alleinigen Nutzung,  eigene Garage, sowie eigenes Kellerabteil. Alles im Mietpreis inbegriffen. Küche wurde im 2021, Fassade im 2023 saniert. Bei Interesse bitte per Mail melden. Danke.",Bern,NA,Carmen Maurer,1700,Wohnung,Wohnung,NA,NA,Balkon / Terrasse / Sitzplatz Garage / Parkplatz Haustiere erlaubt,Ab Datum,2023-04-26,48006429,01.07.2023
1031,3422,990,A louer dès mi-mai 2023 ou à convenir :,Bern,Charmant 2 pièces à La Neuveville,Vincent Frangi,990,Wohnung,Wohnung,2,NA,NA,Ab Datum,2023-04-26,47991102,16.05.2023
1032,2520,950,Wir vermieten möblierte Einzel- und Doppelzimmer mit Allgemeinküche und Etagenbad sowie möblierte  Einzel- und Doppelzimmer mit eigenem Bad.,Bern,Möblierte Zimmer zu vermieten,Nathalie Ravasio-Felice,950,Wohnung,Einzelzimmer,1,NA,Balkon / Terrasse / Sitzplatz,Ab sofort,2023-04-27,46321635,NA
1033,2543,1040,Cet appartement mezzanine à louer offre un espace de 70 mètres carrés moderne et lumineux avec une cheminée. Il comprend aussi une petite chambre et une cuisine ouverte ainsi qu'une cave. Une petite machine à laver est aussi incluse dans l'appartement.,Bern,NA,Glauser,1040,Wohnung,Maisonette / Duplex,NA,NA,NA,Ab Datum,2023-04-27,47122864,01.06.2023
1034,2610,530,"Zu vermieten in Urtenen-Schönbühl Atelier Laden mit Schaufenster und eigenem Eingang mit Licht, Parkettboden, Wc,und Wasser geeignet für Büro, Reisebüro oder anderes Gewerbe wie zum Beispiel Akupunktur",Bern,"Zu vermieten Laden /AtelierWasser, Wc, Schaufenster ab 1Juli",Siegenthaler,530,Wohnung,Wohnung,1,40,NA,Ab Datum,2023-04-26,48004001,01.07.2023
1035,3322,1716,Sehr schöne ruhig gelegene 3 1/2 Zimmerwohnung Parterre im Spiegel zu vermieten. Die Nasszelle und die Küche wurden neu saniert. Die Zimmer verfügen über Parkettböden. Zur Wohnung gehören Keller- und Estrichabteil sowie ein Sitzplatz.,Bern,Ruhig gelegene 3.5-Zimmer-Wohnung,NA,1716,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-26,48000701,NA
1036,3095,1920,"Grosse 4,5-Zimmer-Wohnung mit Balkon in Worb (Minergie-Standart). Offene und moderne Küche mit Geschirrspüler und Glaskeramikherd, Bad/WC und sep. Dusche/WC, grosser Balkon, Bodenbeläge Parkett und Keramikplatten. Die Wohnung liegt sehr zentral und die RBS Haltestelle ist in wenigen Gehminuten erreichbar. Einkaufsmöglichkeiten in unmittelbarer Nähe. Autounterstände können dazu gemietet werden (Fr. 80.00).",Bern,"Grosszügige 4,5-Zimmer-Wohnung in Worb",NA,1920,Wohnung,Wohnung,4.5,100,NA,NA,2023-04-26,48000700,NA
1037,3076,1530,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Teilsanierte 2.5-Zimmer-Wohnung in Bern,NA,1530,Wohnung,Wohnung,2.5,NA,NA,NA,2023-04-26,48000653,NA
1038,3012,750,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Appartement de 2 pièces,NA,750,Wohnung,Wohnung,2,NA,NA,NA,2023-04-26,48000650,NA
1040,2610,1190,In Schwarzenburg vermieten wir per sofort oder nach Vereinbarung eine schöne 3.5-Zimmerwohnung im 2. Stock.,Bern,Schöne 3 1/2-Zimmerwohnungen mit Balkon,NA,1190,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-26,48000552,NA
1041,3150,1650,An zentraler Lage vermieten wir beim Hauptbahnhof von Biel eine frisch renovierte,Bern,Frisch renovierte Wohnung beim Hauptbahnhof von Biel,NA,1650,Wohnung,Wohnung,4,80,NA,NA,2023-04-26,48000514,NA
1042,2502,1680,"In den beliebten und ruhigen Burgerbeunden in Nidau vermieten wir am Föhrenweg 3 eine sanierte 4,5-Zimmerwohnung im 2. Stock   mit folgendem Ausbau:",Bern,Grosszügige und helle Wohnung mit zwei Badezimmern,NA,1680,Wohnung,Wohnung,4.5,97,NA,NA,2023-04-26,48000513,NA
1043,2560,1880,An ruhiger Lage vermieten wir am Amselweg 1 in einem 6-Familienhaus eine schöne 4.5-Zimmerwohnung im 1. Stock:,Bern,An erhöhter Lage im beliebten Ipsach,NA,1880,Wohnung,Wohnung,4.5,NA,NA,NA,2023-04-26,48000512,NA
1044,2563,2650,"Per 01.08.2023 oder nach Vereinbarung vermieten wir eine attraktive und grosse 7.0 Zimmerwohnung in grüner Umgebung, welche Ihnen auf 191 m2 folgende Annehmlichkeiten bietet:",Bern,Wohnen wie im Einfamilienhaus!,NA,2650,Wohnung,Wohnung,7,191,NA,NA,2023-04-26,48000508,NA
1045,3671,2210,"An familienfreundlicher Umgebung und ruhiger Lage vermieten wir ab 01.06.2023 oder nach Vereinbarung diese moderne, teils rollstuhlgängige",Bern,Helle und grosse 4.5-Wohnung mit Balkon,NA,2210,Wohnung,Wohnung,4.5,NA,NA,NA,2023-04-26,48000502,NA
1046,3173,1660,"Im äusserst ruhigen Mösli-Quartier, vermieten wir per 1. Mai 2023 diese schöne, helle 4.5-Zimmerwohnung mit sonnigem Balkon",Bern,Im Herzen von Ostermundigen - Mösliquartier,NA,1660,Wohnung,Wohnung,4.5,89,NA,NA,2023-04-26,48000498,NA
1047,3072,1280,"In einem repräsentativen, sehr aufwendig sanierten 4-Familienhaus aus der Jahrhundertwende, vermieten wir im begehrten Kirchenfeldquartier nach Vereinbarung einen voll ausgestatteten Raum, welcher sich sehr gut als Studio, Büro oder Atelier eignet. Der Raum (ca. 48 m2) befindet sich im Soussol, inkl. einem separaten Lagerraum (ca. 7 m2).",Bern,"Heimeliges Studio im ""Kirchenfeldquartier""",NA,1280,Wohnung,Wohnung,1.5,48,NA,NA,2023-04-26,48000494,NA
1048,3005,1010,"Da ich in eine grössere Wohnung umziehe, suche ich einen Nachmieter für diese moderne 2-Zimmer-Wohnung im Zentrum von Biel, 5 Gehminuten vom Bahnhof!",Bern,"Gemütliche, moderne 2-Zimmerwohnung Nähe Bahnhof",NA,1010,Wohnung,Wohnung,2,40,NA,NA,2023-04-26,48000491,NA
1049,2502,1150,Bitte beachten Sie die Vermietungskriterien!,Bern,3 Zimmer-Wohnung mit Vermietungskriterien,NA,1150,Wohnung,Wohnung,3,58,NA,NA,2023-04-26,48000490,NA
1050,3027,1690,"An sehr sonniger Lage vermieten wir diese neu sanierten, helle, moderne",Bern,renovierte 3 1/2-Zimmerwohnung,NA,1690,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-26,48000487,NA
1051,3072,2070,"Per 01. Juli 2023 oder nach Vereinbarung, vermieten wir eine moderne und grosszügige 3.5-Zimmer-Wohnung an idealer Wohnlage in Ins.",Bern,Grosszügige und helle 3.5-Zimmer-Wohnung,NA,2070,Wohnung,Wohnung,3.5,121,NA,NA,2023-04-26,48000453,NA
1052,3232,1800,Wir vermieten per 1. August 23 oder nach Vereinbarung eine renovierte Dachwohnung mit Sichtholzbalken im 2. Stock (kein Lift).,Bern,Thun Seefeld,NA,1800,Wohnung,Wohnung,4,80,NA,NA,2023-04-26,48000434,NA
1053,3600,1810,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,2557 Studen: Attique avec grande terrasse,NA,1810,Wohnung,Wohnung,3.5,92,NA,NA,2023-04-26,48000363,NA
1054,2557,1170,"Kandersteg bietet ganzjährig ein breites Angebot an Freizeit- und   Sportmöglichkeiten und ist mit dem Auto und ÖV gut erreichbar.",Bern,"Komplett sanierte, sonnige 2.5-Zimmer Wohnung",NA,1170,Wohnung,Wohnung,2.5,53,NA,NA,2023-04-26,48000337,NA
1055,3718,1370,Moderner Plattenboden,Bern,"Hübsche 2,5-Zimmerwohnung im Hochparterre",NA,1370,Wohnung,Wohnung,2.5,44,NA,NA,2023-04-26,47999980,NA
1056,3072,1610,Die total sanierte lichtdurchflutete Wohnung im 6. OG bietet Ihnen folgende Vorzüge:,Bern,Erstbezug nach Sanierung,NA,1610,Wohnung,Wohnung,4.5,93,NA,NA,2023-04-26,47999978,NA
1057,3250,2000,"Zu vermieten an der Bifangmatt 23 wunderschöne und moderne neue 4,5 Zimmer-Wohnung südseitig im 1. Stock an sonniger Lage mit hellen Zimmern und grossem Balkon.",Bern,"4,5 Zimmer, 124m2, CHF 2'000.--",NA,2000,Wohnung,Wohnung,4.5,124,NA,NA,2023-04-26,47999937,NA
1058,3472,1820,"Die neue Überbauung ""Adlerweg"" im schönen Niederbipp schafft attraktiven Wohnraum für jeden Geschmack. Die modernen 2.5-Zimmerattikawohnung der fünf dreistöckigen Wohnkörper haben einiges anzubieten.",Bern,Terrassenwohnung im Neubau zu vermieten,NA,1820,Wohnung,Attikawohnung,2.5,78,NA,NA,2023-04-26,47999909,NA
1059,4704,1230,"Die neue Überbauung ""Adlerweg"" im schönen Niederbipp schafft attraktiven Wohnraum für jeden Geschmack. Die modernen 3.5-Zimmerwohnungen der fünf dreistöckigen Wohnkörper haben einiges anzubieten.",Bern,Neubau 2.5-Zimmerwohnung an ruhiger Lage,NA,1230,Wohnung,Wohnung,2.5,56,NA,NA,2023-04-26,47999908,NA
1060,4704,1730,"Die neue Überbauung ""Adlerweg"" im schönen Niederbipp schafft attraktiven Wohnraum für jeden Geschmack. Die modernen 3.5-Zimmerwohnungen der fünf dreistöckigen Wohnkörper haben einiges anzubieten.",Bern,Luxuriöse Neubau-Wohnung,NA,1730,Wohnung,Wohnung,3.5,82,NA,NA,2023-04-26,47999907,NA
1061,4704,1420,Das kleine Mehrfamilienhaus ist zentral gelegen und gut erreichbar. Der Ausbau der Wohnung ist wie folgt:,Bern,Wohnen in Bern-Bethlehem,NA,1420,Wohnung,Wohnung,3,65,NA,NA,2023-04-26,47999519,NA
1062,3027,1400,"Das Mehrfamilienhaus mit 6 Wohnungen befindet sich an zentraler, erhöhter Lage. Das Mietobjekt wurde 2020 innen komplett saniert. Der Ausbau ist wie folgt:",Bern,Sanierte Wohnung in Ostermundigen,NA,1400,Wohnung,Wohnung,3,70,NA,NA,2023-04-26,47999518,NA
1063,3072,1375,"an der Kirchenfeldstrasse 29 in Bern  vermieten wir per 1. Juli 2023 (gerne auch auf 1. Juni 2023)",Bern,Ein kleines Bijou,NA,1375,Wohnung,Wohnung,2.5,NA,NA,NA,2023-04-26,47999469,NA
1064,3005,1390,Wir vermieten eine gemütliche 3.5-Zimmer-Wohnung. Die Wohnung befindet sich im 1. OG und bietet Ihnen folgendes:,Bern,Einziehen und Wohlfühlen,NA,1390,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-26,47999466,NA
1065,3006,1345,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Wohnen im Tscharni - eine Besichtigung lohnt sich!,NA,1345,Wohnung,Wohnung,3.5,67,NA,NA,2023-04-26,47999464,NA
1066,3027,1830,"In Aarberg an zentraler Lage vermieten wir per 01.07.23 oder nach Vereinbarung diese grosszügige, wirklich helle 4.5-Zimmer-Wohnung.",Bern,Helle 4.5 Zimmer-Wohnung mit grossem Balkon und viel Grün,NA,1830,Wohnung,Wohnung,4.5,111,NA,NA,2023-04-26,47999456,NA
1067,3270,1390,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Votre nouvelle maison,NA,1390,Wohnung,Wohnung,4.5,NA,NA,NA,2023-04-26,47999448,NA
1068,2720,1490,In einer gepflegten Liegenschaft vermieten wir per sofort eine angenehme 4.5Zimmerwohnung.,Bern,Renovierte Wohnung zum vermieten!,NA,1490,Wohnung,Wohnung,4.5,NA,NA,NA,2023-04-26,47999446,NA
1069,2503,1720,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Helle 3-Zimmer-Wohnung im Fischermätteli-Quartier,NA,1720,Wohnung,Wohnung,3,75,NA,NA,2023-04-26,47999409,NA
1070,3008,1980,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Wohnen zwischen Gurten und Aare,NA,1980,Wohnung,Wohnung,3,90,NA,NA,2023-04-26,47999399,NA
1071,3084,1050,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Appartement 3.5 pièces au 1er etage,NA,1050,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-26,47999392,NA
1072,2735,1250,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihr neues Zuhause / Votre nouveau logement,NA,1250,Wohnung,Wohnung,1,NA,NA,NA,2023-04-26,47999386,NA
1073,2503,800,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ferienwohnung im Diemtigtal,NA,800,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-26,47999384,NA
1074,3757,1580,Wir vermieten per 16. Juni 2023 oder nach Vereinbarung eine 4.5-Zimmer-Wohnung in Seftigen.,Bern,4.5-Zimmer-Wohnung an ruhiger Lage in Seftigen,NA,1580,Wohnung,Wohnung,4.5,NA,NA,NA,2023-04-26,47999381,NA
1075,3662,1390,"Wir vermieten auf per 1. Juli 2023 oder nach Vereinbarung diese schöne 3.5-Zimmerwohnung mit Sicht auf Eiger, Mönch und Jungfrau am Gärtlirain 1 in Ortschwaben.   Ländlich und doch stadtnah (nur 15 min. vom Zentrum Bern entfernt) wohnen Sie in einem ruhigen, familienfreundlichen Quartier. Eine Bushaltestelle befindet sich direkt vor der Haustüre.   Ihre Wunschwohnung:  - helles, grosses Wohnzimmer",Bern,Schöne 3.5-Zimmerwohnung mit Bergsicht,NA,1390,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-26,47999368,NA
1076,3042,1490,Ab 16. Mai 2023 vermieten wir in der Nähe des Inselspitals eine schöne und helle,Bern,Schöne 2- Zimmerwohnung nähe Inselspital,NA,1490,Wohnung,Wohnung,2,NA,NA,NA,2023-04-26,47999361,NA
1077,3008,1390,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Hier endet Ihre Wohnungssuche,NA,1390,Wohnung,Wohnung,4.5,88,NA,NA,2023-04-26,47999350,NA
1078,4932,1290,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Wir suchen genau Sie,NA,1290,Wohnung,Wohnung,3,63,NA,NA,2023-04-26,47999348,NA
1079,2502,1730,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Familienwohnung - für SIE bereitgestellt !,NA,1730,Wohnung,Wohnung,5.5,106,NA,NA,2023-04-26,47999346,NA
1080,4900,1090,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,home sweet home - Spezialangebot für Sie !,NA,1090,Wohnung,Wohnung,3.5,63,NA,NA,2023-04-26,47999343,NA
1081,4900,1680,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Wenn Kinder wählen dürfen - Spezialangebot !,NA,1680,Wohnung,Wohnung,5.5,110,NA,NA,2023-04-26,47999342,NA
1082,4900,1240,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Besichtigen - Einziehen - Wohlfühlen - Spezialangebot,NA,1240,Wohnung,Wohnung,4.5,76,NA,NA,2023-04-26,47999341,NA
