listing_no,postcode,price_chf,description,canton,long_title,seller,price_with_utilities,object,category,rooms,space_sqm,characteristics,availability,last_change,listing_number,available_as_of
20,2557,950,Logement situé au 2e étage dans un immeuble avec 2 ascenseurs.,Bern,Appartement situé à proximité de la gare CFF,NA,950,Wohnung,Wohnung,3,NA,NA,NA,2023-05-02,48087181,NA
21,2740,1230,Logement situé au rez-de-chaussée avec accès terrasse.,Bern,Appartement avec place dans parking souterrain,NA,1230,Wohnung,Wohnung,3.5,NA,NA,NA,2023-05-02,48087180,NA
22,2740,1135,"Local de buanderie individuel sur le palier avec colonne à laver-sécher, logement bénéficiant dun grand volume, dune importante luminosité et dun balcon-terrasse très spacieux orienté ouest. 1 place de parc incluse dans le loyer.",Bern,Appartement de rénovation récente au centre-ville,NA,1135,Wohnung,Wohnung,2.5,NA,NA,NA,2023-05-02,48087179,NA
23,2740,1490,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,3.5-Zimmer-Wohnung mit Alpenblick,NA,1490,Wohnung,Wohnung,3.5,NA,NA,NA,2023-05-02,48087169,NA
24,3006,1322,"? Helle 3 ½-Zimmerwohnung mit neuer Wohnküche,mit allem Konfort wie Geschirrspüler, Glaskeramik, Granitabdeckung.Neues Badezimmer und seperates WC. Grosser Balkon, Einbauschrank im Entrée. Bodenbeläge: Parkett-Laminat und Platten. Grosses Kellerabteil. Das 12-Familienhaus wurde wärmetechnisch saniert durch eine Aussenisolation nach der Norm eines Neubaus.Es besitzt einen Lift und ist ruhig gelegen ohne Durchgangsverkehr.Es hat einen gemütlichen Gartensitzplatz mit Grillstelle und einen Kinderspielplatz. Kostenlose Parkplätze sind genügend vorhanden.",Bern,Modernisierte 3 1/2 Zimmer-Wohnung in total saniertem 12-Fam,NA,1322,Wohnung,Wohnung,3.5,72,NA,NA,2023-05-02,48087164,NA
25,3150,2680,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Erstbezug ? Wohnen wie im Eigenheim mit einmaliger Aussicht,NA,2680,Wohnung,Wohnung,4.5,118,NA,NA,2023-05-02,48087156,NA
26,3172,1380,"3054 Schüpfen, Schlattweg 6, 3.5 Zimmerwohnung",Bern,"Wunderschöne 3.5 Zimmerwohnung in 3054 Schüpfen, Nähe Freiba",NA,1380,Wohnung,Wohnung,3.5,70,NA,NA,2023-05-02,48087148,NA
27,3054,1530,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Moderne 3.5-ZW à 71 m2 im 2. OG mit Balkon,NA,1530,Wohnung,Wohnung,3.5,71,NA,NA,2023-05-02,48087076,NA
28,3018,2050,Es ist soweit - die umfassende Renovation unserer Liegenschaft im Quartier Untermatte in Bern ist auf der Zielgerade. So gelangt nun diese sehr schöne Attikawohnung ins Vermietungsangebot.,Bern,4.5 Zimmer Attikawohnung - Erstbezug nach Sanierung,NA,2050,Wohnung,Attikawohnung,4.5,82,NA,NA,2023-05-02,48087074,NA
29,3027,1600,Wir vermieten per 01.08.2023 eine moderne 2.5-Zimmerwohnungen an der Bernstrasse 83 in Zollikofen.,Bern,Sanierte Wohnung in Zollikofen,NA,1600,Wohnung,Wohnung,2.5,50,NA,NA,2023-05-02,48087059,NA
