listing_no,price_chf,condition,displacement,year,brand,model,mileage_km,transmission,fuel,colour,last_edited,id,mfk,drive
4436,9140,Neu ,750,2022,KAWASAKI,Z650RS,0,NA,NA,Schwarz,2022-08-21,44623658,no,NA
4437,13900,Geringe Gebrauchsspuren ,1500,2009,HARLEY-DAVIDSON,FLHR,65700,NA,NA,Schwarz,2022-08-21,44623610,no,NA
4438,6900,Geringe Gebrauchsspuren ,750,2015,HONDA,CB 650 F ABS,14700,NA,NA,Schwarz,2022-08-21,44623602,no,NA
4439,5500,Geringe Gebrauchsspuren ,750,NA,SUZUKI,Gsr 750 freegun,15000,Schaltgetriebe,Benzin,Weiss,2022-08-22,44222882,no,NA
4440,7900,Geringe Gebrauchsspuren ,1500,1999,HARLEY-DAVIDSON,FXDX,121100,NA,NA,Grau,2022-08-21,44623586,no,NA
4441,7300,Geringe Gebrauchsspuren ,750,2016,HONDA,NC 750 SA ABS,15500,NA,NA,Rot,2022-08-21,44623584,no,NA
4442,8300,Geringe Gebrauchsspuren ,750,2013,KAWASAKI,Z750R ABS,15800,NA,NA,Schwarz,2022-08-21,44623561,no,NA
4443,5900,Geringe Gebrauchsspuren ,750,2016,SUZUKI,SV 650 A,16100,NA,NA,Weiss,2022-08-21,44623557,no,NA
4444,7300,Geringe Gebrauchsspuren ,750,2016,YAMAHA,MT-07 ABS,29800,NA,NA,Rot,2022-08-21,44623543,no,NA
4445,6900,Geringe Gebrauchsspuren ,750,2016,SUZUKI,SV 650 A,16100,NA,NA,Weiss,2022-08-21,44623540,no,NA
4446,6900,Geringe Gebrauchsspuren ,750,2016,YAMAHA,MT-07 ABS,29800,NA,NA,Rot,2022-08-21,44623534,no,NA
4447,6900,Geringe Gebrauchsspuren ,1200,2007,TRIUMPH,Tiger 1050 ABS,37600,NA,NA,Weiss,2022-08-21,44623527,no,NA
4448,3900,Geringe Gebrauchsspuren ,750,1994,HONDA,VF 750 C,40900,NA,NA,NA,2022-08-21,44623526,no,NA
4449,15900,Geringe Gebrauchsspuren ,1200,2016,BMW,R1200GS,38832,NA,NA,NA,2022-08-28,44623485,no,NA
4451,5000,NA,NA,2017,YAMAHA,MT-07 ABS,17000,Schaltgetriebe,Benzin,Schwarz,2022-09-03,44623376,yes,Hinterradantrieb
4452,8000,NA,NA,2014,HONDA,CB 1100 SA  ABS,8100,Schaltgetriebe,Benzin,Rot,2022-08-21,44623373,no,Hinterradantrieb
4453,22440,NA,NA,2022,YAMAHA,YZF-R1 ABS,1,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623371,yes,Hinterradantrieb
4454,10140,NA,NA,2022,YAMAHA,Tracer 7,1,Schaltgetriebe,Benzin,Grün,2022-08-21,44623370,yes,Hinterradantrieb
4455,5540,NA,NA,2022,YAMAHA,XSR 125,1,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623369,yes,Hinterradantrieb
4456,8540,NA,NA,2022,YAMAHA,MT-07,1,Schaltgetriebe,Benzin,Grau,2022-08-21,44623368,yes,Hinterradantrieb
4457,3500,NA,NA,2001,HONDA,VT 750 C Shadow,50211,Schaltgetriebe,Benzin,Grün,2022-08-21,44623367,no,Hinterradantrieb
4458,4600,NA,NA,2020,SUZUKI,GSX-R 125 L7,5400,Schaltgetriebe,Benzin,Blau,2022-08-31,44623366,yes,Hinterradantrieb
4459,13800,NA,NA,2019,BMW,S 1000 R ABS,15600,Schaltgetriebe,Benzin,Anthrazit,2022-08-21,44623365,no,Hinterradantrieb
4460,8500,NA,NA,2020,TRIUMPH,Street Cup 900 i,100,Schaltgetriebe,Benzin,Silber,2022-08-21,44623361,yes,Hinterradantrieb
4461,13850,NA,NA,2018,APRILIA,Tuono V4 1100 Factory,27000,Schaltgetriebe,Benzin,Rot,2022-08-26,44623359,no,Hinterradantrieb
4462,18490,NA,NA,2021,KAWASAKI,Ninja ZX-10R,2370,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623358,yes,Hinterradantrieb
4463,8900,NA,NA,2017,HONDA,CRF 1000A  Africa Twin,24500,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623357,no,Hinterradantrieb
4464,3500,NA,NA,2012,KAWASAKI,Ninja 250 R,21000,Schaltgetriebe,Benzin,Grün,2022-08-21,44623355,no,Hinterradantrieb
4465,21940,NA,NA,2022,BMW,S 1000 RR,1000,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623351,yes,Hinterradantrieb
4466,12980,NA,NA,2015,BMW,S 1000 XR ABS,12800,Schaltgetriebe,Benzin,Weiss,2022-08-27,44623348,yes,Hinterradantrieb
4467,13800,NA,NA,2008,HARLEY-DAVIDSON,XL 1200 N Sportster Nightster,19400,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623346,yes,Hinterradantrieb
4468,6900,NA,NA,2013,YAMAHA,XVS 950 A,48900,NA,NA,Schwarz,2022-08-21,44623344,no,NA
4469,3900,NA,NA,1996,YAMAHA,XV 535,22300,NA,NA,Blau,2022-08-21,44623343,no,NA
4470,5800,NA,NA,2012,SUZUKI,GSR 750 A,65900,NA,NA,Schwarz,2022-08-21,44623342,no,NA
4471,4900,NA,NA,2012,SUZUKI,GSR 750 A,65900,NA,NA,Schwarz,2022-08-21,44623341,no,NA
4472,7500,NA,NA,2008,MOTO GUZZI,V7 750 Classic,12000,NA,NA,Weiss,2022-08-21,44623340,no,NA
4473,8800,NA,NA,2018,MOTO GUZZI,V7 750 Special ABS,2300,NA,NA,Blau,2022-08-21,44623338,no,NA
4474,23800,NA,NA,2022,BMW,R 1250 GS,900,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623337,yes,Hinterradantrieb
4475,4950,NA,NA,2018,Royal Enfield,Classic Chrome 500i EFI,12823,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623336,no,Hinterradantrieb
4476,23500,NA,NA,2010,HARLEY-DAVIDSON,FXDWGI Dyna Wide Glide,53081,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623334,no,Hinterradantrieb
4477,6200,NA,NA,2010,YAMAHA,FJR 1300 ABS,37136,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623329,no,Hinterradantrieb
4478,3000,NA,NA,1998,BMW,R 1100 RT -75-,40000,Schaltgetriebe,Benzin,Blau,2022-08-21,44623328,no,Hinterradantrieb
4479,3390,NA,NA,2022,HONDA,CBF 125 M,1,Schaltgetriebe,Benzin,Rot,2022-08-21,44623326,yes,Hinterradantrieb
4480,5790,NA,NA,2016,HONDA,CB 500 FA ABS,14350,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623323,no,Hinterradantrieb
4481,8890,NA,NA,2021,HONDA,NC 750 X,4750,Schaltgetriebe,Benzin,Weiss,2022-08-21,44623322,yes,Hinterradantrieb
4482,6500,NA,NA,2018,HONDA,CMX500 Rebel ABS,10850,Schaltgetriebe,Benzin,Grau,2022-08-21,44623321,yes,Hinterradantrieb
4483,11900,NA,NA,2006,DUCATI,Monster 1000 S4Rs Testastretta,19100,Schaltgetriebe,Benzin,Weiss,2022-08-21,44623317,yes,Hinterradantrieb
4484,11990,NA,NA,2021,YAMAHA,MT-09 SP,1700,Schaltgetriebe,Benzin,Schwarz,2022-09-03,44623316,yes,Hinterradantrieb
4485,11000,NA,NA,2017,YAMAHA,MT-10 SP ABS,16890,Schaltgetriebe,Benzin,Grau,2022-08-30,44623315,no,Hinterradantrieb
4486,8950,NA,NA,2014,TRIUMPH,Tiger 800 XC ABS,10950,Schaltgetriebe,Benzin,Schwarz,2022-08-23,44623314,yes,Hinterradantrieb
4487,19200,NA,NA,2021,HARLEY-DAVIDSON,FLFBS Fat Boy 114,15000,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623313,yes,Hinterradantrieb
4488,16150,NA,NA,2022,BMW,F 850 GS Adventure,10,Schaltgetriebe,Benzin,Grün,2022-08-21,44623309,yes,Hinterradantrieb
4489,19100,NA,NA,2021,BMW,S 1000 XR,9126,Schaltgetriebe,Benzin,Weiss,2022-08-21,44623307,yes,Hinterradantrieb
4490,10500,NA,NA,2016,KAWASAKI,GTR 1400 ABS,16560,Schaltgetriebe,Benzin,Blau,2022-08-21,44623306,yes,Hinterradantrieb
4491,7200,NA,NA,2016,YAMAHA,XVS 1300 A  CFD,14000,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623305,yes,Hinterradantrieb
4492,17600,NA,NA,2019,BMW,R 1250 RT,18334,Schaltgetriebe,Benzin,Rot,2022-08-21,44623303,yes,Hinterradantrieb
4493,12690,NA,NA,2022,KTM,300 EXC MY 23,10,NA,2-Takt-Gemisch,Orange,2022-08-21,44623302,yes,NA
4494,13490,NA,NA,2022,KTM,300 EXC ERZBERGRODEO MY 23,10,Schaltgetriebe,2-Takt-Gemisch,Grau,2022-08-21,44623301,yes,Hinterradantrieb
4495,19900,NA,NA,2015,HARLEY-DAVIDSON,FLSTN Softail Deluxe ABS,12850,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623300,no,Hinterradantrieb
4496,16900,NA,NA,2018,HARLEY-DAVIDSON,FLSL Softail Slim 107 ABS,4455,Schaltgetriebe,Benzin,Rot,2022-08-21,44623298,yes,Hinterradantrieb
4497,8400,NA,NA,2022,KAWASAKI,Z 650 RS,400,Schaltgetriebe,Benzin,Grün,2022-08-21,44623296,yes,Hinterradantrieb
4498,16800,NA,NA,2021,KAWASAKI,Z H2 SE Performance,4700,Schaltgetriebe,Benzin,Grün,2022-08-21,44623295,yes,Hinterradantrieb
4499,4600,NA,NA,2010,YAMAHA,WR 250 R,17000,Schaltgetriebe,Benzin,Blau,2022-08-21,44623294,no,Hinterradantrieb
4500,32900,NA,NA,2018,HARLEY-DAVIDSON,FLHXS Street Glide Special 107 ABS,2500,Schaltgetriebe,Benzin,Weiss,2022-08-21,44623293,no,Hinterradantrieb
4501,6000,NA,NA,2014,SUZUKI,GSR/Virus 750 A Freegun,11840,NA,Benzin,Schwarz,2022-08-21,44623292,yes,NA
4502,8000,NA,NA,2015,KAWASAKI,VN 1700 Classic ABS,10000,Schaltgetriebe,Benzin,Anthrazit,2022-09-04,44623291,no,Hinterradantrieb
4503,19900,NA,NA,2020,HONDA,CBR 1000 SP ABS,3300,Schaltgetriebe,Benzin,Rot,2022-09-05,44623289,yes,Hinterradantrieb
4504,4900,NA,NA,2000,MOTO GUZZI,California EV,76700,NA,Benzin,Rot,2022-08-25,44623288,yes,NA
4505,3500,NA,NA,2018,BMW,G 310 R ABS,25000,Schaltgetriebe,Benzin,Weiss,2022-09-05,44623285,no,Hinterradantrieb
4506,5300,NA,NA,2014,YAMAHA,MT-09 ABS,63100,Schaltgetriebe,Benzin,Orange,2022-08-21,44623282,yes,Hinterradantrieb
4507,19900,NA,NA,1967,TRIUMPH,Bonneville T120R,43513,Schaltgetriebe,Benzin,Mehrfarbig,2022-08-21,44623281,no,Hinterradantrieb
4508,5400,NA,NA,2007,TRIUMPH,Speed Triple 1050,23378,Schaltgetriebe,Benzin,Schwarz,2022-09-02,44623280,yes,Hinterradantrieb
4509,3765,NA,NA,2022,PIAGGIO,LIBERTY SPORT125 ABS E5,10,Automatik,Benzin,Schwarz,2022-08-21,44623279,yes,Hinterradantrieb
4510,5645,NA,NA,2022,PIAGGIO,VESPA GTS 125 SUPER E5,10,Automatik,Benzin,Rot,2022-08-21,44623278,yes,Hinterradantrieb
4511,8450,NA,NA,2022,CF MOTO,CForce 450 One 4x4,1,NA,Benzin,Schwarz,2022-08-21,44623275,yes,NA
4512,11990,NA,NA,2023,KTM,EXC 300 TPI,1,NA,Benzin,Orange,2022-08-21,44623271,yes,NA
4513,25500,NA,NA,2018,Indian,Roadmaster Elite,25550,Schaltgetriebe,Benzin,Blau,2022-08-21,44623268,yes,Hinterradantrieb
4514,10800,NA,NA,2014,TRIUMPH,Thunderbird 1700 ABS LT Commander,27300,Schaltgetriebe,Benzin,Blau,2022-08-21,44623267,yes,Hinterradantrieb
4515,25500,NA,NA,2018,Indian,Roadmaster Elite,25550,Schaltgetriebe,Benzin,Blau,2022-08-21,44623264,yes,Hinterradantrieb
4516,7500,NA,NA,2012,BMW,R 1200 GS,74650,Schaltgetriebe,Benzin,Grau,2022-08-21,44623263,yes,Hinterradantrieb
4517,9999,NA,NA,2020,MOTO GUZZI,V7 III Stone S,4900,Schaltgetriebe,Benzin,Silber,2022-08-21,44623262,yes,Hinterradantrieb
4518,5400,NA,NA,2015,DUCATI,Scrambler 800 Icon,13500,Schaltgetriebe,Benzin,Rot,2022-09-03,44623260,yes,Hinterradantrieb
4519,29900,NA,NA,2014,HARLEY-DAVIDSON,VRSCDX Night Rod Special ABS,15500,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623259,yes,Hinterradantrieb
4520,5500,NA,NA,2002,DUCATI,Monster 620 i.e.,7400,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623258,yes,Hinterradantrieb
4521,30500,NA,NA,2022,DUCATI,Multistrada V4 S Sport Performance,4000,Schaltgetriebe,Benzin,Rot,2022-08-21,44623257,yes,Hinterradantrieb
4522,5990,NA,NA,2017,HARLEY-DAVIDSON,XG 750 Street Rod,12100,Schaltgetriebe,Benzin,Anthrazit,2022-08-21,44623256,no,Hinterradantrieb
4523,8900,NA,NA,2015,DUCATI,Multistrada 1200 S,56500,Schaltgetriebe,Benzin,Weiss,2022-08-21,44623255,no,Hinterradantrieb
4524,8500,NA,NA,2021,KAWASAKI,Z 650,4100,NA,Benzin,Schwarz,2022-08-21,44623253,yes,NA
4525,9900,NA,NA,2020,YAMAHA,XSR 900 ABS,14500,NA,Benzin,Schwarz,2022-08-21,44623252,yes,NA
4526,4900,NA,NA,2010,KAWASAKI,ER-6n,14100,NA,Benzin,Grün,2022-08-21,44623251,no,NA
4527,12900,NA,NA,2012,HARLEY-DAVIDSON,XL 1200X Sportster Forty-Eight,7200,NA,Benzin,Schwarz,2022-08-21,44623249,no,NA
4528,5300,NA,NA,2010,KAWASAKI,ER-6n,14100,NA,Benzin,Grün,2022-08-21,44623248,no,NA
4529,25250,NA,NA,2022,BMW,R 1250 GS Rallye,10,Schaltgetriebe,Benzin,Weiss,2022-08-21,44623246,yes,Hinterradantrieb
4530,14990,NA,NA,2014,BMW,K 1600 A GTL Comfort Navi,11000,Schaltgetriebe,Benzin,Grau,2022-08-23,44623244,yes,Hinterradantrieb
4531,12750,NA,NA,2018,BMW,R nine T Scrambler ABS,4766,Schaltgetriebe,Benzin,Grau,2022-08-21,44623243,no,Hinterradantrieb
4532,12070,NA,NA,2022,YAMAHA,Tenere 700,500,Schaltgetriebe,Benzin,Schwarz,2022-09-03,44623240,yes,Hinterradantrieb
4533,11160,NA,NA,2022,YAMAHA,Tracer 7,100,Schaltgetriebe,Benzin,Rot,2022-09-03,44623239,yes,Hinterradantrieb
4534,12900,NA,NA,2018,BMW,S 1000 XR ABS+DTC,38000,NA,Benzin,Weiss,2022-08-21,44623238,no,NA
4535,28800,NA,NA,2022,BMW,R 1250 GS Adventure von Privat/Komplett Ausstattung,903,Schaltgetriebe,Benzin,Weiss,2022-08-21,44623237,yes,Hinterradantrieb
4536,5700,NA,NA,2013,BMW,F 700 GS ABS,54000,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623236,yes,Hinterradantrieb
4537,3950,NA,NA,2019,HONDA,Z 125 Monkey,4099,Schaltgetriebe,Benzin,Mehrfarbig,2022-08-21,44623234,yes,Hinterradantrieb
4538,5900,NA,NA,2021,SUZUKI,SV 650 (35kW),6900,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623231,yes,Hinterradantrieb
4539,8700,NA,NA,1980,HARLEY-DAVIDSON,XLH 1000 Sportster,9500,Schaltgetriebe,Benzin,Schwarz,2022-08-21,44623230,no,Hinterradantrieb
4540,11400,NA,NA,2022,KTM,890 Duke,2400,Schaltgetriebe,Benzin,Orange,2022-08-21,44623229,yes,Hinterradantrieb
4541,5800,NA,NA,2002,HONDA,VTR 1000 SP2,64290,NA,Benzin,Weiss,2022-08-21,44623226,no,NA
4542,17118,NA,NA,2022,HONDA,CRF 1100 L Africa Twin ABS,1,NA,Benzin,Schwarz,2022-08-21,44623225,yes,NA
4543,7390,NA,NA,2022,HONDA,CB 300 R ABS,1,NA,Benzin,Schwarz,2022-08-21,44623224,yes,NA
4544,5590,NA,NA,2022,HONDA,CB 125 R,1,NA,Benzin,Grau,2022-08-21,44623220,yes,NA
4545,14900,NA,NA,2021,HONDA,CRF 1100 L Africa Twin DCT ABS,970,NA,Benzin,Schwarz,2022-08-21,44623219,yes,NA
4546,17079,NA,NA,2022,HONDA,CRF 1100 L Africa Twin ABS,1,NA,Benzin,Rot,2022-08-21,44623218,yes,NA
4547,4990,NA,NA,2022,HONDA,Z 125 MA ABS Monkey,1,NA,Benzin,Blau,2022-08-21,44623217,yes,NA
4548,6200,NA,NA,2010,HONDA,CB 1000 R ABS,23920,NA,Benzin,Rot,2022-08-21,44623215,no,NA
4549,7990,Neuwertig ,1500,1990,SUZUKI,Intruder,73000,Schaltgetriebe,Benzin,Blau,2022-09-01,44612704,yes,Antriebswelle / Kardanwelle
4551,13500,Neuwertig ,900,2020,TRIUMPH,Tiger Gt Pro,3000,NA,NA,NA,2022-08-21,43527765,no,NA
4552,3300,Geringe Gebrauchsspuren ,1000,2010,KAWASAKI,z1000,38000,NA,NA,Schwarz,2022-08-21,43249877,yes,NA
4553,14550,Neuwertig ,1000,2018,KAWASAKI,ZX10RR,5000,Schaltgetriebe,Benzin,Schwarz,2022-08-31,44620283,no,Kette
4554,7900,Neu ,750,2020,KAWASAKI,Z650,5000,Schaltgetriebe,Benzin,Grün,2022-08-20,44620126,yes,Kette
4555,10400,Neuwertig ,900,2021,KAWASAKI,z900,1800,Schaltgetriebe,Benzin,Schwarz,2022-08-20,44620069,yes,NA
4556,7900,Geringe Gebrauchsspuren ,750,2017,KAWASAKI,Z650 ABS,12400,NA,NA,Schwarz,2022-08-20,44620027,no,NA
4558,12780,Neu ,750,2022,HUSQVARNA,701 Enduro,0,NA,NA,Weiss,2022-08-20,44619946,no,NA
4559,4500,Geringe Gebrauchsspuren ,750,2006,KAWASAKI,ER-6n,58800,NA,NA,Grau,2022-08-20,44619925,no,NA
4560,6700,Neuwertig ,125,2020,HUSQVARNA,TC 125,52,Schaltgetriebe,2-Takt-Gemisch,Weiss,2022-08-20,44619819,no,Kette
4561,8800,Geringe Gebrauchsspuren ,750,2011,SUZUKI,GSR 750 A,19000,NA,NA,Weiss,2022-08-20,44619840,no,NA
4562,6500,Geringe Gebrauchsspuren ,500,2020,HONDA,CB 500 F,15000,Schaltgetriebe,Benzin,NA,2022-08-21,43890145,yes,Kette
4563,5790,Neu ,125,2022,PIAGGIO,Vespa 125 Primavera,0,NA,NA,Weiss,2022-08-20,44619777,no,NA
4565,7500,Geringe Gebrauchsspuren ,500,2021,HONDA,CB 500 F ABS,900,NA,NA,Rot,2022-08-20,44619706,no,NA
4567,4900,Geringe Gebrauchsspuren ,600,2000,YAMAHA,YZF-R6,30200,NA,NA,Rot,2022-08-20,44619657,no,NA
4568,9900,Neuwertig ,600,2008,YAMAHA,YZF-R6,22800,Schaltgetriebe,Benzin,Weiss,2022-08-20,44619542,no,NA
4569,13980,Neu ,600,2022,YAMAHA,XP 530 ABS DX,0,NA,NA,Silber,2022-08-20,44619563,no,NA
4570,13900,Geringe Gebrauchsspuren ,1000,2018,BMW,S 1000 R ABS+DTC,13800,NA,NA,Weiss,2022-08-20,44619517,no,NA
4571,5500,Geringe Gebrauchsspuren ,600,2008,SUZUKI,Gsxr K8,43000,Schaltgetriebe,NA,NA,2022-08-20,44619494,no,NA
4572,19800,Geringe Gebrauchsspuren ,1500,2013,HARLEY-DAVIDSON,FLSTF 1690 Fat Boy ABS,9600,NA,NA,Schwarz,2022-08-20,44619448,no,NA
4573,5100,Geringe Gebrauchsspuren ,600,2009,HONDA,CBF 600 NA,60400,NA,NA,Rot,2022-08-20,44619419,no,NA
4574,18900,Geringe Gebrauchsspuren ,1500,2013,HARLEY-DAVIDSON,FLSTF 1690 Fat Boy ABS,9600,NA,NA,Schwarz,2022-08-20,44619328,no,NA
4575,7900,Geringe Gebrauchsspuren ,800,2011,HONDA,VFR 800 X Crossrunner ABS,19300,NA,NA,Weiss,2022-08-20,44619292,no,NA
4576,7900,Geringe Gebrauchsspuren ,1000,2007,SUZUKI,GSX-R 1000,29100,NA,NA,Blau,2022-08-20,44619247,no,NA
4579,13900,Geringe Gebrauchsspuren ,800,1985,BMW,R 80 RT,5800,NA,NA,Grau,2022-08-20,44619179,no,NA
4580,8300,Geringe Gebrauchsspuren ,750,2017,KAWASAKI,Z650 ABS,5100,NA,NA,Weiss,2022-08-20,44619161,no,NA
4581,5900,Geringe Gebrauchsspuren ,600,2009,HONDA,CB 600 FA Hornet,23900,NA,NA,Schwarz,2022-08-20,44619103,no,NA
4582,5900,Geringe Gebrauchsspuren ,500,2013,HONDA,CB 500 F ABS,26800,NA,NA,Rot,2022-08-20,44619040,no,NA
4583,5500,Geringe Gebrauchsspuren ,600,2009,HONDA,CB 600 FA Hornet,23900,NA,NA,Schwarz,2022-08-20,44618971,no,NA
4584,4990,Neu ,125,2022,HONDA,CB 125 F,0,NA,NA,Weiss,2022-08-20,44618933,no,NA
4585,6900,Geringe Gebrauchsspuren ,500,2020,HONDA,CB 500 F ABS,1900,NA,NA,Rot,2022-08-20,44618823,no,NA
4586,7900,Geringe Gebrauchsspuren ,750,2015,HONDA,CB 650 F ABS,23300,NA,NA,Gelb,2022-08-20,44618789,no,NA
4587,4600,Neuwertig ,1800,2005,KAWASAKI,Mean Streak,63000,Schaltgetriebe,Benzin,Orange,2022-08-26,44618174,yes,Antriebswelle / Kardanwelle
4588,5200,Geringe Gebrauchsspuren ,1200,2011,BMW,R1200 R,41000,Schaltgetriebe,Benzin,NA,2022-08-20,44618533,no,Antriebswelle / Kardanwelle
4589,10900,Geringe Gebrauchsspuren ,900,2021,KTM,890 Duke L  ABS,11800,NA,NA,Schwarz,2022-08-20,44618638,no,NA
4590,9200,Geringe Gebrauchsspuren ,900,2017,DUCATI,803 Scrambler,900,NA,NA,Rot,2022-08-20,44618549,no,NA
4591,2500,Geringe Gebrauchsspuren ,1500,1992,KAWASAKI,VN 15,94800,Schaltgetriebe,Benzin,Grau,2022-08-20,44172686,no,Hinterradantrieb
4592,13000,Neuwertig ,1200,2017,HARLEY-DAVIDSON,xl 1200 x forty eight,5600,NA,NA,Schwarz,2022-08-20,44618020,yes,NA
4593,4500,Neuwertig ,125,2021,YAMAHA,Mt-125,8600,Schaltgetriebe,Benzin,NA,2022-09-02,44618204,yes,NA
4594,6900,Geringe Gebrauchsspuren ,750,2016,HONDA,NC 700 XD,22100,NA,NA,Schwarz,2022-08-20,44618427,no,NA
4595,10900,Geringe Gebrauchsspuren ,1300,2012,HARLEY-DAVIDSON,XL 1200N Sportster Nightster,28700,NA,NA,Schwarz,2022-08-20,44618400,no,NA
4596,1100,Geringe Gebrauchsspuren ,125,1985,HONDA,JC 05 ( CM 125 C ),40500,NA,Benzin,NA,2022-08-20,44198868,yes,NA
4597,3000,Neuwertig ,500,2007,KTM,400 EXC,6500,NA,NA,NA,2022-08-20,44618157,no,NA
4598,8900,Geringe Gebrauchsspuren ,1500,2009,HONDA,VTX 1800 C,32500,NA,NA,Schwarz,2022-08-20,44618215,no,NA
4599,17700,Geringe Gebrauchsspuren ,1500,2015,HARLEY-DAVIDSON,FLS 1690 Softail Slim,19800,NA,NA,Beige,2022-08-20,44618195,no,NA
4600,3500,Geringe Gebrauchsspuren ,125,2019,KAWASAKI,Z125,13000,Schaltgetriebe,Benzin,Grün,2022-08-20,44617966,yes,Kette
4601,5700,Geringe Gebrauchsspuren ,750,2009,SUZUKI,GSF 650 SA Bandit,33500,NA,NA,Grau,2022-08-20,44618004,no,NA
4602,12700,Geringe Gebrauchsspuren ,1200,2018,DUCATI,1100 Scrambler ABS,600,NA,NA,NA,2022-08-20,44617948,no,NA
4603,6900,Geringe Gebrauchsspuren ,750,2015,HONDA,NC 750 SA ABS,23800,NA,NA,Rot,2022-08-20,44617856,no,NA
4604,9990,Neu ,750,2022,SUZUKI,GSX-S 750,0,NA,NA,Weiss,2022-08-20,44617803,no,NA
4605,15900,Neuwertig ,1500,1997,HONDA,GL 1500,97000,NA,NA,NA,2022-08-26,44502904,yes,Antriebswelle / Kardanwelle
4607,3900,Geringe Gebrauchsspuren ,1200,2004,SUZUKI,GSF 1200,22000,NA,NA,Blau,2022-08-20,44617665,no,NA
4609,9990,Neu ,750,2022,YAMAHA,XSR 700 ABS XTribute,0,NA,NA,Silber,2022-08-20,44617553,no,NA
4610,5300,Geringe Gebrauchsspuren ,750,2008,KAWASAKI,ER-6n,14800,NA,NA,Grün,2022-08-20,44617555,no,NA
4611,999,Geringe Gebrauchsspuren ,50,2015,DERBI,Senda Sm Xtrem,9971,Schaltgetriebe,2-Takt-Gemisch,Schwarz,2022-08-20,44617451,no,Kette
4612,3900,Geringe Gebrauchsspuren ,750,2009,MOTO GUZZI,V7 Classic,40857,NA,Benzin,Weiss,2022-08-20,44617304,yes,NA
4614,7900,Geringe Gebrauchsspuren ,1000,2016,YAMAHA,XV 950,6000,NA,NA,Blau,2022-08-20,44617444,no,NA
4615,7000,Geringe Gebrauchsspuren ,900,2017,TRIUMPH,StreetTwin,6525,Schaltgetriebe,Benzin,Grau,2022-08-28,44503239,no,Kette
4616,9900,Geringe Gebrauchsspuren ,1000,2011,BMW,S 1000 RR ABS+DTC,40800,NA,NA,Grau,2022-08-20,44617321,no,NA
4617,9690,Neu ,750,2022,YAMAHA,XSR 700 ABS Tribute,0,NA,NA,Silber,2022-08-20,44617296,no,NA
4618,10500,Geringe Gebrauchsspuren ,900,2007,TRIUMPH,Scrambler,13500,Schaltgetriebe,Benzin,NA,2022-09-03,44616990,no,Kette
4619,3900,Geringe Gebrauchsspuren ,1000,2004,SUZUKI,SV 1000,40200,NA,NA,Grau,2022-08-20,44617121,no,NA
4620,11990,Neu ,900,2022,MOTO GUZZI,V9 850 Roamer,0,NA,NA,Grau,2022-08-20,44617113,no,NA
4621,6350,Geringe Gebrauchsspuren ,900,2009,HARLEY-DAVIDSON,Sportster 883cxl,18000,NA,NA,Schwarz,2022-08-20,44617046,no,NA
4622,3800,Geringe Gebrauchsspuren ,600,2009,HONDA,DNS 01,32500,NA,Benzin,Violet,2022-08-20,44617038,yes,Antriebswelle / Kardanwelle
4624,10900,Geringe Gebrauchsspuren ,900,2021,KTM,890 Duke ABS,0,NA,NA,Orange,2022-08-20,44616908,no,NA
4625,9990,Neu ,750,2022,SUZUKI,GSX-S 750,0,NA,NA,Blau,2022-08-20,44616833,no,NA
4626,4200,Neuwertig ,350,2021,NA,NA,2005,Schaltgetriebe,Benzin,Schwarz,2022-08-20,44139490,yes,Hinterradantrieb
4627,6790,Neu ,500,2022,KTM,390 Duke ABS,0,NA,NA,Weiss,2022-08-20,44616713,no,NA
4628,7900,Geringe Gebrauchsspuren ,750,2016,KAWASAKI,Vulcan S,27800,NA,NA,Schwarz,2022-08-20,44616642,no,NA
4629,7900,Geringe Gebrauchsspuren ,750,2013,KAWASAKI,Z750R ABS,15800,NA,NA,Schwarz,2022-08-20,44616547,no,NA
4630,9800,Geringe Gebrauchsspuren ,1800,2012,HARLEY-DAVIDSON,Fat Bob 2012 abs,66823,NA,NA,Schwarz,2022-08-20,44616439,no,Riemen / Zahnriemen
4632,4000,Neuwertig ,750,1999,MOTO GUZZI,Nevada 750 club,34000,NA,NA,NA,2022-09-01,43731492,yes,NA
4633,5500,Geringe Gebrauchsspuren ,1000,2006,HONDA,CBF 1000 ABS,22900,NA,NA,Grau,2022-08-20,44616407,no,NA
