iter	RMSE
156	4019.113621
157	4016.951593
158	4013.45854
159	4010.123207
160	4005.142247
161	4004.499104
162	4001.260344
163	3998.212275
164	3995.584235
165	3993.227109
166	3989.928423
167	3987.642088
168	3984.912218
169	3982.231387
170	3978.281679
171	3975.388247
172	3973.850928
173	3971.957527
174	3967.151787
175	3964.728192
176	3962.408676
177	3958.281148
178	3956.059033
179	3951.786328
180	3950.791409
181	3946.011871
182	3944.104237
183	3941.997402
184	3939.169011
185	3933.497946
186	3929.074795
187	3927.161314
188	3925.130849
189	3923.863183
190	3919.885913
191	3916.990044
192	3912.318845
193	3909.618824
194	3907.986171
195	3905.001142
196	3902.279348
197	3899.936373
198	3899.258387
199	3898.242828
200	3897.340361
201	3894.073783
202	3889.611553
203	3888.897861
204	3883.894687
205	3882.791634
206	3880.194945
207	3875.132128
208	3874.316874
209	3871.4941
210	3868.211008
211	3866.119129
212	3862.125899
213	3860.283398
214	3857.022778
215	3852.280977
216	3850.253421
217	3849.480438
218	3847.699926
219	3846.01218
220	3844.366278
221	3843.623019
222	3842.639363
223	3839.879144
224	3835.914247
225	3834.386852
226	3830.55951
227	3829.537575
228	3826.933551
229	3823.010246
230	3821.796821
231	3817.308033
232	3813.682872
233	3811.038948
234	3808.933893
235	3806.75678
236	3805.711184
237	3804.835999
238	3801.152632
239	3800.251091
240	3799.269131
241	3796.61755
242	3793.993638
243	3791.770118
244	3789.267944
245	3786.508462
246	3780.887489
247	3776.036978
248	3774.906321
249	3772.477776
250	3771.647622
251	3771.012909
252	3767.970966
253	3767.175373
254	3763.902665
255	3760.9654
256	3758.747028
257	3755.486561
258	3754.086047
259	3752.725426
260	3751.690464
261	3750.940916
262	3750.114162
263	3747.837632
264	3746.518188
265	3744.61701
266	3742.662436
267	3740.016368
268	3737.080748
269	3732.857142
270	3730.301857
271	3727.617708
272	3726.400639
273	3725.175124
274	3723.047663
275	3722.357773
276	3719.622673
277	3717.172226
278	3716.506016
279	3714.512308
280	3713.217017
281	3710.927637
282	3709.589285
283	3708.465982
284	3706.356573
285	3705.789967
286	3703.222019
287	3700.444864
288	3699.881539
289	3698.466341
290	3696.51242
291	3690.565193
292	3689.475901
293	3688.890928
294	3688.324731
295	3687.065593
296	3686.142738
297	3685.239638
298	3684.768994
299	3683.177407
300	3682.651641
301	3682.30298
302	3680.291003
303	3679.170875
304	3676.229586
305	3675.38286
306	3671.164949
307	3668.886104
308	3667.959564
309	3665.511012
310	3662.882951
311	3660.029573
312	3659.064113
313	3656.595357
314	3655.928482
315	3652.828863
316	3649.365948
317	3645.17583
318	3643.911006
319	3642.921473
320	3639.627131
321	3638.825414
322	3635.727606
323	3635.253809
324	3634.086287
325	3632.816398
326	3630.153858
327	3627.095674
328	3625.662836
329	3623.88588
330	3621.812455
331	3620.245926
332	3617.501227
333	3614.960514
334	3611.515204
335	3606.824864
336	3605.482859
337	3604.936745
338	3599.053525
339	3598.610954
340	3597.295125
341	3594.699434
342	3593.755904
343	3592.391126
344	3591.889275
345	3591.218702
346	3588.375938
347	3586.352444
348	3585.739858
349	3584.51058
350	3583.730632
351	3582.057708
352	3580.953662
353	3579.996011
354	3579.462461
355	3577.926658
356	3575.329703
357	3574.183878
358	3570.299141
359	3569.170647
360	3568.743304
361	3568.273389
362	3567.429623
363	3565.36989
364	3564.274387
365	3561.407082
366	3559.742329
367	3558.062647
368	3556.82469
369	3553.600417
370	3553.186471
371	3549.484481
372	3547.133794
373	3545.344198
374	3542.819767
375	3539.24989
376	3537.973632
377	3537.164649
378	3534.295015
379	3530.80253
380	3528.735551
381	3524.403098
382	3522.807899
383	3520.374228
384	3518.582518
385	3515.239443
386	3514.620378
387	3513.864449
388	3512.209248
389	3511.208905
390	3509.052748
391	3506.938015
392	3505.501974
393	3502.300612
394	3500.450174
395	3497.396081
396	3496.590828
397	3494.816063
398	3494.123165
399	3492.410753
400	3491.02142
401	3488.398169
402	3485.009493
403	3480.925687
404	3480.305441
405	3475.989292
406	3475.427134
407	3473.483513
408	3470.973844
409	3469.503825
410	3466.033401
411	3465.098333
412	3463.163021
413	3460.556082
414	3458.114688
415	3457.041082
416	3454.614712
417	3453.584286
418	3452.932926
419	3451.310205
420	3450.43531
421	3448.152968
422	3445.396004
423	3443.093139
424	3441.699527
425	3440.607052
426	3440.157042
427	3437.501716
428	3434.884088
429	3432.988516
430	3432.141499
431	3430.55016
432	3426.128069
433	3424.119675
434	3422.763768
435	3422.333002
436	3420.142773
437	3416.013575
438	3412.0439
439	3409.541024
440	3407.062755
441	3405.020116
442	3402.035156
443	3401.440089
444	3396.687261
445	3394.969234
446	3390.311194
447	3387.677996
448	3387.186856
449	3386.348548
450	3382.859293
451	3381.705459
452	3380.946964
453	3376.006181
454	3374.567439
455	3372.231357
456	3370.641568
457	3367.88316
458	3367.076349
459	3366.117502
460	3364.387442
461	3361.879544
462	3357.964254
463	3357.587208
464	3356.733389
465	3352.610859
466	3349.254566
467	3345.60208
468	3344.833139
469	3340.943068
470	3338.979681
471	3338.133948
472	3335.006653
473	3333.673135
474	3332.382667
475	3331.673117
476	3327.758345
477	3325.363115
478	3323.419118
479	3321.19474
480	3318.158101
481	3315.876209
482	3315.180295
483	3313.008666
484	3310.616011
485	3309.880511
486	3308.111167
487	3306.4154
488	3304.431553
489	3301.779745
490	3301.067853
491	3299.48696
492	3296.947656
493	3296.127811
494	3294.370256
495	3293.347332
496	3290.151344
497	3289.501739
498	3288.803753
499	3286.403127
500	3281.140476
501	3280.740403
502	3280.069746
503	3276.563904
504	3274.288706
505	3271.476835
506	3268.948754
507	3266.719366
508	3264.816439
509	3263.928964
510	3261.979104
511	3259.54832
512	3258.88962
513	3254.574908
514	3251.907463
515	3251.151615
516	3249.083673
517	3247.738654
518	3244.882722
519	3243.594117
520	3241.962243
521	3238.338763
522	3236.064058
523	3235.579437
524	3231.789285
525	3230.642298
526	3229.410504
527	3228.535278
528	3228.101546
529	3225.544618
530	3223.437163
531	3222.835904
532	3220.199217
533	3217.891722
534	3216.30676
535	3213.505819
536	3212.517401
537	3211.923328
538	3211.332164
539	3210.194129
540	3208.919834
541	3205.214851
542	3202.889204
543	3202.170283
544	3201.166927
545	3200.569549
546	3200.108989
547	3197.830222
548	3195.362853
549	3194.258358
550	3190.789602
551	3189.260495
552	3187.11844
553	3185.567965
554	3182.525838
555	3181.054579
556	3177.529483
557	3175.803369
558	3173.098511
559	3172.82545
560	3170.735118
561	3168.624774
562	3164.832183
563	3163.521963
564	3162.426096
565	3159.065258
566	3156.663705
567	3156.211129
568	3153.903931
569	3152.923611
570	3152.600285
571	3150.570423
572	3149.367294
573	3146.005348
574	3145.321429
575	3144.18
576	3141.098543
577	3140.493527
578	3137.087547
579	3135.328673
580	3133.897369
581	3132.507768
582	3131.95627
583	3130.606965
584	3128.702574
585	3126.555468
586	3125.055448
587	3124.01692
588	3123.46344
589	3121.502058
590	3118.206664
591	3115.180231
592	3113.187357
593	3109.930253
594	3107.792346
595	3106.628856
596	3105.214258
597	3104.666604
598	3102.362764
599	3100.559141
600	3099.675921
601	3098.632034
602	3097.827625
603	3096.315258
604	3093.791486
605	3091.950287
606	3090.618619
607	3087.440134
608	3083.160168
609	3082.83929
610	3081.772095
611	3080.531715
612	3078.586447
613	3076.663729
614	3075.428497
615	3074.99614
616	3073.35175
617	3071.767244
618	3069.243437
619	3067.243114
620	3066.057773
621	3065.160416
622	3062.403867
623	3059.018705
624	3056.968913
625	3055.805198
626	3054.045077
627	3052.113907
628	3050.512165
629	3047.507062
630	3045.944823
631	3043.16563
632	3041.662061
633	3040.194513
634	3037.109275
635	3035.70518
636	3034.078495
637	3033.504503
638	3032.95871
639	3031.872291
640	3030.149282
641	3028.520212
642	3026.736186
643	3025.450824
644	3024.140937
645	3019.545659
646	3017.969083
647	3017.549622
648	3016.338814
649	3015.385295
650	3014.981158
651	3013.371957
652	3013.069128
653	3012.163794
654	3009.599062
655	3008.325245
656	3007.873645
657	3006.247553
658	3005.335502
659	3003.897447
660	3001.240986
661	2999.730735
662	2999.005232
663	2996.248367
664	2993.56139
665	2992.416348
666	2991.333185
667	2989.959867
668	2985.639535
669	2984.971182
670	2983.262733
671	2980.850573
672	2978.179569
673	2977.520011
674	2975.764394
675	2975.278824
676	2973.811851
677	2971.745597
678	2969.868571
679	2968.851386
680	2967.37438
681	2965.833652
682	2963.332275
683	2960.558989
684	2959.034836
685	2957.467967
686	2957.185608
687	2955.756835
688	2954.430649
689	2953.896608
690	2950.785938
691	2948.459085
692	2947.080627
693	2944.485874
694	2941.700151
695	2939.993197
696	2938.318925
697	2937.921832
698	2936.771566
699	2935.677288
700	2935.148215
701	2932.313795
702	2931.28956
703	2929.705343
704	2927.145169
705	2926.148685
706	2924.534658
707	2923.455545
708	2920.716497
709	2918.547544
710	2915.20553
711	2913.017968
712	2912.665139
713	2912.350599
714	2910.326734
715	2909.581312
716	2908.354469
717	2906.494516
718	2902.52798
719	2900.501155
720	2899.188208
721	2898.846765
722	2898.109469
723	2895.604098
724	2894.413794
725	2893.520685
726	2891.08947
727	2889.321231
728	2887.931807
729	2886.719271
730	2884.684864
731	2882.026778
732	2877.862907
733	2876.653071
734	2872.729017
735	2868.912067
736	2865.863167
737	2865.311703
738	2864.371646
739	2862.745799
740	2861.693152
741	2859.18199
742	2858.583062
743	2856.39175
744	2855.219492
745	2854.873511
746	2851.077756
747	2848.610235
748	2847.563471
749	2845.50179
750	2843.122479
751	2842.009399
752	2841.418027
753	2840.388918
754	2838.953264
755	2835.390764
756	2832.789739
757	2830.297946
758	2828.328297
759	2826.159444
760	2825.302264
761	2823.649167
762	2820.0426
763	2818.57288
764	2816.18284
765	2813.591355
766	2812.267777
767	2810.716669
768	2809.996334
769	2809.460532
770	2808.892466
771	2804.834106
772	2804.462306
773	2802.215215
774	2800.94577
775	2799.698084
776	2798.325396
777	2797.285681
778	2794.953064
779	2793.752335
780	2793.248938
781	2792.782655
782	2790.102949
783	2787.897985
784	2786.827501
785	2786.507844
786	2785.286482
787	2781.360328
788	2780.137269
789	2779.149527
790	2777.618539
791	2776.415296
792	2775.918374
793	2775.407347
794	2773.588465
795	2773.145103
796	2772.779639
797	2772.388687
798	2771.258312
799	2770.063849
800	2766.580798
801	2764.572044
802	2762.734196
803	2762.184054
804	2761.116809
805	2758.707391
806	2757.576648
807	2755.562164
808	2754.967139
809	2754.777905
810	2753.267963
811	2752.304705
812	2751.341863
813	2751.023532
814	2748.503848
815	2747.306485
816	2745.375317
817	2743.330591
818	2741.397051
819	2740.351168
820	2739.195613
821	2738.823376
822	2738.025438
823	2736.30408
824	2734.307088
825	2733.450089
826	2732.359961
827	2732.192476
828	2731.136433
829	2729.150735
830	2727.11438
831	2726.456144
832	2724.219233
833	2723.747979
834	2721.078597
835	2720.917822
836	2719.072676
837	2718.719849
838	2718.091097
839	2717.08416
840	2715.953632
841	2714.66889
842	2713.208949
843	2709.729062
844	2707.773389
845	2707.062012
846	2705.138854
847	2704.886105
848	2703.405478
849	2701.545891
850	2700.068656
851	2698.553239
852	2697.666692
853	2697.001323
854	2696.55021
855	2696.130789
856	2695.068864
857	2693.984936
858	2692.973753
859	2691.890102
860	2689.905699
861	2689.41649
862	2689.074985
863	2688.769776
864	2686.849785
865	2686.696714
866	2685.063845
867	2683.823254
868	2682.702122
869	2680.62672
870	2679.79187
871	2679.016881
872	2678.873534
873	2678.574116
874	2677.724179
875	2676.925579
876	2676.097695
877	2674.49144
878	2673.043665
879	2669.545876
880	2667.650234
881	2667.081843
882	2664.276633
883	2662.442056
884	2661.318722
885	2660.769024
886	2659.329565
887	2658.929306
888	2657.795823
889	2654.692317
890	2654.273818
891	2652.693604
892	2652.285679
893	2651.635708
894	2651.501096
895	2651.129751
896	2649.348923
897	2648.811505
898	2646.527412
899	2643.174779
900	2642.479328
901	2641.545347
902	2640.8441
903	2640.353066
904	2638.838187
905	2637.492811
906	2635.958273
907	2633.600058
908	2633.289491
909	2632.450405
910	2631.661659
911	2630.153694
912	2629.554606
913	2628.983449
914	2628.360269
915	2626.579681
916	2626.088061
917	2625.961241
918	2625.852685
919	2625.462429
920	2625.042238
921	2624.026256
922	2623.599853
923	2623.480015
924	2622.173571
925	2620.128038
926	2616.942829
927	2614.929015
928	2613.356971
929	2611.167686
930	2610.884289
931	2610.671445
932	2610.142426
933	2607.532005
934	2605.799213
935	2603.303148
936	2602.769696
937	2601.881675
938	2600.879996
939	2600.413212
940	2599.975031
941	2598.869611
942	2597.959326
943	2597.067266
944	2595.172641
945	2593.656447
946	2592.514429
947	2591.680749
948	2590.649269
949	2590.197183
950	2589.267943
951	2587.105251
952	2585.819202
953	2583.685917
954	2582.740017
955	2581.779011
956	2579.702734
957	2579.410826
958	2577.884186
959	2576.97496
960	2576.491595
961	2574.043529
962	2571.464603
963	2569.459877
964	2568.982326
965	2568.650043
966	2567.01654
967	2566.27272
968	2564.91459
969	2563.312387
970	2562.607794
971	2560.218156
972	2559.889004
973	2559.481508
974	2558.564603
975	2556.045328
976	2555.685545
977	2555.572086
978	2554.874152
979	2554.453504
980	2553.050728
981	2551.735089
982	2550.185738
983	2547.640051
984	2546.562161
985	2545.148569
986	2544.016018
987	2543.614716
988	2542.985234
989	2542.41948
990	2540.918355
991	2539.591836
992	2538.85205
993	2537.775419
994	2536.614266
995	2536.103305
996	2534.555712
997	2534.20769
998	2533.830928
999	2531.845703
