listing_no,title,description,price,model_simple,Art,Zustand,Hubraum (Ccm),Baujahr,Marke,Modell,Kilometer,Art des Inserats,Letzte Änderung,Inseratnummer,Getriebeart,Treibstoff,Aussenfarbe,Ab MFK,Antrieb
11,Kawasaki Z650 2020 10800 km 35 kW,"Kawasaki Z650
Inverkehrssetzung: 01.07.2020
Tachostand: 10'800 km
Farbe: schwarz
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA349
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'900.–,Kawasaki Z650 2020 10800 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020 ,KAWASAKI ,Z650,10'800 km,Angebot,18.03.2023,47420658,NA,NA,Schwarz ,NA,NA
12,Kawasaki Z650 ABS 2018 12700 km 35 kW,"Kawasaki Z650 ABS
Inverkehrssetzung: 24.07.2018
Tachostand: 12'700 km
Farbe: grau
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA309
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 8'300.–,Kawasaki Z650 ABS 2018 12700 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2018 ,KAWASAKI ,Z650 ABS,12'700 km,Angebot,28.03.2023,47578719,NA,NA,Grau ,,NA
13,Kawasaki Z650 2020 7500 km 35 kW,"Kawasaki Z650
Inverkehrssetzung: 24.08.2020
Tachostand: 7'500 km
Farbe: weiss
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA349
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'900.–,Kawasaki Z650 2020 7500 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020 ,KAWASAKI ,Z650,7'500 km,Angebot,13.03.2023,47320289,NA,NA,Weiss ,NA,NA
14,Kawasaki Z650 2020 7500 km 50 kW,"Kawasaki Z650
Inverkehrssetzung: 24.08.2020
Tachostand: 7'500 km
Farbe: weiss
Hubraum: 649 ccm
Leistung: 50 kW
Typenscheinnr: 6KA350
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'500.–,Kawasaki Z650 2020 7500 km 50 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020 ,KAWASAKI ,Z650,7'500 km,Angebot,13.03.2023,47320195,NA,NA,Weiss ,NA,NA
15,Kawasaki Z650 2020 7400 km 35 kW,"Kawasaki Z650
Inverkehrssetzung: 24.04.2020
Tachostand: 7'400 km
Farbe: grün
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA349
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'900.–,Kawasaki Z650 2020 7400 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020 ,KAWASAKI ,Z650,7'400 km,Angebot,11.03.2023,47291958,NA,NA,Grün ,NA,NA
16,KAWASAKI Z650RS,"AB 1000KM SERVICE, WIE NEU  Zustand: TOP ZUSTAND  Eigenschaften:  Ab MFK",CHF 7'780.–,KAWASAKI Z650RS,NA,NA,NA,2022 ,KAWASAKI ,Z650RS,900 km,Angebot,25.03.2023,47536122,Schaltgetriebe ,Benzin ,Grau ,,Hinterradantrieb 
17,Kawasaki Z650 ABS 2018 12700 km 50 kW,"Kawasaki Z650 ABS
Inverkehrssetzung: 24.07.2018
Tachostand: 12'700 km
Farbe: grau
Hubraum: 649 ccm
Leistung: 50 kW
Typenscheinnr: 6KA306
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'900.–,Kawasaki Z650 ABS 2018 12700 km 50 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2018 ,KAWASAKI ,Z650 ABS,12'700 km,Angebot,14.03.2023,47339381,NA,NA,Grau ,NA,NA
18,KAWASAKI Z 650,"Eine weitere wunderschöne Kawasaki Z650 (50.2kW) ist bei uns eingetroffen. Das Motorrad kann für einen Aufpreis von 150.- CHF Elektronisch auf 35kW gedrosselt werden.  Gerne kann das Motorrad bei uns besichtigt werden. Über eine Anmeldung würden wir uns freuen.  Der Preis ist exklusiv PBA (Prüf und Bereitstellungskosten und Ablieferungs-Gebühr) von 200.- CHF.  Vielen Dank  (Alle Fotos, Preise und Angaben ohne Gewähr)  Eigenschaften:  Ab MFK",CHF 8'150.–,KAWASAKI Z 650,NA,NA,NA,2023 ,KAWASAKI ,Z 650,10 km,Angebot,01.04.2023,47639020,Schaltgetriebe ,Benzin ,Grau ,,Hinterradantrieb 
19,KAWASAKI Z 650,"Sind Sie an einer Probefahrt interessiert? Wir haben sämtliche Husqvarna, KTM und Kawasaki Modelle für eine Probefahrt bereit.  Die abgebildeten Fahrzeuge können in einzelnen Details vom Serienmodell abweichen und teilweise Sonderausstattung gegen Mehrpreis zeigen. Alle Angaben über Lieferumfang, Aussehen, Leistungen, Maße und Gewichte der Fahrzeuge werden unverbindlich und unter dem Vorbehalt von Irrtümern, Druck-, Satz- und Tippfehlern gemacht; diesbezügliche Änderungen bleiben jederzeit vorbehalten. Gerne erwarten wir Ihren Anruf für einen Termin, Reservation oder für ein Finanzierungs-Angebot. Wir freuen uns auf Ihren Besuch.  KMS RACING AG 055 240 71 55  * Verkaufspreis inkl. 7,7% MwSt exkl. Nebenkosten.  Eigenschaften:  Ab MFK  35 kW Kit möglich",CHF 8'150.–,KAWASAKI Z 650,NA,NA,NA,2023 ,KAWASAKI ,Z 650,8 km,Angebot,01.04.2023,47638863,Schaltgetriebe ,Benzin ,Grau ,,Hinterradantrieb 
20,KAWASAKI Z 650,"Der Preis ist verhandelbar!  Infos zum Motorrad:  - Zustand ist gut  - Unfallfrei  - Pneus sind ca. 800km gefahren worden  - alle Originalteile sind noch vorhanden!  Dies wurde Umgebaut:  - Auspuff sc project (1100.-) mit Beiblatt und legal!  - Soziusabdeckung (350.-)  - Lenkerspiegel   - kurzes Nummernschildhalter  - kleinere Blinker  (Vanucci Motorradkleidung, kaum gebraucht und kann dazugekauft werden)  **********komplett Umbau + auf 35kW gedrosselt**********  Eigenschaften:  Ab MFK  Direkt-/Parallelimport  35 kW Kit vorhanden",CHF 7'000.–,KAWASAKI Z 650,NA,NA,NA,2020 ,KAWASAKI ,Z 650,17'150 km,Angebot,30.03.2023,47609552,Schaltgetriebe ,Benzin ,Schwarz ,,Hinterradantrieb 
21,Kawasaki Z650 ABS 2018 13900 km 35 kW,"Kawasaki Z650 ABS
Inverkehrssetzung: 29.03.2018
Tachostand: 13'900 km
Farbe: grau
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA309
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'900.–,Kawasaki Z650 ABS 2018 13900 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2018 ,KAWASAKI ,Z650 ABS,13'900 km,Angebot,08.03.2023,47249720,NA,NA,Grau ,NA,NA
22,Kawasaki Z650 ABS 2017 12400 km 35 kW,"Kawasaki Z650 ABS
Inverkehrssetzung: 05.07.2017
Tachostand: 12'400 km
Farbe: schwarz
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA309
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",CHF 7'900.–,Kawasaki Z650 ABS 2017 12400 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2017 ,KAWASAKI ,Z650 ABS,12'400 km,Angebot,08.03.2023,47244980,NA,NA,Schwarz ,NA,NA
23,KAWASAKI Z 650,"Eine weitere wunderschöne Kawasaki Z650 (50.2kW) ist bei uns eingetroffen. Das Motorrad kann für einen Aufpreis von 150.- CHF Elektronisch auf 35kW gedrosselt werden.  Gerne kann das Motorrad bei uns besichtigt werden. Über eine Anmeldung würden wir uns freuen.  Der Preis ist exklusiv PBA (Prüf und Bereitstellungskosten und Ablieferungs-Gebühr) von 200.- CHF.  Vielen Dank  (Alle Fotos, Preise und Angaben ohne Gewähr) / (Manuell KG)  Extras:  Neu bereift  Eigenschaften:  Ab MFK  35 kW Kit möglich",CHF 8'150.–,KAWASAKI Z 650,NA,NA,NA,2023 ,KAWASAKI ,Z 650,1 km,Angebot,26.03.2023,47548195,Schaltgetriebe ,Benzin ,Grau ,,Hinterradantrieb 
24,KAWASAKI Z 650,"Das Fahrzeug zeichnet sich wie folgt aus:  - Gepflegt  - Unfallfrei  - Garagenparkplatz  - Sturzpads montiert  - Bestehende Werksgarantie bis einschliesslich 20.07.2023  Meine Frau (ca. 172cm) und ich (ca. 190 cm) haben uns die Maschine im Jahr 2020 für die anstehende Motorradprüfung gekauft. Da das Motorrad eher leicht und wendig ist, ist es für Anfänger besonders gut geeignet. Auf Grund meiner Körpergrösse bin ich nach der Prüfung auf eine grössere Maschine umgestiegen. Meine Frau ist noch einige Male gefahren - vor allem aus Rücksicht auf die Batterie und sitzt nun lieber auf meinem Sozius statt selber zu fahren.  Folgende Services wurden durchgeführt:  - 1000 km (Ende 2020)  - 3200 km (Ende 2021 - neuer Pneu vorn)  Ein weiterer Service Ende 2022 wurde wegen der wenigen gefahrenen Kilometer nicht durchgeführt. Um den anstehenden Servicekosten Rechnung zu tragen - typischerweise Ölwechsel & neuer Pneu hinten - wurde der Verkaufspreis bereits entsprechend reduziert. Besichtigung nur nach Terminvereinbarung.  Top Zustand. Drosslung auf 35KW möglich. Incl. Werksgarantie & Sturzpads  Eigenschaften:  Ab MFK",CHF 6'350.–,KAWASAKI Z 650,NA,NA,NA,2020 ,KAWASAKI ,Z 650,3'330 km,Angebot,25.03.2023,47536383,Schaltgetriebe ,Benzin ,Grün ,,Hinterradantrieb 
25,KAWASAKI Z 650,"Hier handelt es sich um eine Kawasaki Z650 Platin Edition welche beim Kauf professionell in ein Unikat-Modell umgebaut wurde. Der Speziallack wurde auf Anweisung erstellt.  Neupreis: CHF 11'400  Sie ist ausgestattet mit:  - Akrapovic Auspuff  - Heckumbau Rizoma  - 4 Miniblinker Rizoma  - Sturzpad Rizoma  - Soziussitz  - Soziusabdeckung in Spezialfarbe  KM: 4'500  1. Zulassung: Mai 2020  Sitze: 2  Farbe: Rosé-Bronze  **UNIKAT** (50 oder 35 kW) inkl. Herstellergarantie  Eigenschaften:  Ab MFK  35 kW Kit möglich",CHF 7'000.–,KAWASAKI Z 650,NA,NA,NA,2020 ,KAWASAKI ,Z 650,4'500 km,Angebot,24.03.2023,47523707,Schaltgetriebe ,Benzin ,Mehrfarbig ,,Hinterradantrieb 
26,KAWASAKI Z650 35KW,"Sehr schöne Z650 35kW ab 1.Service  inkl. Komplettanlage - SC-Project (alles schwarz)  inkl. kurzem Heck und LED Blinker  inkl. Lenkerspiegel und Tankpad  laufende Werksgarantie bis 9.2024  Zustand: WIE NEU  Ausstattung:  ABS  Spezial Auspuff  Diebstahlsicherung  Eigenschaften:  Ab MFK",CHF 8'990.–,KAWASAKI Z650 35KW,NA,NA,NA,2021 ,KAWASAKI ,Z650 35KW,1'200 km,Angebot,24.12.2022,46201994,Schaltgetriebe ,Benzin ,Schwarz ,,Hinterradantrieb 
27,KAWASAKI Z 650,"Z 650 MY 2023  Auffallendes Sugomi Styling, leichtes Handling und gut kontrollierbare Leistung verkörpern den Geist der Z Modelle. Mit Traktionskontrolle (neu), kompletter LED Beleuchtung (neu) und dem TFT-Farbdisplay mit Smartphone-Konnektivität bietet die Z650 aktuellste Technik. Die Z650 belebt Ihre Sinne und begeistert auf jeder Fahrt.  Auch als 35 kW Version erhältlich.  MY 2023 mit Traktionskontrolle  Extras:  Neu bereift  Eigenschaften:  Ab MFK  35 kW Kit möglich",CHF 8'150.–,KAWASAKI Z 650,NA,NA,NA,2023 ,KAWASAKI ,Z 650,1 km,Angebot,01.04.2023,47639026,Schaltgetriebe ,Benzin ,Schwarz ,,Hinterradantrieb 
28,KAWASAKI Z 650,"Inkl. zusätzlichem Sitz (hoch: +30 mm) und Tankpad  Ideal für Einsteiger - mit zusätzlichem Sitz (hoch: +30 mm) - drosselbar auf 35 kW  Eigenschaften:  Ab MFK",CHF 6'400.–,KAWASAKI Z 650,NA,NA,NA,2020 ,KAWASAKI ,Z 650,4'000 km,Angebot,20.03.2023,47461258,Schaltgetriebe ,Benzin ,Weiss ,,Hinterradantrieb 
29,KAWASAKI Z 650,"Kawasaki Z650  Drosselbar 35kW  Zubehör:  Seitentaschen Hepco & Becker  Sturzpad  Ausstattung:  Doppelscheibenbremse",CHF 5'700.–,KAWASAKI Z 650,NA,NA,NA,2019 ,KAWASAKI ,Z 650,23'200 km,Angebot,17.03.2023,47399606,Schaltgetriebe ,Benzin ,Schwarz ,NA,Hinterradantrieb 
30,KAWASAKI Z 650,"Wir verkaufen in Kommision eine schöne weisse Z650.  Das Fahrzeug ist tiefergelegt und somit optimal für kleinere Personen. Kann aber auch wieder auf Originalhöhe umgebaut werden zum gleichen Preis,  Zubehör:  - Tieferlegungskit mit Gutachten   - Gepäckträger  - Kurzheck   - frisch ab Service   Kann gerne Besichtigt und Probegefahren werden.  ***tiefergelegt**  Eigenschaften:  Ab MFK  35 kW Kit möglich",CHF 5'900.–,KAWASAKI Z 650,NA,NA,NA,2020 ,KAWASAKI ,Z 650,5'900 km,Angebot,16.03.2023,47380384,Schaltgetriebe ,Benzin ,Weiss ,,Hinterradantrieb 
