listing_no,title,description,price_chf,full_name,Art,Zustand,displacement,year,brand,model,mileage_km,listing_type,last_edited,id,transmission,fuel,colour,mfk,drive
11,Kawasaki Z650 2020 10800 km 35 kW,"Kawasaki Z650
Inverkehrssetzung: 01.07.2020
Tachostand: 10'800 km
Farbe: schwarz
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA349
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7900,Kawasaki Z650 2020 10800 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020,KAWASAKI,Z650,10800,Angebot,2023-03-18,47420658,NA,NA,Schwarz,no,NA
12,Kawasaki Z650 ABS 2018 12700 km 35 kW,"Kawasaki Z650 ABS
Inverkehrssetzung: 24.07.2018
Tachostand: 12'700 km
Farbe: grau
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA309
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",8300,Kawasaki Z650 ABS 2018 12700 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2018,KAWASAKI,Z650 ABS,12700,Angebot,2023-03-28,47578719,NA,NA,Grau,yes,NA
13,Kawasaki Z650 2020 7500 km 35 kW,"Kawasaki Z650
Inverkehrssetzung: 24.08.2020
Tachostand: 7'500 km
Farbe: weiss
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA349
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7900,Kawasaki Z650 2020 7500 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020,KAWASAKI,Z650,7500,Angebot,2023-03-13,47320289,NA,NA,Weiss,no,NA
14,Kawasaki Z650 2020 7500 km 50 kW,"Kawasaki Z650
Inverkehrssetzung: 24.08.2020
Tachostand: 7'500 km
Farbe: weiss
Hubraum: 649 ccm
Leistung: 50 kW
Typenscheinnr: 6KA350
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7500,Kawasaki Z650 2020 7500 km 50 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020,KAWASAKI,Z650,7500,Angebot,2023-03-13,47320195,NA,NA,Weiss,no,NA
15,Kawasaki Z650 2020 7400 km 35 kW,"Kawasaki Z650
Inverkehrssetzung: 24.04.2020
Tachostand: 7'400 km
Farbe: grün
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA349
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7900,Kawasaki Z650 2020 7400 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020,KAWASAKI,Z650,7400,Angebot,2023-03-11,47291958,NA,NA,Grün,no,NA
16,KAWASAKI Z650RS,"AB 1000KM SERVICE, WIE NEU  Zustand: TOP ZUSTAND  Eigenschaften:  Ab MFK",7780,KAWASAKI Z650RS,NA,NA,NA,2022,KAWASAKI,Z650RS,900,Angebot,2023-03-25,47536122,Schaltgetriebe,Benzin,Grau,yes,Hinterradantrieb
17,Kawasaki Z650 ABS 2018 12700 km 50 kW,"Kawasaki Z650 ABS
Inverkehrssetzung: 24.07.2018
Tachostand: 12'700 km
Farbe: grau
Hubraum: 649 ccm
Leistung: 50 kW
Typenscheinnr: 6KA306
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7900,Kawasaki Z650 ABS 2018 12700 km 50 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2018,KAWASAKI,Z650 ABS,12700,Angebot,2023-03-14,47339381,NA,NA,Grau,no,NA
18,KAWASAKI Z 650,"Eine weitere wunderschöne Kawasaki Z650 (50.2kW) ist bei uns eingetroffen. Das Motorrad kann für einen Aufpreis von 150.- CHF Elektronisch auf 35kW gedrosselt werden.  Gerne kann das Motorrad bei uns besichtigt werden. Über eine Anmeldung würden wir uns freuen.  Der Preis ist exklusiv PBA (Prüf und Bereitstellungskosten und Ablieferungs-Gebühr) von 200.- CHF.  Vielen Dank  (Alle Fotos, Preise und Angaben ohne Gewähr)  Eigenschaften:  Ab MFK",8150,KAWASAKI Z 650,NA,NA,NA,2023,KAWASAKI,Z 650,10,Angebot,2023-04-01,47639020,Schaltgetriebe,Benzin,Grau,yes,Hinterradantrieb
19,KAWASAKI Z 650,"Sind Sie an einer Probefahrt interessiert? Wir haben sämtliche Husqvarna, KTM und Kawasaki Modelle für eine Probefahrt bereit.  Die abgebildeten Fahrzeuge können in einzelnen Details vom Serienmodell abweichen und teilweise Sonderausstattung gegen Mehrpreis zeigen. Alle Angaben über Lieferumfang, Aussehen, Leistungen, Maße und Gewichte der Fahrzeuge werden unverbindlich und unter dem Vorbehalt von Irrtümern, Druck-, Satz- und Tippfehlern gemacht; diesbezügliche Änderungen bleiben jederzeit vorbehalten. Gerne erwarten wir Ihren Anruf für einen Termin, Reservation oder für ein Finanzierungs-Angebot. Wir freuen uns auf Ihren Besuch.  KMS RACING AG 055 240 71 55  * Verkaufspreis inkl. 7,7% MwSt exkl. Nebenkosten.  Eigenschaften:  Ab MFK  35 kW Kit möglich",8150,KAWASAKI Z 650,NA,NA,NA,2023,KAWASAKI,Z 650,8,Angebot,2023-04-01,47638863,Schaltgetriebe,Benzin,Grau,yes,Hinterradantrieb
20,KAWASAKI Z 650,"Der Preis ist verhandelbar!  Infos zum Motorrad:  - Zustand ist gut  - Unfallfrei  - Pneus sind ca. 800km gefahren worden  - alle Originalteile sind noch vorhanden!  Dies wurde Umgebaut:  - Auspuff sc project (1100.-) mit Beiblatt und legal!  - Soziusabdeckung (350.-)  - Lenkerspiegel   - kurzes Nummernschildhalter  - kleinere Blinker  (Vanucci Motorradkleidung, kaum gebraucht und kann dazugekauft werden)  **********komplett Umbau + auf 35kW gedrosselt**********  Eigenschaften:  Ab MFK  Direkt-/Parallelimport  35 kW Kit vorhanden",7000,KAWASAKI Z 650,NA,NA,NA,2020,KAWASAKI,Z 650,17150,Angebot,2023-03-30,47609552,Schaltgetriebe,Benzin,Schwarz,yes,Hinterradantrieb
21,Kawasaki Z650 ABS 2018 13900 km 35 kW,"Kawasaki Z650 ABS
Inverkehrssetzung: 29.03.2018
Tachostand: 13'900 km
Farbe: grau
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA309
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7900,Kawasaki Z650 ABS 2018 13900 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2018,KAWASAKI,Z650 ABS,13900,Angebot,2023-03-08,47249720,NA,NA,Grau,no,NA
22,Kawasaki Z650 ABS 2017 12400 km 35 kW,"Kawasaki Z650 ABS
Inverkehrssetzung: 05.07.2017
Tachostand: 12'400 km
Farbe: schwarz
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA309
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7900,Kawasaki Z650 ABS 2017 12400 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2017,KAWASAKI,Z650 ABS,12400,Angebot,2023-03-08,47244980,NA,NA,Schwarz,no,NA
23,KAWASAKI Z 650,"Eine weitere wunderschöne Kawasaki Z650 (50.2kW) ist bei uns eingetroffen. Das Motorrad kann für einen Aufpreis von 150.- CHF Elektronisch auf 35kW gedrosselt werden.  Gerne kann das Motorrad bei uns besichtigt werden. Über eine Anmeldung würden wir uns freuen.  Der Preis ist exklusiv PBA (Prüf und Bereitstellungskosten und Ablieferungs-Gebühr) von 200.- CHF.  Vielen Dank  (Alle Fotos, Preise und Angaben ohne Gewähr) / (Manuell KG)  Extras:  Neu bereift  Eigenschaften:  Ab MFK  35 kW Kit möglich",8150,KAWASAKI Z 650,NA,NA,NA,2023,KAWASAKI,Z 650,1,Angebot,2023-03-26,47548195,Schaltgetriebe,Benzin,Grau,yes,Hinterradantrieb
24,KAWASAKI Z 650,"Das Fahrzeug zeichnet sich wie folgt aus:  - Gepflegt  - Unfallfrei  - Garagenparkplatz  - Sturzpads montiert  - Bestehende Werksgarantie bis einschliesslich 20.07.2023  Meine Frau (ca. 172cm) und ich (ca. 190 cm) haben uns die Maschine im Jahr 2020 für die anstehende Motorradprüfung gekauft. Da das Motorrad eher leicht und wendig ist, ist es für Anfänger besonders gut geeignet. Auf Grund meiner Körpergrösse bin ich nach der Prüfung auf eine grössere Maschine umgestiegen. Meine Frau ist noch einige Male gefahren - vor allem aus Rücksicht auf die Batterie und sitzt nun lieber auf meinem Sozius statt selber zu fahren.  Folgende Services wurden durchgeführt:  - 1000 km (Ende 2020)  - 3200 km (Ende 2021 - neuer Pneu vorn)  Ein weiterer Service Ende 2022 wurde wegen der wenigen gefahrenen Kilometer nicht durchgeführt. Um den anstehenden Servicekosten Rechnung zu tragen - typischerweise Ölwechsel & neuer Pneu hinten - wurde der Verkaufspreis bereits entsprechend reduziert. Besichtigung nur nach Terminvereinbarung.  Top Zustand. Drosslung auf 35KW möglich. Incl. Werksgarantie & Sturzpads  Eigenschaften:  Ab MFK",6350,KAWASAKI Z 650,NA,NA,NA,2020,KAWASAKI,Z 650,3330,Angebot,2023-03-25,47536383,Schaltgetriebe,Benzin,Grün,yes,Hinterradantrieb
25,KAWASAKI Z 650,"Hier handelt es sich um eine Kawasaki Z650 Platin Edition welche beim Kauf professionell in ein Unikat-Modell umgebaut wurde. Der Speziallack wurde auf Anweisung erstellt.  Neupreis: CHF 11'400  Sie ist ausgestattet mit:  - Akrapovic Auspuff  - Heckumbau Rizoma  - 4 Miniblinker Rizoma  - Sturzpad Rizoma  - Soziussitz  - Soziusabdeckung in Spezialfarbe  KM: 4'500  1. Zulassung: Mai 2020  Sitze: 2  Farbe: Rosé-Bronze  **UNIKAT** (50 oder 35 kW) inkl. Herstellergarantie  Eigenschaften:  Ab MFK  35 kW Kit möglich",7000,KAWASAKI Z 650,NA,NA,NA,2020,KAWASAKI,Z 650,4500,Angebot,2023-03-24,47523707,Schaltgetriebe,Benzin,Mehrfarbig,yes,Hinterradantrieb
26,KAWASAKI Z650 35KW,"Sehr schöne Z650 35kW ab 1.Service  inkl. Komplettanlage - SC-Project (alles schwarz)  inkl. kurzem Heck und LED Blinker  inkl. Lenkerspiegel und Tankpad  laufende Werksgarantie bis 9.2024  Zustand: WIE NEU  Ausstattung:  ABS  Spezial Auspuff  Diebstahlsicherung  Eigenschaften:  Ab MFK",8990,KAWASAKI Z650 35KW,NA,NA,NA,2021,KAWASAKI,Z650 35KW,1200,Angebot,2022-12-24,46201994,Schaltgetriebe,Benzin,Schwarz,yes,Hinterradantrieb
27,KAWASAKI Z 650,"Z 650 MY 2023  Auffallendes Sugomi Styling, leichtes Handling und gut kontrollierbare Leistung verkörpern den Geist der Z Modelle. Mit Traktionskontrolle (neu), kompletter LED Beleuchtung (neu) und dem TFT-Farbdisplay mit Smartphone-Konnektivität bietet die Z650 aktuellste Technik. Die Z650 belebt Ihre Sinne und begeistert auf jeder Fahrt.  Auch als 35 kW Version erhältlich.  MY 2023 mit Traktionskontrolle  Extras:  Neu bereift  Eigenschaften:  Ab MFK  35 kW Kit möglich",8150,KAWASAKI Z 650,NA,NA,NA,2023,KAWASAKI,Z 650,1,Angebot,2023-04-01,47639026,Schaltgetriebe,Benzin,Schwarz,yes,Hinterradantrieb
28,KAWASAKI Z 650,"Inkl. zusätzlichem Sitz (hoch: +30 mm) und Tankpad  Ideal für Einsteiger - mit zusätzlichem Sitz (hoch: +30 mm) - drosselbar auf 35 kW  Eigenschaften:  Ab MFK",6400,KAWASAKI Z 650,NA,NA,NA,2020,KAWASAKI,Z 650,4000,Angebot,2023-03-20,47461258,Schaltgetriebe,Benzin,Weiss,yes,Hinterradantrieb
29,KAWASAKI Z 650,"Kawasaki Z650  Drosselbar 35kW  Zubehör:  Seitentaschen Hepco & Becker  Sturzpad  Ausstattung:  Doppelscheibenbremse",5700,KAWASAKI Z 650,NA,NA,NA,2019,KAWASAKI,Z 650,23200,Angebot,2023-03-17,47399606,Schaltgetriebe,Benzin,Schwarz,no,Hinterradantrieb
30,KAWASAKI Z 650,"Wir verkaufen in Kommision eine schöne weisse Z650.  Das Fahrzeug ist tiefergelegt und somit optimal für kleinere Personen. Kann aber auch wieder auf Originalhöhe umgebaut werden zum gleichen Preis,  Zubehör:  - Tieferlegungskit mit Gutachten   - Gepäckträger  - Kurzheck   - frisch ab Service   Kann gerne Besichtigt und Probegefahren werden.  ***tiefergelegt**  Eigenschaften:  Ab MFK  35 kW Kit möglich",5900,KAWASAKI Z 650,NA,NA,NA,2020,KAWASAKI,Z 650,5900,Angebot,2023-03-16,47380384,Schaltgetriebe,Benzin,Weiss,yes,Hinterradantrieb
31,KAWASAKI Z 650,"Das Motorrad ist unfallfrei und hat keine Kratzer.   Heck und Seitenspiegel sind umgebaut - sämtliche Originalteile werden beim Verkauf mitgegeben.   Das Fahrzeug ist sehr wendig und spritzig zu fahren. Als Frau fand ich das Motorrad perfekt. Aufgrund Schwangerschaft gebe ich das Motorrad leider zum Verkauf frei.   Der letzte Service wurde im November 2021 vom Kawasaki-Händler in Meggen durchgeführt. Drosselung auf 35kW wäre möglich. Nächster MFK noch nicht fällig aufgrund Erstzulassung im Jahr 2020.   Eigenschaften:  Ab MFK",6900,KAWASAKI Z 650,NA,NA,NA,2020,KAWASAKI,Z 650,1950,Angebot,2023-03-24,47358941,Schaltgetriebe,Benzin,Weiss,yes,Hinterradantrieb
32,KAWASAKI Z 650,"Eigenschaften:  Ab MFK",6290,KAWASAKI Z 650,NA,NA,NA,2020,KAWASAKI,Z 650,5800,Angebot,2023-03-25,47536005,Schaltgetriebe,Benzin,Weiss,yes,Hinterradantrieb
