Age;Sexe;Nationalite;Quartier
36;M;F;CESSANGE
33;F;F;CESSANGE
0;M;F;CESSANGE
0;F;L;BONNEVOIE-SUD
0;F;F,I;EICH
70;F;L;KIRCHBERG
38;M;L;NEUDORF/WEIMERSHOF
48;M;I;GASPERICH
56;F;P;BEGGEN
50;F;L;GARE
4;M;B;GARE
50;F;F;KIRCHBERG
38;F;TJ;MERL
54;M;L;LIMPERTSBERG
39;M;TJ;MERL
9;M;TJ;MERL
29;M;F;BONNEVOIE-SUD
30;F;F;ROLLINGERGRUND/BELAIR-NORD
5;M;F;ROLLINGERGRUND/BELAIR-NORD
3;F;F;ROLLINGERGRUND/BELAIR-NORD
44;F;MK;DOMMELDANGE
7;F;BG;MERL
9;F;L;ROLLINGERGRUND/BELAIR-NORD
27;F;GR;BELAIR
20;F;B;EICH
1;F;F;BONNEVOIE-SUD
35;M;IND;NEUDORF/WEIMERSHOF
59;M;BS;HOLLERICH
34;F;R;GASPERICH
25;M;I;BONNEVOIE-NORD/VERLORENKOST
5;M;GR;LIMPERTSBERG
44;M;L;BELAIR
43;F;F;BELAIR
45;F;L;BONNEVOIE-NORD/VERLORENKOST
43;M;LTU;BONNEVOIE-SUD
47;F;P;GASPERICH
10;M;LTU;BONNEVOIE-SUD
14;M;L,F;BELAIR
9;F;LTU;BONNEVOIE-SUD
41;F;LTU;BONNEVOIE-SUD
4;F;L,F;BELAIR
4;M;F;BONNEVOIE-SUD
23;M;P;NEUDORF/WEIMERSHOF
43;F;L;CENTS
47;F;P;BONNEVOIE-NORD/VERLORENKOST
38;F;F;BONNEVOIE-NORD/VERLORENKOST
3;M;F;BONNEVOIE-NORD/VERLORENKOST
17;F;L;GASPERICH
45;M;F;BELAIR
21;M;EST;NEUDORF/WEIMERSHOF
15;F;EST;NEUDORF/WEIMERSHOF
73;F;L;LIMPERTSBERG
36;M;CDN;HOLLERICH
6;F;L;BONNEVOIE-NORD/VERLORENKOST
39;F;BD;GASPERICH
47;M;BD;GASPERICH
39;M;L;CENTS
30;F;F;LIMPERTSBERG
44;M;HRV;HOLLERICH
45;M;P;PFAFFENTHAL
25;M;F;GARE
27;F;GR;GARE
63;F;L;BELAIR
63;M;I;CENTS
63;M;I;BELAIR
63;F;P;BONNEVOIE-NORD/VERLORENKOST
63;F;L;CENTS
63;F;F;BONNEVOIE-SUD
63;M;L;LIMPERTSBERG
63;M;P;MERL
63;M;L;CENTS
63;M;P;GARE
63;F;L;CLAUSEN
63;M;F;BONNEVOIE-SUD
63;F;D;DOMMELDANGE
63;M;I;GARE
63;F;L;GARE
64;F;L;BEGGEN
64;F;P;MERL
64;M;L;GARE
64;M;P;HOLLERICH
64;M;L;BONNEVOIE-SUD
64;M;P;BELAIR
64;F;ZA;MUEHLENBACH
64;F;L;GASPERICH
64;F;I;GARE
64;F;L;CLAUSEN
64;F;L;HAMM
64;F;L;HOLLERICH
64;F;GB;GARE
63;F;L;CENTS
63;F;R;MERL
63;M;F;BELAIR
63;M;S;VILLE-HAUTE
63;M;I;GARE
63;F;F;BELAIR
63;M;F;NEUDORF/WEIMERSHOF
63;M;DK;BONNEVOIE-NORD/VERLORENKOST
63;F;L;GARE
63;M;L;HAMM
63;M;F;GASPERICH
63;M;P;HOLLERICH
63;F;P;BONNEVOIE-NORD/VERLORENKOST
63;F;P;GASPERICH
63;F;L;KIRCHBERG
20;F;L,P;BONNEVOIE-SUD
1;F;L;BONNEVOIE-SUD
43;M;RUS,IL;EICH
75;F;L,D;LIMPERTSBERG
50;F;F;BONNEVOIE-NORD/VERLORENKOST
37;F;UKR;BELAIR
93;F;D;BELAIR
42;F;F;KIRCHBERG
48;M;RUS;MERL
26;F;COD;GASPERICH
7;F;RUS;KIRCHBERG
54;F;MNE;ROLLINGERGRUND/BELAIR-NORD
28;M;CZ;CLAUSEN
33;M;DZ;KIRCHBERG
23;F;F;HOLLERICH
50;F;L,D;CESSANGE
28;M;D;GASPERICH
23;M;P;GRUND
37;M;BG;CESSANGE
63;M;L;GARE
63;M;L;BELAIR
63;F;L;CENTS
63;F;L;CENTS
63;F;P;WEIMERSKIRCH
63;M;L;CENTS
63;M;DK;CENTS
63;F;D;DOMMELDANGE
63;F;P;BEGGEN
63;M;L;CESSANGE
63;F;P;BONNEVOIE-SUD
63;M;E;MERL
63;M;B;BELAIR
63;F;L;BONNEVOIE-NORD/VERLORENKOST
23;M;D;GARE
36;F;L;CENTS
31;F;L;BONNEVOIE-SUD
60;F;F;HOLLERICH
46;M;L;GASPERICH
28;M;TJ;HOLLERICH
39;M;D;NEUDORF/WEIMERSHOF
64;F;IRL;CENTS
64;M;IS;LIMPERTSBERG
64;M;L;BONNEVOIE-SUD
64;F;L;BELAIR
64;F;L;BELAIR
64;M;I;HOLLERICH
64;M;I;EICH
64;M;GB;GASPERICH
64;F;F;GASPERICH
64;F;F;GARE
64;M;F;KIRCHBERG
64;F;L;BELAIR
64;F;I;LIMPERTSBERG
64;F;P;VILLE-HAUTE
64;M;L;KIRCHBERG
64;F;B;LIMPERTSBERG
64;F;E;GARE
64;M;P;BONNEVOIE-SUD
64;F;P;BEGGEN
64;M;L;LIMPERTSBERG
64;F;L;CENTS
64;M;B;LIMPERTSBERG
64;M;IRL;WEIMERSKIRCH
64;M;L;CENTS
64;F;L;BELAIR
64;M;P;BONNEVOIE-SUD
64;M;N;CENTS
64;F;F;GARE
64;M;P;BONNEVOIE-SUD
64;M;L;GARE
63;M;P;WEIMERSKIRCH
63;F;P;PFAFFENTHAL
63;F;L;BELAIR
63;M;P;BONNEVOIE-SUD
63;F;F;BELAIR
63;F;L;BONNEVOIE-SUD
63;M;I;CENTS
63;F;P;BONNEVOIE-SUD
63;F;L;GASPERICH
63;F;F;CENTS
63;M;S;BONNEVOIE-NORD/VERLORENKOST
16;M;F;GASPERICH
7;M;L;CLAUSEN
10;M;XXK;BONNEVOIE-NORD/VERLORENKOST
