Age;Sexe;Nationalite;Quartier
0;F;A;KIRCHBERG
0;F;A,F;CESSANGE
0;F;AL;BELAIR
0;M;AL;EICH
0;M;AL;BELAIR
0;F;APA;HOLLERICH
0;M;APA;NEUDORF/WEIMERSHOF
0;M;APA;BONNEVOIE-SUD
0;F;APA;BONNEVOIE-SUD
0;M;APA;BONNEVOIE-SUD
0;F;APA;BONNEVOIE-SUD
0;M;AUS;BELAIR
0;M;AUS;CESSANGE
0;F;B;HOLLERICH
0;M;B;BEGGEN
0;M;B;EICH
0;M;B;BONNEVOIE-SUD
0;M;B;BELAIR
0;M;B;WEIMERSKIRCH
0;F;B;HOLLERICH
0;M;B;GASPERICH
0;F;B;GASPERICH
0;F;B;HOLLERICH
0;F;B;GARE
0;F;B;LIMPERTSBERG
0;M;B;EICH
0;F;B;CESSANGE
0;M;B;CESSANGE
0;M;B;MERL
0;F;B;LIMPERTSBERG
0;F;B;BEGGEN
0;F;B;KIRCHBERG
0;F;B;BELAIR
0;F;B;GARE
0;F;B;HOLLERICH
0;M;B;DOMMELDANGE
0;M;B;CLAUSEN
0;F;B;GARE
0;M;B;BEGGEN
0;F;B;ROLLINGERGRUND/BELAIR-NORD
0;M;B;BONNEVOIE-SUD
0;F;B;MERL
0;M;B;KIRCHBERG
0;M;B;BONNEVOIE-SUD
0;F;B;VILLE-HAUTE
0;M;B;GARE
0;F;B;HOLLERICH
0;F;B;BELAIR
0;M;B;BEGGEN
0;F;B,E;BELAIR
0;M;B,E;DOMMELDANGE
0;M;B,E;VILLE-HAUTE
0;M;B,E;NEUDORF/WEIMERSHOF
0;F;B,F;BEGGEN
0;F;B,F;VILLE-HAUTE
0;F;B,F;VILLE-HAUTE
0;F;B,F;GASPERICH
0;F;B,F;BELAIR
0;M;B,F;MERL
0;M;B,F;WEIMERSKIRCH
0;F;B,F;BONNEVOIE-SUD
0;M;B,F;CENTS
0;M;B,F;BELAIR
0;M;B,F;BELAIR
0;F;B,F;BONNEVOIE-SUD
0;F;B,F;LIMPERTSBERG
0;M;B,F;BONNEVOIE-SUD
0;F;B,F;BONNEVOIE-NORD/VERLORENKOST
0;M;B,F;LIMPERTSBERG
0;F;B,FIN;GASPERICH
0;M;B,GR;LIMPERTSBERG
0;F;B,I;BONNEVOIE-SUD
0;M;B,I;BELAIR
0;F;B,I;CENTS
0;F;B,I;GARE
0;M;B,NL;LIMPERTSBERG
0;M;B,NL;LIMPERTSBERG
0;M;B,NL;ROLLINGERGRUND/BELAIR-NORD
0;F;B,RUS;GARE
0;M;B,S;LIMPERTSBERG
0;F;B,SGP;MERL
0;F;B,TJ;ROLLINGERGRUND/BELAIR-NORD
0;F;B,USA;BELAIR
0;M;BG;NEUDORF/WEIMERSHOF
0;M;BG;KIRCHBERG
0;F;BG;KIRCHBERG
0;M;BG;KIRCHBERG
0;M;BG;KIRCHBERG
0;F;BG;LIMPERTSBERG
0;F;BG;KIRCHBERG
0;F;BG,F;KIRCHBERG
0;F;BG,MK;EICH
0;M;BHO,NEP;BEGGEN
0;F;BIH;ROLLINGERGRUND/BELAIR-NORD
0;F;BIH;BELAIR
0;M;BIH;MERL
0;M;BIH;BONNEVOIE-SUD
0;M;BR;HOLLERICH
0;M;BR;EICH
0;F;CH;CLAUSEN
0;M;CI;BONNEVOIE-SUD
0;M;CO;CENTS
0;M;COD;BELAIR
0;F;CV;BONNEVOIE-NORD/VERLORENKOST
0;M;CY,F;LIMPERTSBERG
0;M;CY,R;KIRCHBERG
0;F;CZ;NEUDORF/WEIMERSHOF
0;F;CZ;NEUDORF/WEIMERSHOF
0;F;CZ;KIRCHBERG
0;F;CZ;HOLLERICH
0;M;CZ;LIMPERTSBERG
0;F;CZ;DOMMELDANGE
0;F;CZ;KIRCHBERG
0;M;CZ;LIMPERTSBERG
0;F;CZ;BELAIR
0;M;CZ;HOLLERICH
0;M;CZ;HOLLERICH
0;M;CZ,J;LIMPERTSBERG
0;F;D;MERL
0;M;D;HOLLERICH
0;M;D;HOLLERICH
0;F;D;BEGGEN
0;M;D;HOLLERICH
0;F;D;HOLLERICH
0;F;D;LIMPERTSBERG
0;M;D;CENTS
0;F;D;GARE
0;M;D;HAMM
0;F;D;BELAIR
0;M;D;MERL
0;M;D;VILLE-HAUTE
0;M;D;CESSANGE
0;M;D;CLAUSEN
0;M;D;GASPERICH
0;M;D;BONNEVOIE-NORD/VERLORENKOST
0;M;D;CESSANGE
0;M;D;BONNEVOIE-SUD
0;M;D;BELAIR
0;F;D;HOLLERICH
0;F;D;LIMPERTSBERG
0;M;D;WEIMERSKIRCH
0;M;D;BELAIR
0;F;D;KIRCHBERG
0;F;D;LIMPERTSBERG
0;F;D;NEUDORF/WEIMERSHOF
0;F;D,B;EICH
0;M;D,BG;BELAIR
0;F;D,CDN;GASPERICH
0;M;D,CZ;BONNEVOIE-SUD
0;M;D,E;HOLLERICH
0;F;D,E;BELAIR
0;M;D,F;BELAIR
0;F;D,F;BONNEVOIE-SUD
0;M;D,F;CENTS
0;M;D,F;MUEHLENBACH
0;F;D,F;CESSANGE
0;M;D,FIN;NEUDORF/WEIMERSHOF
0;F;D,GB;BONNEVOIE-NORD/VERLORENKOST
0;F;D,GB;BELAIR
0;F;D,GB,F;GARE
0;M;D,I;NEUDORF/WEIMERSHOF
0;M;D,I;GARE
0;M;D,IRL;LIMPERTSBERG
0;M;D,J;LIMPERTSBERG
0;F;D,PL;BONNEVOIE-NORD/VERLORENKOST
0;F;D,XXK;MERL
0;F;DK;ROLLINGERGRUND/BELAIR-NORD
0;F;DK;DOMMELDANGE
0;M;DK;KIRCHBERG
0;F;DK,F;KIRCHBERG
0;F;DK,F;GASPERICH
0;F;DK,F;GASPERICH
0;F;DK,PL;BELAIR
0;F;DZ,TJ;LIMPERTSBERG
0;M;E;BONNEVOIE-NORD/VERLORENKOST
0;M;E;MUEHLENBACH
0;F;E;LIMPERTSBERG
0;F;E;KIRCHBERG
0;M;E;BELAIR
0;F;E;VILLE-HAUTE
0;F;E;LIMPERTSBERG
0;F;E;MERL
0;M;E;CENTS
0;F;E;KIRCHBERG
0;M;E;NEUDORF/WEIMERSHOF
0;F;E;GARE
0;F;E;NEUDORF/WEIMERSHOF
0;F;E;LIMPERTSBERG
0;M;E;MERL
0;F;E;BELAIR
0;F;E;HOLLERICH
0;F;E;BONNEVOIE-NORD/VERLORENKOST
0;M;E;HOLLERICH
0;M;E;HOLLERICH
0;F;E;BELAIR
0;F;E;HOLLERICH
0;M;E,CH;BONNEVOIE-SUD
0;F;E,EC;BONNEVOIE-SUD
0;F;E,F;BONNEVOIE-NORD/VERLORENKOST
0;F;E,F;BELAIR
0;F;E,F;BEGGEN
0;M;E,F;GARE
0;M;E,F;WEIMERSKIRCH
0;M;E,F;KIRCHBERG
0;M;E,I;GARE
0;F;E,I;NEUDORF/WEIMERSHOF
0;M;E,I;HOLLERICH
0;F;E,I;EICH
0;M;E,P;LIMPERTSBERG
0;M;E,PL;BONNEVOIE-SUD
0;M;E,RA;BELAIR
0;F;E,SVN;MERL
0;F;ERY;HOLLERICH
0;F;EST;NEUDORF/WEIMERSHOF
0;M;EST;MERL
0;F;EST,GR;LIMPERTSBERG
0;M;ETH;GARE
0;M;ETH;PFAFFENTHAL
0;F;F;GASPERICH
0;F;F;GASPERICH
0;M;F;EICH
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;M;F;BONNEVOIE-SUD
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;M;F;WEIMERSKIRCH
0;F;F;CESSANGE
0;F;F;BELAIR
0;M;F;BELAIR
0;F;F;WEIMERSKIRCH
0;F;F;BONNEVOIE-SUD
0;M;F;KIRCHBERG
0;M;F;MERL
0;F;F;NEUDORF/WEIMERSHOF
0;F;F;CENTS
0;F;F;BEGGEN
0;M;F;BELAIR
0;F;F;LIMPERTSBERG
0;F;F;KIRCHBERG
0;M;F;KIRCHBERG
0;F;F;BEGGEN
0;F;F;GARE
0;M;F;MERL
0;F;F;PFAFFENTHAL
0;F;F;HOLLERICH
0;F;F;EICH
0;M;F;BONNEVOIE-SUD
0;M;F;HOLLERICH
0;M;F;GARE
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;M;F;NEUDORF/WEIMERSHOF
0;F;F;BELAIR
0;F;F;NEUDORF/WEIMERSHOF
0;F;F;MERL
0;M;F;NEUDORF/WEIMERSHOF
0;F;F;WEIMERSKIRCH
0;F;F;HOLLERICH
0;M;F;HOLLERICH
0;M;F;BELAIR
0;F;F;GARE
0;F;F;HOLLERICH
0;F;F;GARE
0;M;F;HOLLERICH
0;M;F;WEIMERSKIRCH
0;F;F;NEUDORF/WEIMERSHOF
0;M;F;MERL
0;M;F;PFAFFENTHAL
0;M;F;BELAIR
0;M;F;BELAIR
0;F;F;GARE
0;F;F;BONNEVOIE-SUD
0;M;F;LIMPERTSBERG
0;M;F;BONNEVOIE-SUD
0;F;F;GARE
0;F;F;GARE
0;M;F;GARE
0;F;F;BELAIR
0;M;F;BONNEVOIE-SUD
0;M;F;LIMPERTSBERG
0;M;F;MERL
0;F;F;BONNEVOIE-NORD/VERLORENKOST
0;M;F;BELAIR
0;M;F;CESSANGE
0;F;F;GASPERICH
0;F;F;HOLLERICH
0;F;F;GARE
0;F;F;GASPERICH
0;M;F;BELAIR
0;F;F;PULVERMUEHL
0;M;F;GASPERICH
0;M;F;BELAIR
0;M;F;CESSANGE
0;M;F;NEUDORF/WEIMERSHOF
0;M;F;ROLLINGERGRUND/BELAIR-NORD
0;M;F;BELAIR
0;M;F;LIMPERTSBERG
0;F;F;BONNEVOIE-SUD
0;M;F;ROLLINGERGRUND/BELAIR-NORD
0;F;F;LIMPERTSBERG
0;F;F;MERL
0;F;F;CENTS
