Age;Sexe;Nationalite;Quartier
0;M;F;BEGGEN
0;F;L;BELAIR
0;M;B;
0;M;BG;
0;F;P;BEGGEN
0;F;F;
0;M;F;
0;M;P;BEGGEN
0;F;F;
0;M;L;
0;M;P;GARE
0;M;P;
0;F;F;
0;M;F;
0;F;DK;
0;F;EST;
0;M;D;
0;M;S;GRUND
0;F;L;HAMM
0;F;L;BONNEVOIE-SUD
0;M;TJ;GASPERICH
0;M;F;MERL
0;F;PAK;BONNEVOIE-SUD
0;F;SVN;LIMPERTSBERG
0;F;FIN;
0;M;F;HOLLERICH
0;M;F;
0;F;L;VILLE-HAUTE
0;F;B;HOLLERICH
0;M;L;BELAIR
0;F;B;CLAUSEN
0;F;SN;GRUND
0;M;DK;KIRCHBERG
0;F;SVN;ROLLINGERGRUND/BELAIR-NORD
0;M;F;BEGGEN
0;M;L;CENTS
0;M;F;
0;F;F;HOLLERICH
0;M;D;
0;F;B;ROLLINGERGRUND/BELAIR-NORD
0;F;I;BELAIR
0;F;H;
0;M;F;HOLLERICH
0;M;GB;BONNEVOIE-SUD
0;F;L;CENTS
0;M;D;HOLLERICH
0;M;L;LIMPERTSBERG
0;F;L;VILLE-HAUTE
0;M;F;EICH
0;M;B;BONNEVOIE-SUD
0;F;F;
0;M;F;BONNEVOIE-SUD
0;F;L;EICH
0;M;P;BELAIR
0;M;P;BONNEVOIE-SUD
0;M;LTU;HOLLERICH
0;F;I;
0;M;BR;KIRCHBERG
0;F;PHL;BEGGEN
0;F;L;WEIMERSKIRCH
0;M;L;GASPERICH
0;F;I;
0;F;F;
0;M;L;LIMPERTSBERG
0;F;L;LIMPERTSBERG
0;M;F;GARE
0;F;CZ;
0;M;F;MERL
0;F;IRL;
0;M;P;BONNEVOIE-SUD
0;F;L;CESSANGE
0;F;D;
0;F;ET;KIRCHBERG
0;F;L;CESSANGE
0;F;EST;
0;M;P;BEGGEN
0;M;B;GARE
0;M;L;KIRCHBERG
0;F;L;EICH
0;M;F;GARE
0;F;GB;CESSANGE
0;M;L;VILLE-HAUTE
0;M;E;KIRCHBERG
0;F;L;BEGGEN
0;M;P;GASPERICH
0;F;P;BELAIR
0;F;GEO;LIMPERTSBERG
0;M;E;LIMPERTSBERG
0;M;USA;
0;M;L;
0;F;P;HOLLERICH
0;F;P;HOLLERICH
0;M;D;
0;F;F;KIRCHBERG
0;M;SVN;KIRCHBERG
0;F;SVN;KIRCHBERG
0;M;F;LIMPERTSBERG
0;F;D;BELAIR
0;M;L;GARE
0;F;F;MERL
0;F;L;GASPERICH
0;M;L;BONNEVOIE-SUD
0;F;IND;GARE
0;F;CZ;LIMPERTSBERG
0;M;L;GRUND
0;M;E;BELAIR
0;F;B;
0;F;L;KIRCHBERG
0;M;APA;GASPERICH
0;M;R;EICH
0;F;GB;DOMMELDANGE
0;M;F;
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;M;E;BONNEVOIE-SUD
0;F;IRL;NEUDORF/WEIMERSHOF
0;M;I;BELAIR
0;F;E;GRUND
0;F;D;
0;M;F;CENTS
0;F;TJ;HOLLERICH
0;F;L;BEGGEN
0;M;B;EICH
0;M;GR;ROLLINGERGRUND/BELAIR-NORD
0;M;APA;BONNEVOIE-SUD
0;M;F;BEGGEN
0;M;L;BEGGEN
0;F;L;GASPERICH
0;M;F;VILLE-HAUTE
0;M;L;KIRCHBERG
0;M;B;BELAIR
0;M;GR;KIRCHBERG
0;M;PAK;NEUDORF/WEIMERSHOF
0;M;GB;HOLLERICH
0;M;I;ROLLINGERGRUND/BELAIR-NORD
0;M;R;PULVERMUEHL
0;F;F;BELAIR
0;M;NL;
0;M;F;BELAIR
0;M;L;CENTS
0;F;GB;
0;M;F;BELAIR
0;F;EST;MERL
0;F;I;
0;M;L;
0;M;D;NEUDORF/WEIMERSHOF
0;F;L;WEIMERSKIRCH
0;M;F;BELAIR
0;F;F;BEGGEN
0;M;F;
0;M;P;HOLLERICH
0;M;AUS;NEUDORF/WEIMERSHOF
0;M;F;BELAIR
0;F;B;LIMPERTSBERG
0;M;LTU;MUEHLENBACH
0;M;L;CENTS
0;M;F;
0;M;P;BONNEVOIE-SUD
0;F;L;EICH
0;M;L;BONNEVOIE-SUD
0;F;L;BELAIR
0;F;F;MERL
0;F;E;DOMMELDANGE
0;F;F;NEUDORF/WEIMERSHOF
0;M;F;
0;F;F;LIMPERTSBERG
0;F;L;GASPERICH
0;M;SVN;GARE
0;M;S;VILLE-HAUTE
0;F;S;VILLE-HAUTE
0;M;E;MERL
0;M;P;NEUDORF/WEIMERSHOF
0;F;P;GARE
0;M;L;HAMM
0;F;L;CESSANGE
0;M;NL;BELAIR
0;M;EST;KIRCHBERG
0;F;L;BONNEVOIE-NORD/VERLORENKOST
0;F;L;GASPERICH
0;M;L;ROLLINGERGRUND/BELAIR-NORD
0;F;F;CESSANGE
0;M;F;
0;F;L;MERL
0;M;P;BONNEVOIE-SUD
0;M;F;HOLLERICH
0;M;B;GRUND
0;M;L;BELAIR
0;M;GB;EICH
0;F;F;CESSANGE
0;M;F;NEUDORF/WEIMERSHOF
0;F;I;LIMPERTSBERG
0;F;I;
0;M;L;GASPERICH
0;F;RUS;HOLLERICH
0;M;L;BONNEVOIE-SUD
0;M;L;GARE
0;F;L;DOMMELDANGE
0;M;L;
0;M;E;BONNEVOIE-SUD
0;F;L;EICH
0;F;L;CENTS
0;M;L;WEIMERSKIRCH
0;M;L;CENTS
0;M;P;BONNEVOIE-NORD/VERLORENKOST
0;F;PL;WEIMERSKIRCH
0;F;L;ROLLINGERGRUND/BELAIR-NORD
0;M;F;BELAIR
0;F;GCA;KIRCHBERG
0;F;IND;GASPERICH
0;M;P;BONNEVOIE-SUD
0;F;TC;BONNEVOIE-SUD
0;F;F;BEGGEN
0;M;I;ROLLINGERGRUND/BELAIR-NORD
0;F;APA;CENTS
0;F;P;GARE
0;F;L;CENTS
0;M;B;BELAIR
0;F;F;
0;M;S;LIMPERTSBERG
0;F;F;GARE
0;M;EST;KIRCHBERG
0;M;L;BONNEVOIE-SUD
0;F;B;
0;M;L;BONNEVOIE-NORD/VERLORENKOST
0;M;P;BONNEVOIE-NORD/VERLORENKOST
0;M;FIN;NEUDORF/WEIMERSHOF
0;M;I;ROLLINGERGRUND/BELAIR-NORD
0;F;P;MERL
0;F;GB;MUEHLENBACH
0;F;PL;DOMMELDANGE
0;M;L;CENTS
0;F;L;CENTS
0;M;I;BELAIR
0;F;L;MUEHLENBACH
0;M;P;CENTS
0;M;L;WEIMERSKIRCH
0;F;P;
0;F;P;
0;M;B;
0;M;F;MERL
0;F;E;NEUDORF/WEIMERSHOF
0;F;F;
0;M;F;HAMM
0;M;R;GARE
0;F;CZ;CESSANGE
0;M;F;GARE
0;M;L;
0;M;GB;ROLLINGERGRUND/BELAIR-NORD
0;F;I;GARE
0;F;GR;HOLLERICH
0;F;L;EICH
0;F;L;
0;M;L;GARE
0;F;P;PFAFFENTHAL
0;M;L;BELAIR
0;F;F;CENTS
0;M;L;
0;F;P;MERL
0;M;FIN;
0;M;F;
0;M;HRV;KIRCHBERG
0;M;EST;
0;F;P;HOLLERICH
0;M;L;BONNEVOIE-SUD
0;F;L;NEUDORF/WEIMERSHOF
0;M;P;BONNEVOIE-SUD
0;F;L;HOLLERICH
0;M;PL;GASPERICH
0;F;L;WEIMERSKIRCH
0;M;AUS;NEUDORF/WEIMERSHOF
0;M;L;
0;M;L;ROLLINGERGRUND/BELAIR-NORD
0;F;P;GASPERICH
0;F;L;ROLLINGERGRUND/BELAIR-NORD
0;M;P;BONNEVOIE-SUD
0;M;I;GARE
0;F;P;BELAIR
0;M;L;MERL
0;M;B;BONNEVOIE-NORD/VERLORENKOST
0;F;L;CENTS
0;M;F;GARE
0;M;P;GARE
0;F;F;VILLE-HAUTE
0;F;F;LIMPERTSBERG
0;F;F;LIMPERTSBERG
0;M;F;
0;M;D;
0;F;L;BONNEVOIE-SUD
0;M;B;
0;M;I;
0;F;L;HAMM
0;F;EST;
0;M;GR;CENTS
0;F;R;MERL
0;M;F;VILLE-HAUTE
0;F;GB;
0;F;H;BONNEVOIE-NORD/VERLORENKOST
0;M;L;CENTS
0;F;DK;CENTS
0;F;P;BELAIR
0;M;R;HOLLERICH
0;M;D;
0;F;GB;
0;F;F;BELAIR
0;M;PL;BEGGEN
0;M;F;BONNEVOIE-NORD/VERLORENKOST
0;F;B;KIRCHBERG
0;M;E;
0;M;L;CESSANGE
0;F;F;KIRCHBERG
0;F;SK;NEUDORF/WEIMERSHOF
0;F;L;BELAIR
0;F;L;BONNEVOIE-NORD/VERLORENKOST
0;M;L;VILLE-HAUTE
0;M;P;LIMPERTSBERG
0;M;F;BONNEVOIE-SUD
0;F;L;
0;M;E;HOLLERICH
0;M;SVN;
0;M;L;HOLLERICH
0;F;L;BONNEVOIE-NORD/VERLORENKOST
0;M;L;BELAIR
0;M;FIN;BEGGEN
0;F;D;
0;M;L;HOLLERICH
0;F;L;BONNEVOIE-SUD
0;M;CO;LIMPERTSBERG
0;M;L;LIMPERTSBERG
0;M;BG;KIRCHBERG
0;F;F;BONNEVOIE-NORD/VERLORENKOST
0;M;USA;ROLLINGERGRUND/BELAIR-NORD
0;M;L;NEUDORF/WEIMERSHOF
0;F;I;BONNEVOIE-SUD
0;F;F;PFAFFENTHAL
0;M;L;CENTS
0;F;GR;NEUDORF/WEIMERSHOF
0;F;H;WEIMERSKIRCH
0;F;L;CENTS
0;F;P;VILLE-HAUTE
0;M;E;KIRCHBERG
0;F;L;BONNEVOIE-SUD
0;M;PL;MERL
0;M;DK;ROLLINGERGRUND/BELAIR-NORD
0;M;D;
0;M;D;
0;F;NL;LIMPERTSBERG
0;F;L;BELAIR
0;M;B;BONNEVOIE-NORD/VERLORENKOST
0;M;F;
0;M;GB;BEGGEN
0;F;L;
0;M;AUS;BELAIR
0;F;F;BELAIR
0;F;R;LIMPERTSBERG
0;M;F;BELAIR
0;M;LTU;BELAIR
0;F;B;
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;F;F;
0;F;L;HOLLERICH
0;M;D;
0;F;B;
0;M;BG;
0;F;PL;
0;M;L;CLAUSEN
0;F;B;NEUDORF/WEIMERSHOF
0;M;P;GARE
0;F;F;CENTS
0;F;F;
0;M;F;BONNEVOIE-SUD
0;M;F;BONNEVOIE-SUD
0;M;P;HOLLERICH
0;M;L;
0;F;F;NEUDORF/WEIMERSHOF
0;F;SVN;GASPERICH
0;M;F;BONNEVOIE-SUD
0;F;B;LIMPERTSBERG
0;M;I;WEIMERSKIRCH
0;M;S;
0;M;CH;NEUDORF/WEIMERSHOF
0;M;L;CENTS
0;M;E;
0;F;L;BONNEVOIE-SUD
0;F;E;
0;F;L;ROLLINGERGRUND/BELAIR-NORD
0;F;R;BONNEVOIE-SUD
0;F;E;
0;M;L;
0;F;P;GASPERICH
0;M;S;LIMPERTSBERG
0;M;CV;BONNEVOIE-SUD
0;F;D;NEUDORF/WEIMERSHOF
0;F;P;GARE
0;F;L;KIRCHBERG
0;F;L;BONNEVOIE-SUD
0;M;L;CENTS
0;M;F;LIMPERTSBERG
0;M;L;ROLLINGERGRUND/BELAIR-NORD
0;M;DK;EICH
0;M;I;LIMPERTSBERG
0;M;F;BELAIR
0;M;P;BONNEVOIE-SUD
0;M;D;LIMPERTSBERG
0;F;USA;GASPERICH
0;F;J;BELAIR
0;M;L;HOLLERICH
0;M;P;EICH
0;M;L;GARE
0;M;L;PFAFFENTHAL
0;M;E;LIMPERTSBERG
0;M;L;CENTS
0;F;DK;LIMPERTSBERG
0;F;D;
0;F;I;BONNEVOIE-NORD/VERLORENKOST
0;F;P;DOMMELDANGE
0;M;D;NEUDORF/WEIMERSHOF
0;M;F;NEUDORF/WEIMERSHOF
0;F;D;VILLE-HAUTE
0;M;F;
0;M;B;
0;M;P;BONNEVOIE-SUD
0;F;L;CESSANGE
0;M;L;BEGGEN
0;M;E;CESSANGE
0;F;F;VILLE-HAUTE
0;M;D;
0;M;D;
0;M;D;
0;F;I;BONNEVOIE-NORD/VERLORENKOST
0;F;D;
0;M;H;LIMPERTSBERG
0;M;B;
0;F;I;
0;F;J;
0;F;L;EICH
0;M;NZ;CENTS
0;M;D;BELAIR
0;F;L;HOLLERICH
0;F;F;MERL
0;M;L;BONNEVOIE-NORD/VERLORENKOST
0;M;BG;
0;F;E;LIMPERTSBERG
0;M;D;
0;M;TJ;BELAIR
0;F;I;BONNEVOIE-SUD
0;F;D;
0;F;L;CENTS
0;F;L;BELAIR
0;F;M;KIRCHBERG
0;F;APA;GARE
0;M;P;GARE
0;F;GB;
0;M;P;GARE
0;F;L;GARE
0;M;TC;BONNEVOIE-NORD/VERLORENKOST
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;F;L;MERL
0;M;F;ROLLINGERGRUND/BELAIR-NORD
0;F;P;CENTS
0;M;B;EICH
0;M;GB;
0;M;B;
0;M;F;LIMPERTSBERG
0;M;HRV;LIMPERTSBERG
0;F;NL;
0;M;E;BELAIR
0;M;FIN;
0;M;F;MERL
0;M;GB;CENTS
0;F;F;
0;M;L;LIMPERTSBERG
0;F;L;BONNEVOIE-SUD
0;F;L;CENTS
0;F;IND;LIMPERTSBERG
0;M;L;
0;F;L;CENTS
0;M;I;MERL
0;F;IRL;NEUDORF/WEIMERSHOF
0;M;F;PFAFFENTHAL
0;M;F;GASPERICH
0;M;F;BONNEVOIE-SUD
0;M;L;
0;F;L;BONNEVOIE-SUD
0;M;F;CENTS
0;F;E;BEGGEN
0;M;D;
0;F;D;KIRCHBERG
0;M;L;BELAIR
0;F;P;GARE
0;M;F;PFAFFENTHAL
0;M;F;KIRCHBERG
0;M;I;CESSANGE
0;M;P;GARE
0;F;I;GASPERICH
0;F;L;GARE
0;F;B;
0;M;L;GASPERICH
0;F;L;CENTS
0;M;D;HOLLERICH
0;M;P;BONNEVOIE-SUD
0;M;P;
0;M;M;BELAIR
0;M;GB;
0;M;H;NEUDORF/WEIMERSHOF
0;F;L;CENTS
0;F;L;MERL
0;F;P;BELAIR
0;F;F;BEGGEN
0;F;P;BONNEVOIE-SUD
0;F;B;
0;F;D;MUEHLENBACH
0;F;F;CENTS
0;F;L;CENTS
0;M;D;
0;M;F;
0;F;L;
0;F;E;
0;M;IRL;BONNEVOIE-NORD/VERLORENKOST
0;M;L;
0;M;F;
0;M;F;BELAIR
0;M;P;HOLLERICH
0;M;AL;PFAFFENTHAL
0;F;L;MERL
0;F;L;GASPERICH
0;F;P;BONNEVOIE-SUD
0;F;B;
0;F;P;GASPERICH
0;F;P;HAMM
0;F;E;
0;M;F;
0;M;D;
0;F;GB;LIMPERTSBERG
0;M;USA;BELAIR
0;M;F;VILLE-HAUTE
0;F;I;HOLLERICH
0;F;P;WEIMERSKIRCH
0;M;EST;LIMPERTSBERG
0;M;F;GARE
0;F;P;NEUDORF/WEIMERSHOF
0;F;P;GARE
0;M;L;MERL
0;M;I;BONNEVOIE-NORD/VERLORENKOST
0;M;L;
0;F;F;
0;F;D;BONNEVOIE-SUD
0;M;L;BELAIR
0;M;L;WEIMERSKIRCH
0;F;P;MERL
0;F;F;CESSANGE
0;F;B;
0;M;USA;BONNEVOIE-SUD
0;M;D;
0;F;R;KIRCHBERG
0;M;D;CESSANGE
0;F;IRL;GARE
0;F;TJ;BONNEVOIE-SUD
0;M;L;DOMMELDANGE
0;M;F;LIMPERTSBERG
0;F;B;
0;F;F;HOLLERICH
0;F;F;NEUDORF/WEIMERSHOF
0;F;F;NEUDORF/WEIMERSHOF
0;M;F;LIMPERTSBERG
0;M;F;CENTS
0;M;D;NEUDORF/WEIMERSHOF
0;M;GB;KIRCHBERG
0;F;L;LIMPERTSBERG
0;F;F;CLAUSEN
0;M;F;GARE
0;M;L;VILLE-HAUTE
0;F;L;HOLLERICH
0;F;L;LIMPERTSBERG
0;M;SVN;HOLLERICH
0;F;F;
0;F;L;BONNEVOIE-SUD
0;M;E;LIMPERTSBERG
0;M;P;BELAIR
0;F;F;
0;M;SVN;BONNEVOIE-SUD
0;F;F;VILLE-HAUTE
0;M;D;
0;M;P;DOMMELDANGE
0;M;LVA;HOLLERICH
0;M;GB;
0;M;USA;LIMPERTSBERG
0;M;L;CENTS
0;F;E;
0;M;L;CENTS
0;F;P;WEIMERSKIRCH
0;M;USA;LIMPERTSBERG
0;F;SK;LIMPERTSBERG
0;F;B;
0;F;L;BONNEVOIE-SUD
0;F;BR;GARE
0;F;L;BONNEVOIE-SUD
0;F;L;
0;F;SRB;GASPERICH
0;F;F;BONNEVOIE-SUD
0;M;P;NEUDORF/WEIMERSHOF
0;F;XXK;HOLLERICH
0;M;P;EICH
0;F;CO;CENTS
0;M;L;BONNEVOIE-SUD
0;M;F;MERL
0;F;L;MERL
0;M;E;BELAIR
0;M;GB;
0;M;I;KIRCHBERG
0;F;L;MERL
0;F;L;BONNEVOIE-SUD
0;M;B;
0;M;A;
0;F;L;CESSANGE
0;F;LVA;NEUDORF/WEIMERSHOF
0;F;P;GARE
0;M;I;MERL
0;M;L;PFAFFENTHAL
0;F;F;GASPERICH
0;M;L;GASPERICH
0;F;L;GASPERICH
0;F;B;GARE
0;M;L;GARE
0;M;F;BEGGEN
0;F;I;LIMPERTSBERG
0;M;P;GASPERICH
0;F;L;MERL
0;F;L;CENTS
0;F;I;BEGGEN
0;F;F;BEGGEN
0;F;GR;CENTS
0;M;F;CESSANGE
0;F;L;BONNEVOIE-SUD
0;F;L;
0;F;DZ;KIRCHBERG
0;M;P;BELAIR
0;M;P;BELAIR
0;M;I;
0;M;F;BELAIR
0;F;D;
0;M;GB;NEUDORF/WEIMERSHOF
0;M;IND;BELAIR
0;M;F;NEUDORF/WEIMERSHOF
0;F;P;BONNEVOIE-SUD
0;M;P;HAMM
0;F;F;
0;M;L;MUEHLENBACH
0;M;GB;GARE
0;F;L;GARE
0;F;L;MERL
