Age;Sexe;Nationalite;Quartier
1;F;F;BONNEVOIE-SUD
1;M;F;CENTS
45;M;P;BONNEVOIE-NORD/VERLORENKOST
32;F;F;BEGGEN
22;F;T;EICH
28;M;P;NEUDORF/WEIMERSHOF
48;F;T;EICH
45;M;E;CESSANGE
24;M;P;GARE
56;M;E;LIMPERTSBERG
35;M;F;BONNEVOIE-SUD
64;M;NL;ROLLINGERGRUND/BELAIR-NORD
53;F;I;PFAFFENTHAL
25;F;E;CLAUSEN
39;F;TJ;CENTS
32;M;I;CESSANGE
38;M;F;CESSANGE
35;F;F;CESSANGE
2;M;F;CESSANGE
2;F;F,I;EICH
50;M;I;GASPERICH
17;F;P;BONNEVOIE-SUD
3;F;P;BONNEVOIE-SUD
41;M;P;KIRCHBERG
43;M;I;LIMPERTSBERG
59;M;I;GARE
53;M;D;BELAIR
50;M;I;CESSANGE
34;M;I;ROLLINGERGRUND/BELAIR-NORD
52;M;F;BONNEVOIE-NORD/VERLORENKOST
49;M;D;BONNEVOIE-SUD
35;F;P;BELAIR
28;F;ZA;GASPERICH
55;M;F;MERL
27;M;F;MERL
29;M;I;GASPERICH
27;M;P;GASPERICH
26;F;TN;BELAIR
29;F;IND;BELAIR
6;M;B;GARE
40;F;TJ;MERL
41;M;TJ;MERL
11;M;TJ;MERL
27;M;F;GARE
36;M;B;KIRCHBERG
68;M;L;HAMM
42;F;F;GASPERICH
40;M;F;MERL
1;M;F;GASPERICH
1;F;R;KIRCHBERG
1;F;A;LIMPERTSBERG
31;M;F;BONNEVOIE-SUD
32;F;F;ROLLINGERGRUND/BELAIR-NORD
7;M;F;ROLLINGERGRUND/BELAIR-NORD
5;F;F;ROLLINGERGRUND/BELAIR-NORD
46;F;MK;DOMMELDANGE
9;F;BG;MERL
22;F;B;EICH
36;F;R;GASPERICH
7;M;GR;LIMPERTSBERG
49;F;P;GASPERICH
6;M;F;BONNEVOIE-SUD
23;M;EST;NEUDORF/WEIMERSHOF
17;F;EST;NEUDORF/WEIMERSHOF
38;M;CDN;HOLLERICH
49;M;BD;GASPERICH
46;M;HRV;HOLLERICH
47;M;P;PFAFFENTHAL
42;M;F;CENTS
2;F;F,CR;CENTS
36;F;CR;CENTS
27;M;E;BELAIR
50;F;P;BEGGEN
65;F;L;BONNEVOIE-SUD
34;F;L;LIMPERTSBERG
24;M;F;LIMPERTSBERG
33;M;CO;GASPERICH
8;M;F;CLAUSEN
65;M;P;MERL
43;F;CZ;CESSANGE
65;M;F;BONNEVOIE-SUD
65;F;D;DOMMELDANGE
25;M;P;GARE
65;M;I;GARE
24;M;L;BELAIR
37;M;P;BELAIR
80;F;L;BELAIR
66;F;P;MERL
81;F;F;GARE
2;F;AZE;MERL
66;F;ZA;MUEHLENBACH
3;M;D;LIMPERTSBERG
36;M;I;GARE
36;F;IND;GARE
45;M;L,MNE;GARE
28;F;F;BONNEVOIE-SUD
42;F;J;GARE
40;M;BR;LIMPERTSBERG
29;M;F;NEUDORF/WEIMERSHOF
32;F;B;BONNEVOIE-SUD
30;F;PL;GARE
53;F;TG;BONNEVOIE-SUD
2;F;L;BONNEVOIE-SUD
1;F;L,CDN;BELAIR
65;M;S;VILLE-HAUTE
91;F;L;HAMM
91;F;L;VILLE-HAUTE
2;M;L;BONNEVOIE-SUD
2;F;L;MERL
29;M;F;BONNEVOIE-SUD
1;F;L;GARE
65;M;F;NEUDORF/WEIMERSHOF
2;M;L;CESSANGE
2;F;L,D;BONNEVOIE-SUD
1;M;L,P;ROLLINGERGRUND/BELAIR-NORD
33;M;P;BEGGEN
1;F;L;BEGGEN
65;F;L;KIRCHBERG
2;F;L,CV;LIMPERTSBERG
1;M;L;HOLLERICH
65;F;L;BELAIR
2;F;L;HOLLERICH
89;F;L;PFAFFENTHAL
89;F;L;GARE
2;F;L,E;CESSANGE
65;M;L;BEGGEN
65;M;F;GASPERICH
2;M;L,XXK;GRUND
65;M;P;HOLLERICH
65;M;L;MUEHLENBACH
24;M;F;ROLLINGERGRUND/BELAIR-NORD
62;M;I;BONNEVOIE-SUD
1;F;L;BONNEVOIE-SUD
88;F;L;NEUDORF/WEIMERSHOF
1;F;L;CENTS
65;F;P;GASPERICH
1;F;L,D,E;NEUDORF/WEIMERSHOF
13;F;PL;NEUDORF/WEIMERSHOF
36;M;L;BONNEVOIE-SUD
40;M;I;LIMPERTSBERG
45;M;IL,RUS;EICH
44;F;F;KIRCHBERG
50;M;RUS;MERL
9;F;RUS;KIRCHBERG
38;M;F;CESSANGE
39;F;BG;KIRCHBERG
23;F;F;BELAIR
20;F;P;PULVERMUEHL
54;F;L,H;HOLLERICH
65;M;DK;CENTS
65;F;D;DOMMELDANGE
61;F;L,GB;KIRCHBERG
44;M;L,GB;HOLLERICH
38;F;L,RUS;BEGGEN
5;M;L,I;BEGGEN
2;F;L,I;BEGGEN
52;M;L,IR;HAMM
44;F;L,F;HOLLERICH
15;M;L,F;HOLLERICH
12;M;L,F;HOLLERICH
10;M;L,F;HOLLERICH
34;M;L,RA;LIMPERTSBERG
39;F;L,B;BONNEVOIE-SUD
65;M;GB;GARE
66;M;IS;LIMPERTSBERG
66;M;I;HOLLERICH
31;F;IND;VILLE-HAUTE
66;M;I;EICH
45;M;I;BEGGEN
66;F;F;GASPERICH
66;F;F;GARE
66;M;F;KIRCHBERG
39;M;E;GARE
57;F;BR;BELAIR
66;F;P;VILLE-HAUTE
1;M;L;BONNEVOIE-SUD
2;M;L,P;GRUND
1;M;L;VILLE-HAUTE
2;M;L;LIMPERTSBERG
2;M;L;EICH
66;F;B;LIMPERTSBERG
1;F;L;DOMMELDANGE
66;M;P;BONNEVOIE-SUD
2;M;L,TC;BONNEVOIE-SUD
86;M;L,I;PFAFFENTHAL
8;M;P;GRUND
12;F;GR;KIRCHBERG
7;F;GR;KIRCHBERG
83;F;L;VILLE-HAUTE
83;F;L;WEIMERSKIRCH
83;F;L;HAMM
83;M;L;GRUND
24;M;P;BONNEVOIE-SUD
27;F;GR;HOLLERICH
34;F;P;GARE
2;F;I;NEUDORF/WEIMERSHOF
2;F;L;KIRCHBERG
65;F;L;BONNEVOIE-SUD
