Age;Sexe;Nationalite;Quartier
0;M;F;BONNEVOIE-NORD/VERLORENKOST
0;M;D,F;PFAFFENTHAL
0;M;CL;GARE
0;F;L;WEIMERSKIRCH
0;F;F;CESSANGE
0;M;F;CENTS
0;M;P;BONNEVOIE-SUD
0;M;E;BELAIR
0;F;L;GARE
0;M;IRL;LIMPERTSBERG
0;F;L;CENTS
0;F;FIN,NL;NEUDORF/WEIMERSHOF
0;M;BG,SAL;DOMMELDANGE
0;F;P;BONNEVOIE-SUD
0;F;L;BONNEVOIE-SUD
0;F;D;DOMMELDANGE
0;F;F,I;CESSANGE
0;F;NIG;LIMPERTSBERG
0;F;D;GASPERICH
0;F;F;LIMPERTSBERG
0;F;L;HOLLERICH
0;F;A,CDN;HOLLERICH
0;F;F;BELAIR
0;F;E;HOLLERICH
0;M;I;GARE
0;F;F;WEIMERSKIRCH
0;M;GB,I;EICH
0;M;GB,I;EICH
0;F;CZ;HOLLERICH
0;M;TJ;LIMPERTSBERG
0;F;F;BONNEVOIE-SUD
0;F;L,S;ROLLINGERGRUND/BELAIR-NORD
0;M;F;BELAIR
0;F;P;PULVERMUEHL
0;M;D,B;LIMPERTSBERG
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;M;ZA;GARE
0;M;L;BEGGEN
0;M;F,LVA;MERL
0;F;RA;KIRCHBERG
0;M;P;NEUDORF/WEIMERSHOF
0;M;P;GARE
0;M;B;BONNEVOIE-SUD
0;F;F,DOM;BONNEVOIE-SUD
0;F;L,USA;VILLE-HAUTE
0;F;B,F;BONNEVOIE-SUD
0;F;P;GARE
0;F;F,I;GASPERICH
0;M;L;CENTS
0;M;L;CENTS
0;F;L;CENTS
0;F;F,RUS;BELAIR
0;F;L;LIMPERTSBERG
0;M;CZ;BELAIR
0;M;D;BELAIR
0;M;P;BEGGEN
0;M;E,F;BONNEVOIE-SUD
0;M;F;ROLLINGERGRUND/BELAIR-NORD
0;F;CZ;HOLLERICH
0;M;SRB;BONNEVOIE-NORD/VERLORENKOST
0;M;L,P;ROLLINGERGRUND/BELAIR-NORD
0;F;NEP;EICH
0;M;E,H;BEGGEN
0;F;A;BELAIR
0;F;COD;PFAFFENTHAL
0;M;LTU;BONNEVOIE-NORD/VERLORENKOST
0;M;L;LIMPERTSBERG
0;M;D;NEUDORF/WEIMERSHOF
0;F;D;NEUDORF/WEIMERSHOF
0;F;E;MERL
0;M;F;HOLLERICH
0;F;L;LIMPERTSBERG
0;M;B;NEUDORF/WEIMERSHOF
0;F;L;BONNEVOIE-SUD
0;M;B;NEUDORF/WEIMERSHOF
0;F;L;HAMM
0;F;F;LIMPERTSBERG
0;F;B;NEUDORF/WEIMERSHOF
0;F;ET;NEUDORF/WEIMERSHOF
0;M;L;HOLLERICH
0;F;F;BELAIR
0;M;P;BONNEVOIE-SUD
0;M;E;CESSANGE
0;F;APA;NEUDORF/WEIMERSHOF
0;F;GR;KIRCHBERG
0;F;CV;GARE
0;M;L;GARE
0;M;F;MERL
0;F;P;GASPERICH
0;F;B;HAMM
0;M;P;HOLLERICH
0;F;P;HOLLERICH
0;M;L;BELAIR
0;M;F;BELAIR
0;M;F,LTU;CENTS
0;M;L;HOLLERICH
0;M;BIH;LIMPERTSBERG
0;M;F;KIRCHBERG
0;F;L;CENTS
0;M;B,F;KIRCHBERG
0;F;L;BELAIR
0;M;AL;BONNEVOIE-SUD
0;F;TJ;HOLLERICH
0;M;D,R;NEUDORF/WEIMERSHOF
0;M;L;GASPERICH
0;F;D,MA;MUEHLENBACH
0;F;PL;GARE
0;M;L;BELAIR
0;M;USA;LIMPERTSBERG
0;F;L;MUEHLENBACH
0;M;P;BONNEVOIE-SUD
0;F;I;CESSANGE
0;F;F;LIMPERTSBERG
0;M;F;BELAIR
0;M;F;HOLLERICH
0;F;TR;MERL
0;F;D;HOLLERICH
0;F;I;BELAIR
0;F;F;NEUDORF/WEIMERSHOF
0;M;D;BONNEVOIE-SUD
0;M;F;MERL
0;M;GB,F;MERL
0;M;F,USA;ROLLINGERGRUND/BELAIR-NORD
0;M;P;BONNEVOIE-SUD
0;M;LTU;NEUDORF/WEIMERSHOF
0;F;UKR;GARE
0;F;F;BEGGEN
0;F;D;HOLLERICH
0;M;D,RUS;MUEHLENBACH
0;F;FIN;BELAIR
0;M;F,TR;GASPERICH
0;M;H,NL;MERL
0;F;F,S;ROLLINGERGRUND/BELAIR-NORD
0;F;F;WEIMERSKIRCH
0;F;S;BELAIR
0;M;L;EICH
0;M;I;LIMPERTSBERG
0;F;PY;ROLLINGERGRUND/BELAIR-NORD
0;F;F;ROLLINGERGRUND/BELAIR-NORD
0;F;L;HOLLERICH
0;M;L;CENTS
0;F;LTU,PL;NEUDORF/WEIMERSHOF
0;M;LTU,PL;NEUDORF/WEIMERSHOF
0;M;L;BONNEVOIE-SUD
0;F;F;LIMPERTSBERG
